,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X001979.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.277863526243296,0,0.0753719337066026,-0.0165358110134471,0,0.375544474946803,0,0,0,0.0984888194992445,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11209094354631,0.00383299583075342,0.00383676791411304,0.037244925736852,-1.73472347597681e-18,0,0,0,0,0,0,0,0.126066867104344,0,0,-0.0164238988984006,0,0,0,0,0,0,-0.018687508099424,0,0,0,0
X601318.CH.EQUITY,0,0,0.226183796656859,0,0,0,0,0,0.180860180680577,0,0,0,0.0195475660258169,0,0.0799650789482401,0,0,0.140869982120803,0,0,0.100376593206985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0467148761250988,0,0,0.00413178703794313,0,0,0,0,0,0,0,0,0,0,-0.187780813900253
X601939.CH.EQUITY,0.46972221087749,0.150638427760553,0,0,0,0,0,0.115144101631062,0,0,0,0,0,0,0,0,0.0497008464341333,0,0,0,0,-0.122355909568364,0,0,0,0,0,0,0,0.114814191428505,0,0,0.135629583459749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199303487102631,0.113587886740996,-0.0116320785780807
X601288.CH.EQUITY,0,0,0.0190545059708886,0,0,0.108947505679967,0,0.475131338399553,0,0,-0.0741720587786634,0.123754884089281,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224920838660757,0,0,0,0.027441998368182,0.0355980501619177,0,0,0,0,0,0,0,0,0,0,0.0516052374335775,0,0,0,0,0,0.0924865996993128,0.024031943162061,0,0,0.0653004078838342
X600036.CH.EQUITY,0,0.106289016111284,0,0,0,0,0.225721993266259,0.0641359665001275,0,0,-0.0608616116140791,0,0.201556462374496,0,0,0.0895460492919155,0,0,0.0916299590628958,0.0560696562498537,0,0,0,0,0,0.168295488837612,0.256617808590167,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.11878765205405,0,0,0,0,0,0,0,0,0,0,0,-0.0485395329121105,0.0243676690979883
X601628.CH.EQUITY,0.0706397740499463,0,0,0,0,0,0,0,0,0,0,0,-0.0691887731433062,0,0,-0.180304924210869,0,0,6.93889390390723e-18,0,0,0.182578814392907,0,0,0.116426402873112,0,-0.102795105083752,0,0,0,0,0,0,0,0.56984885206717,0,0,0,0,0,0,0.0101398820011944,-0.0859597215030222,0,0,0,0,0.0147785867380541,0,0,0,0
X1299.HK.EQUITY,0,0,-0.187570219325247,0,0.0322963158841224,0,0,0,0,0,0.245234602230694,0,0,0,0.207162256267331,0,0,0,0,0.149291969719035,0,0,0.0754404319820385,0,0,0,0,0,0,0,0.038596391192312,0,0.0596527269261928,0,-6.93889390390723e-18,0,0,0,0.0452857796560634,0,0.0743640945871511,0.138741586504256,0.175678705583539,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.139808266229265,0.425243811745658,0.0657701558470371,0,0,0,0,-0.0134573384883821,0.0469694643321502,0,0.281091586075057,0,0,0,0.0240475842522952,0,0,0,0,0,0.0580042240210742,0,0,0,0,0,0,0,0.0860869961946726,0,0,0,0,0,0.0449044340780692,0,0,0,0,0,0.0312418664597716,0,0,0,0,0,0,0,-0.0238770394269653,0
X5.HK.EQUITY,0,0.107868408495365,0,0,0,0,0,0,0,0,0,0,0,-0.0306355175158726,0,0,0,0,0,0,0.224971241501064,0,0.189040525541874,0.128452863181051,0,0,0,0,0,0,8.67361737988404e-19,0,0.0636973371793211,0,0,0,0,0,0.161880232680271,-0.0804317786397561,3.46944695195361e-18,0.050310523820549,0.307565399335878,0,0,0,0,0,0,0,0,-0.00203572976530431
X601166.CH.EQUITY,0,0,0,0,0.186218258831997,0,-0.0264773664564262,0,0,0,0,0.131013273915923,0.117031785335893,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10881865281852,0,0,0.366394399272779,0,0,0,0,0.0125861831092467,0,0,0,0,0,0,0,0,0,0,0,0,-0.00634025421323659,0,8.67361737988404e-19,0,0.0898856863310206
