,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.0899690820638248,-1.38777878078145e-17,0,0.0731349883339336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18296125256202,0,0.040926799482761,0.633327019493014,0.469655309732357,-0.244201899005673,0,0,-0.157753933043993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128308272174404,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.00470266419637649,0,0,0,0,0,-0.0260640557376407,0,0,0.0271502875807491,0,0.0555482392654132,0,0.0160529333055313,0,0.498080314907203,0.0193270911039083,0,0,0,0,0,0,0,0,0.118181992972968,0,0,0,0,0,0,0.0652381735292902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0.107513642172775,0,0.755444427421134,0,0,0,0,0,0.0246933484088788,0.0874633101580074,0,0,0,0.027028885194789,0,0.0181600594661849,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.0580017995641496,0,0.00743695544710814,0,0,0,0,0,0,0.0159183496321278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.95435760802561,0,-0.0449731794110931,0.0534623504286193,-0.0890812940840006,0,0,0.0281658414543044,0,0,0,0,0,0.0210809295552252,0,0,0,0,0,0,0,0,0,0,0,0.050350819654441,0,0,0,0,0,0,0,0,0,0,0.0295270564264249,0,-0.0830624167589545,0,0,0,0,0.0171969797267246,0,0,0,0,-0.110261449804333,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0951312172168234,0.217836895657173,-0.0692046067909683,0.355253530275055,0,0,0,0,0,0,0.387196740960234,0,0,0,0,0,0,0,0,-0.0796237975739525,0,0,0.0199544012788986,0,0,0,0,8.67361737988404e-19,0.157658717729878,0,0,0,0,0,0,0,0,0.181793579759896,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.333933809883509,0,0,0,0,0.0775057553631868,0,0,0,0,0,0.0209518389591173,0,0.0309647336049982,0.13808325466661,0,0,0,0,0,0,0,0,0,0,0.1167601122776,0.159357256764483,0.0399704806426824,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345814331546578,0,0,0.0551784862757992,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.0295770082816725,0.322809620804149,0,0,0,0,0,0,0,0,0,0,0,0,0.288334188620539,-0.071651616276011,-0.0470745449385046,0,0.108455692960612,0,0,0.0291551583844898,0.0634049073606077,0,0,0.1388167534732,0,0,0,0,0.0615270696053867,0,0,0.0449092364627729,0,0.0683731780057714,0,-0.0184029489342862,0,0,0,0.166336958661739,0,-0.0242632300223626
X601988.CH.EQUITY,0,0,0,0.0686299891767308,0,0,0,0,-0.0494196983568514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0694277008649459,0,0,0,0,0,0,-0.0208742982226317,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.000634436767240392,-0.13426647310703,0,1.00128578618706,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,-0.0315412013437445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172590751857554,0,0.380326832869341,0,-0.116813886290714,0,0,0,0,0,0,0,0,0,0.0251497256716364,0,0,0,0,0.229683918223708,0,0,0,0.0272449486511416,0,-0.314045492406317,0.226134917897356,0.0614526102782114
X388.HK.EQUITY,0,0,0,0,0.268628856670125,0,0,0,0,0,0,0,0,0,0,0.184898916732514,-0.0707980495926328,0,0,0,0.243852032567134,0,0.262054029239123,0,0,0.321378891281323,0,-0.0675283766080637,0,0,0,0,0,0.127876034728365,0,0,0,0,0,0,-0.0596492931105525,0.14170179715652,-0.0775122551360422,-0.106666172412111,-0.24689620384658,0,0,-0.105273355109712,0,0,0,0
