,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X601336.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X002736.CH.EQUITY,X601788.CH.EQUITY,X823.HK.EQUITY,X601881.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.0342690278667252,0,0,0.126102425330932,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268861059261861,0,0.675141917900204,-0.093722039202988,0,0.142683099047535,0,0,0,0,0,0,0.0691590538323369,0,-0.226578624309422,0,0,0,0,0,0,0,0,0,0,-0.368655466224758,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.0545177334867914,0.182875047948687,0.0773336701667549,0,0,0,0.0574676009113884,0,0,0,0,0,0,0,0,0.284748850823536,0,0,0,0,0,0,0,0,0,0.155070173686642,0,0,0,0,0,0,0,0,0,0,0.189632774864582,0,0,0,0,0.0147128867849264,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.866224142183649,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0460100224239021,0,0,0,0,0,0.0116538733219345,0,0,0,0,0,0.118923599712465,-0.0418972932706335,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,-0.0511122168621613,0,0,0,0,1.73472347597681e-18,0,0,-0.0403280201788098
X601288.CH.EQUITY,0,0,0.845989500503614,0,0.0952378894649667,-0.0738768257967802,0,0,0,0,0,0,0,0.0134607908004263,0,0,0.0575309426725238,0.115045358985105,0,0,-0.00569198328773133,0,0,0,0,0,-0.0903712239302494,0.00969342702481813,0,0,0,0,0,0,0,-0.0209948215745192,0,0,-0.116625552749077,0,0,0,0,0,0,0,0,0,0,0,-0.00481332118098329,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.681088423585465,0,0,0.256068245636767,0,0.0888697921101144,0,0,0,0.0290062457798812,0,0,0,0,0.0392429745657408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15676034604613,0,0,0,0,0,0.0519303409172039,0,0,0,0,0,0,-0.00576490530301891
X601628.CH.EQUITY,0,0,0.0116479235232356,0,0,0,0.276976172384757,0,0,0,-0.0225213656053167,0,0,0,0,0,0,0,0,0,0,0,0.0360542464361271,0,0,0,0,0.0284229524684698,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.18522276504864,0.164859887562699,0.016948251265295,0,0,0,0.0880727507789371,0.120749533211531,0.0727945657087081,0,0.043599890404736,0
X600036.CH.EQUITY,0,0,0,0.382796373888118,0,0,0,0.0360450889564299,0.0211775143243252,0,0,0,0,0,0,0.0863239391581202,0,0,0,0.0280049655280583,0,0,0,0,0,0,0,0.166852322121332,0,0,0,0,0,0.243140180546621,0,0,0,0,0,0,0,-0.0203094705123934,0,0,0,0,0,0.046880623123201,0,0,0.0861731660346387,0.0297648121310105
X1299.HK.EQUITY,0,0,0,0,0,0.10772635411732,0,0,0,0,0,0,0,0,0,0,0.0515839705427416,0,0,0,0.195139924785669,0.027292558998281,0,-0.0710360349900085,0,0.0381309900881513,0,0,0,0,0.159738106121488,0,0,0,0,0,0.00894442564594316,0,0,0,0,0.186466509379156,0.0285646303953831,0,0,0,0,0.488195140380057,0,0,0.0875757182812443,0
X5.HK.EQUITY,0,0,0,0,0,-0.115299281070088,0,0,0,0,0.0999011529749722,0,0,0,0,0,0.36620330470187,0,0,0,0,0.193890126882119,0,0,0,0.31832819913241,0,1.73472347597681e-18,0.037979433570486,0.0817910145389638,0,0.0279680748266432,0,0,0,0,-0.114873590456765,0,0,0,0,0,0,0.184786815303423,0.135229580675827,0,0,0,0,0,0.0516322617053659,0.0749673725738605
X601658.CH.Equity,0,0,0,0.22523542693152,0,0,0,0,0,0,0,0,0.034538978630463,0,0,0,0,0.168037583303031,0.138376237896538,0,-0.222777941852854,0,0,0,0,0,-0.141708277159101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467205257854754,0,0,0,0.0491352632308215,0,0,0,0,0
X388.HK.EQUITY,0,0.214514331031368,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0859477318049513,0,0,0,0,0.307682561879808,0.144168435524786,0,0,0,0,0,0.191712748337236,-0.13100900145595,0,0,0,0,0,0,0,0,0.133338075062358,0.0508658274390532,0,0,0,-0.352535898824424,0,-0.197146022726311,0.0380453798150882,0,0,0,0,0.00879236154464386,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0.00134436177840526,0,0,0,0,0,0.0639708400621804,0.230204571415743,0,0,0,0,0,0,0,0,0,0.0474920614663488,0,0,0,0,0,0,0,0.333544427748477,0,0.0579373104824269,0,-1.73472347597681e-18,0,0,0,0.0656438008849325,0,0,0,0,0.0895540953829264,0.00357807853026997,0,0.00753778068087718,0,0.0230031605885317,0
