,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.203189583644065,0,0.235768832588249,0,0,0,0,0.0561587180000529,0.0653582298369953,0,0,0,0,0.0376590951384844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080269523219951,0,0,0,0,0.0817831468106264,0,0,0,0,0,0.117458493144155,0,0,0,0,0.0264004078341094,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.110547552552649,0,0,0.161046638338762,0,0,0,0.202467927654715,0,0,0,0.155164340190058,0,0,0,0,-0.122598554659438,0,0,0,0,-0.0694136994580194,0,0,0,-0.0383353105125706,6.93889390390723e-18,0,0,0,0.127056926025271,0,0,0,0,-0.213777390561275,0.27501880103901,0.196906769492849,0.0775087391328977,0,0,0,0,0.0159059758784824,0.140233249169014,0,0
X601939.CH.EQUITY,0.294829437222129,0,0,0,0,0,0,0,0,0,0.0823796349283786,0,0.187079022071258,0,0,0,0,0,0,0,0,0,0,0,0.0724210172003747,0.0425208620638654,0,0,0,0,0,0,0.171051643795396,0,0,0,0,0,0,0,0.0943785196901781,0,0,0,0,0.0774697938458311,0,0,0,0,0,0
X601288.CH.EQUITY,0.312092644021788,0,0.087382244801547,0,0,0.260534013452866,0,0,0,0,0,0,0,0,0.0441659652253525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182196884184198,0,0,0,0,0,0,0,0,0.111485501012538,0,-0.0099018597485829
X5.HK.EQUITY,0,0,0,0,0,0,0,-0.0421443043806136,0,0,0,0,0,0,0,0,0,0.384167624025871,0,0,0.132795922796504,0,0,0,0,-0.0862518246728936,0,0,0,0,0.584687668251666,0,0,0,0,0,0,0,0,0.0500907793181865,0,0,0,0,0,0,0,-0.166041159487263,0,0,0.0354869420530257,0
X601988.CH.EQUITY,0.107329116579618,0.190876576204923,0.283853390807738,0,0,0,0,0,0.0423432067786528,0,0,0,0,0,0,0,0,0.0869442239877156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182395868206592,0.074391596412887,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.010505143194497,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.18896569928881,0,0,0,0.0205942034974229,0,0.0809486262653111,0,0,0,0,0.546213159076576,0,0,0,0,0,0,0,0,0.0524431665469634,0,0,0,0,0,0,0,0.0642778508958072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0898777367790902,0,0,0.391001449917146,0,0,0.124613455572573,0,0,0.073495465668935,0,0,0,0,0,0,-0.0324080044590463,0.37953504473238,0,0,0,0,0,0,0.0455031584081272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.203472179904044,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,-0.0618821313614493,0,0,0.0546442032425919,0,0,0.174208081096331,0,0,0,0,0.195945179290295,0.0349133696246446,0,0,0,0,0,0.0553577517479241,0,0,0.0450158176130596,0,0,0,0,0,0,0,0,0,0,0.091804551054363,0,0
X601658.CH.Equity,0,0,0,0,0,0.261753175117079,-0.134505184393843,0,0.0710524119775244,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127482837279645,0,0,0.0156366904432671,0,-0.220301486402103,0,0.558647998266287,-0.283153505545509,0,0,0.61072171385703,0,0.146882190548983,0,-0.144987557098813,-0.356273432817067,0,-0.402651056538341
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.654151595441343,0,0,0,0,0,0,0,0,0,0,0.210840627580032,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.0224081820380541,0,0,0,0,0,0.0341916806449658,0,0.0413863308788831,0,0,0,0,0,0,0,0,0
