,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X300059.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600999.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.00415504252885241,0,0.207183264435294,0,0,0,0.394602535137166,0,0,0,0.0437519400660933,0,0,0,0,0,0,0,0,0,0,0,0,0.22863620236583,0,0,0.00701015743640077,0,0,0,0,0.104962947038412,0,0.0746615648187343,0,0,0,0,0,0,0,0.0530805011719332,0,0,0,0,0,-0.107060075645207,0,0,0
X601318.CH.EQUITY,0,0,0,0.143558312326954,0,0,0,0,0.150636324448133,0,0,0,0.195356475969876,0,0.0878200250222348,0.0310271051106101,0,0,0.0453408067600713,0.0148603459736385,0,0.0613528633317831,0,0,0,0,0,0.182388812697434,0,0,0,0.0518041315946292,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.154278138441232,0.144540461620676,0,0,0,0,-0.00568568331112938
X600036.CH.EQUITY,0,0.0277297213527811,0,0,0,0.17507700130883,0,0,0,0,0,0,0.0992141012060953,0,0,0,0.151953959630938,0,0,0,0,0,0,0,0,0.436739272347575,0,0,0.0866425146234611,0,0,0,0,0,0,0,0,0,-0.150829970622594,0,0,0,0,-0.0209141925423462,0,0,0,0,0,0,-0.0182566492887599,-0.101456896066845
X601939.CH.EQUITY,0.516513333247784,0.100229348830536,0,0,0,0,0,0,0.135526059008297,0,0.170032516896934,0,0,0,0,0,0.0101377329126815,0.119838744539367,0.0608702080565397,0,0,0,0,0,0,0,0,0,0.188815681163329,0,0,0,0.0477514659512832,0,0,0,0,0,0.0650402019877513,0,0,-0.0925146205847737,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.0376887181672507,0,0.124965069609504,0,0,0,0.554941197915666,0,-0.035377070669073,0,0,0,0,0,0,0,0,0,0,0,0,0.0754181299481016,0,0,0,0,0,0.0532907727078396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0530723129569848,0.0369740007733929,0,0.0471092493082238
X1299.HK.EQUITY,0,0,0,0,-0.0690953446383087,0,0,0,0,0.17123789137788,0,0,-0.0578426021516232,0,0,0,0,0,0,0,0.000153369549660297,0,0.232081848772712,0,0,0,0,0,0,0,0,0,0.0674340280707119,0,0.0144974925850127,0,0,0,0,0,0,0.161952324268764,0,0.124676934611822,0,0,0,0,0.190052975060701,0,-0.140268014973291,0.0408247473308393
X601628.CH.EQUITY,0,0,-0.0528175433870279,0,0,0,0,0,0,0.149121647824116,0,0,0,0,0.116511940378675,0,0,0,0,0,-0.0547484082129895,0,0.151795260239974,-0.066490917578405,0,0,0,0,0,0,-0.0022553291822038,0,0,0,0,-1.38777878078145e-17,0,0.375062284484365,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.161684433734793,0,0,0,0.426316035815322,0,0,0,-0.0329095687620215,0,0,0.082940076745114,-0.0721273098097827,0,-0.00823840626303668,0,0,0.0659731652351125,0,0,0,0,0,0,0.0188678688615255,0,0,0,0,0,0,0,-0.116063430980882,0,0,0,0,0,0,0,0,0.155511336253489,0,0,0.195792226297234,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.154399196269613,0,0,0,0,0,0,0,-0.202522277448058,0.0552022514885734,0.0966507865515621,0,0,0,0,0,0,0,0,0,0,0.238962337173639,0,0,0,0.148610020389813,0,0,0,0,0,0.153716379298786,0,0,0,0,0,0.231067721494917,0.0332892588789827,0,0,0,0.230282988003873,0,0,0,0,0,0,0.034288184977524,0
X388.HK.EQUITY,0,0,-0.0742707878029022,0,0,0,-0.109090560016369,0,-0.133929659009198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.182311004815855,0,0,0,0,0.206344540927289,0,0,0,0,0.292298742527037,0,0.206938801367179,0,0,0,0.0579647560127566,0,0.0950421908529127,-0.0885884903646325
