,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601818.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.41239470160021,0,0.228176241221793,0.0382958474142116,0,0,-0.104961613405566,0,0,0,0,0,0,0,0.0310343493627514,0,0,-0.0736433338171967,0,0,0,0,0.0318412433213677,0,0,0,0,0,0,0,0.089153128671113,0,0,0,0,0,0,0,0,0,0.00223678158681908,0.408729885034615,0,-0.0450131656289103,0,0,0,-0.0745362072502851,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,-7.71461653160232e-05,0,0,0,0.0240371403299142,0,0.14575053110499,0,0,0,0.332186960929498,0,0,0,0,0,0,0,0,0.0668192641223163,0,0,0,0,0,0.0218262558880621,0.315878216089996,0,0.0543936923078717,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.155182981135333
X601939.CH.EQUITY,0,0,0,0.701619215956764,0,0,0,0,0,0.0685553630823401,0,0.277727244960003,0,-0.0347143788413772,0,0.0344585716451602,0,8.67361737988404e-19,0,0,0,0,0.0357007463407239,0,0,0.0022381122086946,0,0,0,0.00329230114238165,0,0,0,0,0,0.0421901779609222,0,0,0,0,0,0,0,-0.0271424440340829,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.161911475287278,0,0.840664610922493,0,0,0,0,-0.0711381672773516,0,0,0,0,0,-4.33680868994202e-19,0,0,0.0167551704541643,0,0,0,0.0209298085207282,0,0,0,0,0,0,0,0,0,0.0233978798697958,0,0,0,0.0281079043761521,0,0,0,0,0.0284458682314058,0,0,-0.154460650253164,0,0,0,0,0,0,0,-0.0514492524627287,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0898532906297254,0.179822169653305,0,0,0,0,0,0,0,0.0597034117145544,0,0,0,0.0927649175334334,0,0.0360527372159103,0,0,0,0,0,0,0.165793019300726,0,0,0.280120663393639,0,0,0,0,0,0,0,0,0,0,0,0.0215963546689756,0.0557739326612051,0,0,0,0
X600036.CH.EQUITY,0.241855138745668,0.0429046199652718,0.222412112594661,0,0,0,0,0,0,0,0,0,0,0,0,0.187765653988845,0,0.0187805928749376,0,0,0,0,0,0,0,0,0,0,0,0.215059207213162,0,0,0,0,0,0,0,0,0,0,0,0.00974392519403631,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.103778179567351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0567525103797224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913615545365993,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.111439816633204,0,0,0,0,0,0,0,0,0,0,0,0.275522647485556,0,0,0,0,0,0,0.0302554497151358,0.0587566145701527,-0.092939764373887,0,0,0,0,0,0.0998058178644641,0.0407710959058015,0,0,0,0,0,0.203858713876437,0,0,0,0,0,0,0,-0.0909977366274009
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.210061518241854,0,0,0,0,0,-0.0475001433196309,0,4.33680868994202e-19,0,0,0,0,0.0494698234861037,0.306067803870024,0,0,0,0.087263295309005,0,0,0,-0.137836949562093,0,0,0.0745791003345141,0,0,0.0881674019627346,0,0,0.304365044619684,0.113833105725396,0,0.0115184604344552,0,0,0.0584648269948747,0,0.0060663537758423
X388.HK.EQUITY,0,0,0,0,0.258564824899467,0,0,0.0696976594275429,0,0,0,0,0,0,0,0.0442837305485418,0,0,0,0,0.0608794252998976,0.286961362632344,0,0,0.0338707333528264,0,0.0544527235220792,0,0,0,0,0,0,0,0,0,0,0.088755968287251,0.255770658787836,0,0,0,-0.31881820613694,1.73472347597681e-18,0,0,0.108681327228374,0,0,0,0,0
