,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X601818.CH.EQUITY,0.360579726879035,0,0,0,1.38777878078145e-17,0,0,0.247502275204528,0.158297633122251,0,0,0,0,0,0,0,0,0.0169783185225388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234355731157989,0,0,-0.017399887165128,0,0,0,0,0,0,0,0,-0.137309677262426,0,0.0902232027858474
X601939.CH.EQUITY,0,0.177304342756373,0.364964689568221,0,2.16840434497101e-19,0,0,0,0,0,0,0.0477207081649046,0,0.276412731729016,0,0,0.0591680805239929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0442406926595959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.10806711187828,0,0,1.38777878078145e-17,0,0,0,0,0,0,0.120546443949365,0,0.360469377990205,0,0.0425091367378051,0,0.0272281448191464,0,0,0.186490109805763,0,0,0,0,0,0,0.0127847269161181,0,0,0,0,0.160676168638037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0.298080849337159,0,0,0,0,0,0,0,0,0.035972035441067,0,0.0770378012544429,0.25360336167837,0.0302756247478325,0,0,0.199884016151137,0,0,0,0,0,-0.00963029497699371,0,0,0,-3.46944695195361e-18,0,0,0.0887060264394073,0,0,0,0,0,0,-0.0685068049666225,0,0,0,0.0541239317033784,0,0,0,0,0,0,-0.00212467520428774
X601658.CH.Equity,0,0,0,0,0,0,0,0.659439690692699,0,0,0,0,0,0,0,0,0,0,0,0.44353845082117,0,0,0,0,0.105903709596194,0,-0.654998215967872,0,0,0,0,0,0,0,0,0,0,0,0.194503477338456,0.0870111729151041,-0.134518526791419,0,0,0,0,0,0,0,0,0,0.200608553726739
X601916.CH.Equity,0.176139628434398,0.0973145977313756,0,0.168137611339981,0,-0.404448069566488,0,0,-0.0960413788707997,0,0,-0.142132833551413,0,-0.153779239510523,0,0,0,0.698683969948894,0,0,0,0,0,0,0,-0.0103429790865943,0,0,0,0,0,0,0,0.189789849692826,0,0,0,0,0,0,0.044817470699887,0,0,0,0,0,0,0.340455043080241,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319740020942093,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179014620737224,0,0,0,0,0,0,0,0,0,0,0.411585785153841,0,0,0,0
X2388.HK.EQUITY,0,0,-1.73472347597681e-18,0.0109272884605764,0,0,0,0,0,0,0.0402776068604586,0,0.0179035194930958,0,0,0.0477091673574341,0,0,0,0,0.510490186307172,0,0.164053031840059,0,0,0.131916303795035,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00639403600605142,0,0,0,0,0,0,0,0,0,0.0986795923881742,0
X5.HK.EQUITY,0,-0.00772029398291637,0,0,0,0,0,0,0,0,0,0,0,0,0.0689052628786272,0,0,0,0,0,0.517935286557394,0.112368168490284,0,0.116366624374348,0.0331690608904434,0,0,0,0,0,0,0,0,0,0.143258212057355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2884.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163477706152292,0,0,0,-0.119273779126593,0,-0.0112730330321646,0,0,0,0.605931449133125,0.0159450729590673,0.176715269837407,0,0,0,0.223322706895662,0,0,0,0.0556794025917829,0,0,0,0,0,0,0,0,0,0,0.0169087455337205,0,0,0,-0.10470713896944,0.159813054887366
X2886.TT.EQUITY,0,0,0,0,0,0,-0.124193077271712,-0.297158764099682,0,0,0,0,0,0,0,0,0,0,0,0.39970461391336,0,0,0.347649476468034,0.402247512201229,0,0,0,0,0,0,0,0,0,-0.162877145475612,0,0,-0.287281482015152,0,0,0,0,0,0,0,0,0,0,0.12012191724792,0,0.12843612619852,0
X2891.TT.EQUITY,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0.497038642484107,0,0,0,0,0,0,0,0.281586698900764,0.148435127705205,0,0.0428217165883572,0,0,0,0,0,0,-0.0272193930951213,-0.0805231426305622,0,-0.119639234137965,0,-0.041738881569511,0,0,0,0,0,0,0,0,0,0,0,0
