,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.21297856396423,0,0,0,0.14521603220072,0,0.33753902255315,0,0.208058835043354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.225542405178268,0,0,0,0,0,0,0,0,0,0.0212588806233463,0.226011502035197,0,0,0,0,0.179055034856076,0,0,0,0,0,0,0,-0.077273925580025,0,0
X002142.CH.EQUITY,0.066444607028108,0,0,0,-0.111518131655011,0.243196423347182,0,0.267110586045816,0,0,0,0,0,0,0,0,0,-0.0391084587863503,0,0,0,0,0,0,-0.144963364911432,0,0,-0.159585612907125,0,0,0,0.00466511016676918,0,0,-0.272746821805944,0,0,-0.0133092894905628,0,0,0,0.382815481956238,0,0.206433647618824,0,0,0,0,0,0,-0.00601202688590303
X600000.CH.EQUITY,0.0802733350355867,0,0,0,0,0.0511825631420625,0,0,0,0,0,0,0.541504443294037,0,0,0,0,0,0,0,0,0,0,0.0188741057975429,0,0,0.160491716857355,0,0,0,0.0418007219411623,0,0,0,0.0162672429731183,0,0,0,0,0,0,0,0,0,0,0,-0.0289266469971375,0,0,0,0.14257924813608
X600015.CH.EQUITY,0,-0.0940422119888732,0,0,0.206758993146258,0,0.0506502730805109,0,0,0.196034880782969,0,0,0,0,0.288768926759779,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.00592442712945433,0,0,0,0,0,0,0,0,0,0.06131947396774,0,0,0,0.00362120640585279,0,0,0,0.194928207187195,0,0,-0.0213597380812195,0.0168376822545309,0,0,0
X600016.CH.EQUITY,0,0,0,0.23547857666588,0,0,0.140032531784871,0,0,0,0,0,0.13949734327695,0,0,0,0.0944702799666327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0378734810072862,0.114141452881273,0,0,0,0,0,0,0.145546701108161,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.217264228804461,0.13912831932467,0.280229775795929,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.0205314366063604,0,0,0,0,0,0,-0.0114038940170079,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0513107322191719,0,0,0,0.0131772830464008,0,0,0,0,0,0,0.0348201319806393,0,0.251712397495195,0,0.0247262848752516,0,0
X600919.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0330437462752186,0,0,0,0,0.218770853734599,0,0,0,0,0,0,0,0,0,0,0.0403164041239622,0,0,0.0142835717828275,0.0838235477954333,0,0,0,0.0291846347828226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0.143974878468122,0,0,0.466735979551178,0,0,0.00669833803282753,0,0,0,0.110124033530064,0.104316080344582,0,0,0,0,0,0,0,0,0,0,0.104798538595893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0311594035295896,0,0,-0.163045679103186
X601166.CH.EQUITY,0,0,0,0,0,0.47326470169664,0,0.0351354412505658,0,0.00682192374294993,0,0,0,0,0.269419893290779,0.014588347919865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0134901199412154,0,0,0,0,0,0,0,0,0,0.1214919944745,0
X601169.CH.EQUITY,0,0,0.218253263146384,0.365608361012867,0,0,0,0,2.16840434497101e-19,0,0,0,0.253347330007159,0,0,0,0.0481835669820302,0,0,0,0,0,0,0,0,0,0.0216690590850063,0,0,0,0,0,0,0,0,0.0381036101643798,0,0,0,0,0,0.0529323064355492,0,0,0.230731911447735,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0,0.145856999882245,0,0,0,0,0,0,0,0,0.0245362219000472,0,0.328922502896642,0,0,0,0,-0.183848341505857,0,0,0,0,0,-0.0713467626928791,0,0,0,0,0,0,0,0,0.111476994547059,0.094500069005604,0,0,0.157810190558095,0,0,0,0,0,0,0,0,-0.12338450183659,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.190985693445085,0,0,0.137139576140013,0,0.110436209547939,0.414551405084888,0,-0.0276601767523165,0,-0.00366812077068267,0,0,0,0,0.0120211139740678,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0564467840579939,0.15899656984201,0,0,0,0,0,0,0.0493572284210055,0,0,0.0864597102684942
X601328.CH.EQUITY,0,0,0.562725728619474,0,0.0119618147975009,0.0730730562241431,0,0,0,0,0.040570174027372,0,0,0,0,0,0.0585777948695659,0.122689425705418,0,0,0,0,0,0,0,0,-0.0649443410006894,0,0,0,0,0,0,0.0657909387447099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.0518401810619793,0,0,0,0.148082804329838,0.214435318990946,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.0313938016352945,0,0,0.084117548896064,0,0,0,0,0,0,0,0,0,0,0.24207731966328,0,0,0,0,0,0,0,0,0
