,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2887.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,macro_return_add
X601211.CH.EQUITY,0.157421646279166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02337751675336,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44070008486004,0,0,0.400147346185126,0,0.0100941625447457,0,0,0,0,-0.026232304420506,0,0,0,0,0.0105610997406597
X601688.CH.EQUITY,0,0.00328230826044797,0,0,0,0,0.097418848314912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104456352980925,0,0,0,0,0,-0.0553775596719097,0,0,0,0.0919724187647702,0,0,0.736640917677694,0,0.193363628816957,0,0,0.0462675943130447,0,0,0,0,0.085028928911671,-0.102290905965328,0,0
X601881.CH.EQUITY,0,-0.0722756201050398,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.114661148576511,0,0,0,0,1.73472347597681e-18,0.186145605878252,0,0,-0.0641437034753407,0,0,0,0,0,0.167229998312435,0,0.162611312113841,0,0.0179794101070117,0.418236212912676,0,0,0,0.0382136688122729,0,0,0,0,0,0,0,0
X2885.TT.EQUITY,0,0,0,0,-0.0268120852267169,0,0,0,0,0,0,0,0.00629925935972872,0,0,0,0,-0.237761711337117,0.40085429324933,0.0478161049361044,0,0,0,0,0,0,0,0,0,0,0,0.199099371976135,0,0,0.0932588165922607,0,0,0,0,0,0,0,0,0,-0.0131678222523956,0,0,0.454906761253785,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131202237247552,0,0,0.0888159038713648,0,0,0,0,0,0,0,0,0,0.00318895026938638,0,0.0401389673957211,0.0492571790043274,0,0,0.0949752270732339,0,0,0.0583097175504936,0.17021919435706,0.209526618091531,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0.0215545533765265,0,0,0,0,0,0,0,0.0173847191038609,0.017024030299511,0,0.0787782392740075,0.293481794006787,0.0414329712885422,0,0,0,0,0,0,0.219110624594735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137541927691528,0,0,0,0,0.0270207513043161,0,0,0,0,0,0,0
X601336.CH.EQUITY,0,0,0.0170070377888324,0,0,0,0,0.0010815861518586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320467910119288,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168057238272995,0,0,0,0,0.234969739395834,0,0,0.4781533460858,0.122165765418918,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,1.73472347597681e-18,0,0,0.144993156137802,0.140842497021074,0,0,0,0,0,0,0,0.0711598070453293,0,0,0,0,-0.138507812927758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371247777386454,0,0.330734023736876,0,0.167151293920778,0,0,0,0,-0.0101488454698869
X601628.CH.EQUITY,0.046487054295003,0.0431737925857461,0.17888832910307,0,0,0,0,0,0,0,0,0,0,0.125089300101723,0,0,0,0,0,0.0308834471285219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0645505333835134,0.0536654723357937,0,0,0,0,0.0211858130590514,0,0,0.0945409298819817,0.0905060694207884,0,0,0,0,0,0
X2881.TT.EQUITY,0,0.340762443101257,0,0,0,0,0,0,0,0,0,0,0,-0.149307084416664,0,0,0,0,0,0,0,0,0,0,0,0,0.242210082917136,0,0,0,0.103774772604659,0,0,0,0,0,0,0,0,0,0,-0.0146520846852488,0,0,0,0,0,0.183418193347284,0,0.25325863590938,0
X2882.TT.EQUITY,0,0,0,0,0,0,0.00635141228977784,0,0,0,0,0,0,0,0,0,0,0.053642052209681,0,0,0,-0.0164010963900408,0,0,0,0,0,0,0.102010689507498,0.0923700389326306,0,0,0,0.147356936101808,0,0,0,0,0,0,0.0268745650206145,0,0,0,0,0,0.603478056991118,0,0,0.0440846915825988,0
X2883.TT.EQUITY,0,0.0143907097507479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1023835858184,0,0.0832704900513021,0,0,0,0,0,0,0,0,0,0,0,0.104269247269048,0.0486139228578782,0,0,0,0,-0.0699402805893069,0,0,0,0,0.32513438075753,0,0,0,0,0.554185231055537,0,0,0.0767735285687052,0
X2888.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0616111483060653,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145959644620359,0,0,0,0,0,0,0,0.224286822037319,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.432272895564213,0,0
macro_return_add,0.160152259346305,0,0,0,0,0,0,0,0,0,0,0,0.24621483871224,0,0.233445711251125,0,0,0,0,0,0,0,0,-0.342672499916504,0,-0.087262144172237,0,0,-0.143768990762091,0,0.0177516672943371,0,0,-0.24589600560888,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0557872626115828,0,0,0
