,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0.313809290399157,0,0.000435996921898652,0,0,0.354257251812376,0,0,0,0,0,0,0,0.0209646219404397,0,0,0,0,0,0,0,0,0.174002173068614,0,0.0226040853503536,0,0,0,0,0,0,0,0,0,0,0.105803803582962,0,0,0,0,0,0,0,0,0,0,0,-0.0308069968131288,0,0,0
X601318.CH.EQUITY,0,0,0.223303504085222,0,0,0,0,0,0.174969097735216,0,0,0,0.0152154501109733,0,0.0942244923337374,0,0,0.0871339947546291,0,0,0.136506332757414,0,0,0,0,0,0,0,0,0,0.0216527500819897,0,0,0,0,0,0,0.0671772740458438,0,0,0,0.00547914433877953,0,0,0,0,0,0,0,0,0,0,-0.145925250978557
X601939.CH.EQUITY,0.413343432626272,0.297503894644696,0,0,0,0,0,0.425294269877346,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0930870463736512,0,0,0,0,0,0,0.103054370907267,-0.00652430075623393,0,0,1.73472347597681e-18,0,0,0,0,0,0,-0.029780967808481,0,0,0,0,0,0,0,0,0,0,0.151971007320184,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.532974928059976,0,0,-0.0771661884277162,0.050893061383512,0,0,0,0,0,0.00422018572765883,0,0,0,0,0.0652454764565124,0,0.15853806733424,0,0,0,0.100880475150916,0,0,0,0.0511222385651611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406981645634273,0,0.0136360915746387,0.0137548251535479,0,0
X600036.CH.EQUITY,0,0.0242655046253471,0,0,0,0,0.130992987439784,0,0,0,0,-0.050189640186503,0.0861151289674768,0,0,0.181927845927467,0,0.264590643786868,0,0,0,0,0,0.20720200805152,0,0.128964048859909,0.0375557022023511,0,0.0736208010686504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0900126366354485,0,0,-0.199810705195689,0,-0.0289995148972788
X601628.CH.EQUITY,0.0497493967412484,0,0,0,-0.0134009271074776,0,0,0,0,0,0.00911181289607209,0,-0.0953649560068516,0,0,-0.224599182232649,0,0,0,0,0,0.190369699391398,0,0.13914864074886,0,0,-0.0658780141274308,0,0,0,0,0,0,0.0752683128412367,0.562906197238788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0519350243656281,0
X1299.HK.EQUITY,0,0,-0.0225047744716879,0,0,0,0,-0.0858524986715328,0,0,0.105958201136409,-0.0160581655336131,0,0,0,0,0,0,0,0,0,0,0.133886378725205,0,0,0,0,0,0,0,0,0,0.058281613426705,0,0,0,0,0.114947495525709,0,0.10186810904453,0.142317473748491,0.0848783220125764,0.122180402332806,0,0,0,0,0,0,0.298526464507149,0,0,-3.46944695195361e-18
X601988.CH.EQUITY,0.171914551232422,0,0.090651924421607,0.378671272100773,0,0,0,0,0,0,0,0,0.244339785734827,0,0,0,0.0705158015054602,0,0,0,0,0,0.032485012324746,0,0,0,0,0,0,0,0.119026687096096,0,0,0,0,0,0.0170821543185805,0,0,0,0,0,0.0181029029142012,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.124606494333002,0,0,0,0,0,0,0,0,0,0,0,-0.0884762924494767,0,0,0,0,0,0,0.238580950807357,0,0.186827962444262,0,0,0.142667106883659,0,0,0,0,0,0,0.0545249765058126,0,0,0,0,0,-0.0669831706522151,0.0530489534557671,0.197496959548257,0,0.270958257064842,0,0,0,0,0,0,0,0,0,1.0842021724855e-19
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0698082975083821,0.144772942755582,0,0,0.105742981469397,0,0,0,0,0,0,0,0,0,0,0.142026171192936,0,0.436832285955614,0,0,0,0,0,0.0472895136982959,0,0.0058633228150651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254224017076736
