,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X300059.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600999.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,X1997.HK.EQUITY,X001979.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.238418246102655,0,0,0,0.342694761977314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263286758112483,0,0,0.0170189699801366,0,0,0,0.0119221835356484,0.0790306163867932,0,0.0778343356745043,0,0,0,0,0,0,0,0,0,0,0,0,0.0107755878668492,-0.0922623698916417,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.192272730394043,0,0,0,0,0.0733373417712495,0,0,0,0.0872682247265625,0,0.0282994992845371,0,0,0,0.0594301435739096,0.165160871712461,0,0.0993855242285225,0,0,0,0,0,0.185297406437352,0,0,0,0.0650097502249981,0,0,0,0,0,0,0,0,0,0,0,0.0038418943898534,0,-0.0582172773444326,0,0.0277182456751495,0,0,0,0,-0.0656473200620953
X600036.CH.EQUITY,0,0.0338917761104606,0,0,0,0.173575398135443,0,0,0,0,0,0,0.0817837565828739,0,0,0,0.148019896431575,0,0.000931194284412471,0,0,0,0,0,0,0.440228175479662,0,0,0.0954216146908062,0,0,0,0,0,0,0,0,0,-0.153810123591174,0,0,0,-0.0220989020483014,0,0,0,0,0,0,0,-0.0204554339512919,0,-0.0949465589388869
X601939.CH.EQUITY,0.525706700684593,0.109525660407487,0,0,0,0,0,0,0.1298880424826,0,0.199393885162756,0,0,0,0,0,0,0.147275006965709,0,0,0,0,0,0,0,0,0,0,0.161626917350281,0,0,0,0.0152798325921362,0,0,0,0.00285343708649996,0,0.0805484723604643,0,0,-0.109342130303497,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.0181858219115709,0,0.13972052548313,0,0,0,0.564833642202976,0,-0.0376928013889881,0,0,0,0,0,0,0,0,0,0,0,0,0.0776052153283312,0,0,0,0,0,0.0634537319259456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373415273147984,0,0,-0.0104046689656656,0.0598900373083806
X1299.HK.EQUITY,0,0,0,0,-0.0504967933875974,0,0,-0.0715065899408622,0,0.141616179568273,0,0,0,0,0,0.0342596693322881,0,0,0,0,0,0,0.135931750779624,0,0,0,0,0,0,0,0,0,0.0748988579859719,0,0.0122100900353771,0,0,0,0,0.18388242813509,0,0.145510941669195,0.0932343632389902,0,0,0,0,0.0165612349483055,0.298124610317429,0,-0.111768542866793,0,0
X601628.CH.EQUITY,0,0,-0.0640474007367342,0,0,0,0,0,0,0.196346397638626,0,0,0,0,0.0123350405485511,0.0982371235376833,-0.0112951705698499,0,0,0,-0.0627786508793665,0,0.147908117436322,-0.0583568253926445,0,0,0,0,0,-0.0264350479815607,0,0,0,0,0,0,0,0.36964463933687,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,-0.0350131060742208,0
X601988.CH.EQUITY,0.163448552800853,0,0,0,0.425641347016271,0,0,0,-0.0398281533026956,0,0,0.0801569500798164,-0.07544138138329,0,0,1.73472347597681e-18,0,0.0609538301922988,0,0,0,0,0,0,0.0275929023805834,0,0,0,0,0,0,0,-0.121956037163423,0,0,0,0.00441386499014572,0,0,0,0,0.145968119786567,0,0.188465155511674,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.188896329806683,0,0,0,0,0,0,0,-0.119103671842602,0.00875555401697945,0.0930458534746552,0,0,0,0,0,0,0,0,0,0,0.223959722165797,0,0,0,0.158745689006569,0,0,0,0,0,0.113553041525858,0,0,0,0,0,0.235200257401041,0.117148797983455,0,0,0,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,-0.0803835858350392,0,0,0,-0.0953100792443594,0,-0.0720083971630945,0,0,0,0,0,0,0,0,0,0,0,-0.0133770539326523,0,0,0,0,0,0,0,0,0,0,0,-0.200151165023145,0,0,0,0,0.0936277467601684,0,0,0,0,0,0.464605743500785,0.0508680413184021,0,0,0,0.12330601255663,0,0.13424875423189,0,0
