,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0.296217695247097,0,0.00555801437088387,0,0,0.444298469275139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115309137617285,0,0,0,0.0651446157056759,0,0,0.0179492287552519,0,0,0,0,0,0,0,0.0769355385085247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.230423532967002,0,0,0,0,0,0.180559939039463,0,0,0,0.0144143985809833,0,0.12465721769252,0,0,0,0,0,0.139557409673597,0,0,0,0,0,0,0,0.0266993476617081,0,0,0,0,0,0,0.0890499084441416,0,0.085095489563304,0,0,0,0,0,0,0,0,0.0182200489802055,0,0,0,0,-0.0345562521745686,-0.0792790143967872
X601939.CH.EQUITY,0.460670308160355,0.15328446992279,0,0,0,0,0,0.226744541156474,0,0,0,0.0121704997820327,0,0,0,0,0,0,0,0,0,-0.133517680740664,0,0,0,0,0,0,0.135438461658836,-0.0234609914174543,0,0,0.11417331281878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132790185149798,0.161845229424091,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.568900106713372,0,-0.0831691175069679,0,0.0384304050583103,0,0,0,0,0,0,0,0,0.000386094921288622,0.0624458193323411,0.104624265984655,0.0765770161865461,0,0,0,0,0.11450397227362,0,0,0,0.0558333184550632,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0540107250243021,0,0,0,0.00546383449013032,0,0
X600036.CH.EQUITY,0,0.156008996853132,0,0,0,0.0176625898117921,0,0,0,0,0,-0.00710440065317859,0.11263321782937,0,0,0.0297625353173114,0,0,0,0,0,0,0.0923483973991926,0,0,0,0.0847839466173906,0,0,0.0315830600156953,8.67361737988404e-19,0,0,0,0,0,0,0.053488134200315,0,0,0.0809294422815458,0,0,0,0,0,0,0,0,0.358497664268026,-0.287177379884467,0,0
X1299.HK.EQUITY,0,0,-0.155494510129878,0,0,0,0,0,0,0.174693939034726,0,0,0,0,0,0,0,0,0,0.1475283934242,0,0,0.0666772381578817,0.160952730099896,0,0,0,0,0,0,0,0,0.0717532708232871,0,0,-1.73472347597681e-18,0,0.210684876021108,0.0262935285670068,0,0.0476873902271218,0.072587166253454,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.115415989020404,0,0,0,0,0,0,0,0,0,0,0,-0.0191085472462251,0,0,-0.126552194124125,0,0,0,-0.0161104606082965,0,0.16065408863201,0,0,0,0,-0.120627931420307,0,0,0,0,0,0,0.569503064181783,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00998180533530394,0
X601988.CH.EQUITY,0.123740385217844,0,0.100238066312381,0.318322085015611,0,0,0,0,0,0,0,0,0.273280462788441,0,0,0,0.0902296916116573,0,-8.67361737988404e-19,0,0,0,0.00933855524178159,0.0196658936419009,0,0,0,0,0,1.73472347597681e-18,0.171163092911122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0
X5.HK.EQUITY,0,0.271187985165719,0,0,0,0,0,0,0,0,0,0,1.35525271560688e-20,-0.0297505798113391,-0.102749716400238,0,0,0,0,0,0,0,0,0.382088633577549,0,0.0733499384582738,0,0.0994907625890187,-0.0194563338714663,0,-0.0396387270917107,0,0.0683601682846118,0,0,0,0,0,0,-0.0530651614325623,0.209560961473679,0,0.0657393503311622,0,0,0,0.153529843982519,0,0,0,0.0287621784572778,0,0
X388.HK.EQUITY,0,0,0,0,-0.0734669157707442,0.243668018041811,0,0,0,0,0,0,0,0,-0.0100093703213695,0,0,0,0,-0.11361436747754,0,0.475773300105135,0,0,0,0,0,0.0261138241334846,0,0,0,0,0,0,0,0,0,0,0.0800675483696771,0.13320930620212,0,-0.0815666312414591,0,0.155761531817572,0,-0.349703816620999,0.00485647786588853,0,0,0,0.170240115121185,0,0
