,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X601881.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.26692356510541,0,0,0,0,0,-0.134551937589307,0,0,0,0,0,0,0,0,0,0,0.489841827863066,0,0.502369105999495,0,0,0.173160719351278,0,0,0,-0.00715841186154509,0,-0.147720309663661,0,0,-0.288897202124147,0,0,-0.830059897232233,-0.0673705230281651,-0.00254334658747149,0,0,0,0,0,0,0,0,0,0.0888702401356882,0,0
X601939.CH.EQUITY,0,0,0,0.252729565416925,0,0,0,0,0.0823597937867762,0,0,0.0951228193067699,0,0,0.0311623750140637,0,0,0,0.0716884688288547,0,0,0,0,0.0418352832380051,0,0,-0.078790953669216,-0.0229850060441078,0,0,0,0,0,0,0,0,0,0,0,-0.0504731282610533,0,0,0,0,0,0,0.0816550297541222,0.443637651052857,0.0612946103892057,0,-0.120589728877079,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.388965203878977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15699737005648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330372910342054,0,0,0.0180019770683655,0,0,0,0.0323738395451904,0,0,0,0
X601288.CH.EQUITY,0,0.354056698420606,0,0,0.276003919960077,0,0.0715306748186795,0,0,0,0,0.186104312924154,0,0,0.0359715808693339,-0.040651369173202,0,0,0,0,0,0,0.159615408854857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0457075398787566,0,0,-0.095988668451077,0,0,0,0,0,0.020057415782255
X601988.CH.EQUITY,0,0,0,0.333020534464009,0,0,0,0,0,0.203283383406836,0,0,0,0,0,0,0.253272534061878,0,0.162447898219549,0,0,0,0.041962774096888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.550211619241077,0,0,0,0.0723979322419752,0,0,0,0,0,0,0,0,-0.265323752968995
X600036.CH.EQUITY,0,0.0716582200701942,0,0,0,0,0.0810855169751029,0.0388662951530805,0,0,0,0,0.105506966458664,0,0,0,0,0,0,0.00103002134900781,0.141844307470172,0,0,0,0,0.01613801638985,0,0,0,0,0,0,0,0.425235209944061,0,0,0.0059203169252328,0,0,0,0,0,0,0,0.0915978055461,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.125822674669089,0,0,0,0.122642129921875,0,0,0,0.236601657432089,0,1.38777878078145e-17,0,-0.0587012684557761,0,0.0219803042666032,0,0.0802995371653148,0,0,0.036820556458272,0,0,0,0,0,0.134090083756834,0.0696204823318845,0,0,0.0431363624976413,0,0,0,0.247530001164427,0,0,0,0,0,0.0155424804828619,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.364528753965562,0,0,0,0,-0.142721001444227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101556553475616,0,0.059059032283951,0.234877479324923,0,0.112839576855111,0,0,-0.0674468252781352,0,0.117548788369246,0,0,0,0.0503498565915106,0,0,0,-0.0137554787938235
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323226165825253,0,0,0.0080919400674893,0,0,0.0354857009223282,0.871637074686194,-0.620144853499481,0,0,0.644171724566024,0.120885706458781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122309187803291,1.38777878078145e-17,0,0
X601658.CH.Equity,0,0,0,0.10195354062023,0,0,0,0,0,0,0,0,0.144929894436563,0,0,0,0,0.145605931663446,0.219005119044275,-0.343061745804107,0,-0.160389329181583,0.0638817614175605,0,0,0,-0.194768682634357,0,0,0,0,0,0,0,0,0,0,0,0,0,0.715210328082136,0,0,0,0,0,0,0,0,0,0,-0.0838608531824329,0
