,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.350538519390939,0.171153437442953,0.0293295440289834,0,0,0,0,0,0,0,0,0,0,0,0.178086365707804,0,0,-0.0104174899452634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128992203360737,0,0.0321905286514642,0,0,0.0122182500396424,0,0.207212215887503,0,-0.075946718296955,0.0689906247687525,0
X601318.CH.EQUITY,0,0,0,0.148187495365942,0,0,0,0,0.153256295738671,0,0,0.105427293460963,0.0244604744531478,0,0,0,0.00835985332594739,0,0.117731525179214,0,0.258062397898232,0,0,0,0,0,0,0,0,0,0.120517959366197,0,0,0,0,0.0224490085443287,0,0,0,0,0,0,0,0,0.0158227405804562,0,0,0,0,0,0,-0.0186696219802141,-0.15732624629108
X601939.CH.EQUITY,0.00796889063303569,0,0,0,0.228093498568473,0,0,0,0,0,0,0.194358747541321,0,0.0394577759195028,0,0,0,0.0667466396974782,0,0.0439063429657337,0,0,-0.0588382039131467,0.374739885005593,0.224519800938353,-0.0506712082758336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.124652439819679,0,0,0,0.0490152413575454,0.133287484538702,0.116704510783447,0,0,0,0,0.168620336936393,0.107872067649815,0,0,0,0,0,0,0,0,0,0,0,0,0.283628128168156,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124166398088052,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0973428722614409,0,0.145439647776306,0,0,0.057517815457009,0,0.29344072994841,0,0,0,0,0,-0.053746916330285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0905573563194631,0,0,0.0866497579400247,0,0,0,0,0,0,0,0,0.115927074834059,0,0,0.186103853059115,0,0,0,0,0,0,-0.0694182171901746,0
X601628.CH.EQUITY,0.0222265950933764,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.101634793781055,0,0,0,0,0,0.179269786644189,0,0,0,-0.109245161328679,0,0,0,0,0.298153031003047,0,0,0.566419527540643,0,0,0,0,0,-0.0244603616099503,0.106220864384733,0,0,0,0,0,0,0,0,0,0,-0.0187823964242343
X1299.HK.EQUITY,0,0,0,0,0,0,0,-0.0359053959217332,0,0.277656071244515,0,0,0,0,0,0.10697476617044,0,0,0,0,0,0,0,0,0,0.00997658384725392,0,0,0,0,0,0,0,0,0,0.0563877497601502,0.00386023294570734,0,0.118787137415854,0,0.184434877632124,0.167737214264059,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0200621530607013,0.0945851303428595,0.216581269492046,0.107231877352578,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305277823817129,0,0,0,0,0.0215115828045307,0,0.229918976832152,0.0933470420713154,0,0,0,0.162051164798139,-0.129618670384456,0,0,0,0,0,0,0,0.0748419374101205,-2.16840434497101e-19,0,0,0,0.0147318145587532,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.114531331909653,0,0.0808491797440072,0,0,-0.0402521680139896,0,0,0,0,0,0,0,0,0,0.0909140699688359,0.127459154729947,0,0,0,0.197033269613055,0,0,0.0151562400861778,0,0,0,0,0,0,0.0277434267746829,0,0,0.322830629402409,-0.0501006483197763,0,-4.33680868994202e-19,0,0.134268108975834,0,0,0,0.0885837074120644,0,0,0,0,0
X388.HK.EQUITY,0,0,-0.156587933009529,-0.0808760141423541,0,0,0.0618181015328325,0,0,0,0,0,0,0,0.347134654608578,0,-0.0832467969913885,0,0,-0.131163725330078,0,0,0.174610535904882,0,0,0.295290569215576,0,0,0.0828447889034315,0,0,0.204823208828738,0,0,0,0,0,0,0,0.0602918043981348,0,0,0,0,0,0.0614330472804068,-0.327255629192083,-0.0479866595363786,0,0,0.18829897415726,0,-0.0876602355598204
