,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X600000.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,6.93889390390723e-18,0,0,0,0,0,0,-0.188500800159329,0,0,0,0,0,0,0,0,0,0,-0.136827203747169,0.497288714528127,0,0.677274016295771,0,0.0598009351041976,-0.119248158498247,0,0,-0.0553667882148806,0,0,0.0599890999783165,0,0,-0.141488322190679,0,0,0,-0.331511858560803,0,0,0,0,0,0,0,0,0,0,0,0,-0.0252850944872034
X601318.CH.EQUITY,0,0,-6.93889390390723e-18,0,0,0,0.0430921118792294,0,0,-0.0172395192669449,0,0,0,0,0.0635341507126967,0,0,0,0,0.295088908948698,0.024996829903981,0,0,0,0,0,0,0,0,0,0.106297998385671,0,0,0,0,0,0.655606168091799,0,0,0,0,0,0,0,-0.0209317002118542,0.0261942333954008,0,0,0,0,-0.0470490775899627,0,0
X601939.CH.EQUITY,0,0,0,0.787643245827711,0.069804167587861,0,0.0588596513396723,-1.73472347597681e-18,0,0,0,0,0,0.0298491463958028,0,0,0,0,0,0,0,0,0.00385223590149324,0.00692267971774012,0,0,0,0,0,0,0,0.0753525177249224,0,0,0,0,0.00355327993945526,0,0,0,0,0,0,0,0,0,0,0,0.0341062358595694,0,0,0,0
X601288.CH.EQUITY,0.00882410078856434,0,0.898568631054177,0,-0.0677123127504518,0,0,0,0,0,0,0,0,0,0.00386493458659295,0,0.039748046685214,0.11746957344947,0,0,0,0,0,0,0,-0.0595708768832684,0,0.04934853287297,0,0,0,0,0,0,0,-0.0966717536194225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0452463926937402,-0.00925391037037472,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.068372307936228,0.860524255981464,0,0,0,0,0,0,0,0,0,0,0.101393063845539,0,0,0,0,0,0,-0.0685939283352307,0,0,0,0,0,0,0.168906657129989,0,0,-0.075066630190006,0,0,0,0,0,0,0.0098084697792545,0,0,0,0.0404539238450753,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16737469767743,0,0,0,0,0,-0.265618747376783,-0.234370761238762,0,0,0.0254724423699355,0,0,0,0,-0.0567898038228274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0283868935611927,0,0,0,0,0.0246027069864362,0,0,0
X600036.CH.EQUITY,0,0,0.386602930426845,0,0,0,0,0,0.045454764353744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0470340162990723,0.062906306688293,0,0,0,0.42270566969334,0,0,0,0,0.0146603918807421,0,0,0,0,0,-0.00595792094952129,0.0596640251168941,0,0.0381749402195833,0,0,0,0,0,0.0662453238679755
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.361883858349156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.202051881822475,0,0,0,3.46944695195361e-18,0.0451373351562838,0.231068237511987,0,0,0,0.114992447663679,0,0,0,0,0.01638761207398,0,0,0,0,0,0,0,0.485572454513834,0,0.0225835218804136,0,0.0837795317753618,-0.0470923487858102,0
X5.HK.EQUITY,0,0,0,0,-0.164624974543636,0,0,0,0,0,0,0,0,0,0,0,0.266999757316153,0,0,0,0,0.166793153931636,0,0,0.305366118522241,0,0,0.06813888538768,0,0,0.138306623533821,0,0,0,0,0,0,0,0,0,0,0.176594817412349,0,-0.0131658745173412,0,0,0,0,0,0,0.140343960766145,0,0.220528378417416
X388.HK.EQUITY,0,0,0,0,0.474389119030602,0,0,0,0,0,-0.182197199444349,0,0,0,0,0,0,0,-0.304543044882361,0,0,0.0945473122667279,0,0,0,0.28972221878901,0,0,0,0,0,0,0,0,0,0,0,0.226869995344006,0,-0.0633470937841592,0,-0.24701183335707,0,0,-0.0336805183399611,0,0,0,0,0,-0.0618994461317994,0,0
