,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X300059.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X1997.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0.243670310702069,0,0.178335612238959,0,0,0,0,0,0,0.198891380882886,0,0,0,0,0,0,0,0,0,0,0,0.0492027643296421,0,0,0,0,0,0,0.129535039259928,0,0,0,0,0,0,0,0,0,0,-0.0640398398946228,0.0398881642788236,0,0,0,0,0,0,0.0232957428893648,-0.0109049884375699,0,-0.209677559980241,0
X601939.CH.EQUITY,0.453940913500815,0,0,0.0808974820052129,0,0,0,0,0,0,0,0,0,0.1034497444818,-0.149125321936898,0,0,0,0,0,0,0,0,0,0,0.269590286579593,0,0,0,0,0,0,0,0,0,0,0,-0.0210394148260124,0,0,0,0,0,0,0,0,0,0.142318299484786,0.071481489900453,0,-0.0749531502516875,0,0
X601318.CH.EQUITY,0,0,0,0,0.152115166501465,0.160675004362274,0,0,0,0,0,0,0.0309731349727221,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.136964652411634,0,0,0,0,0,0.0569381609425964,0,0.0308150399255032,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.296425317806149,0.094624336938528,0,0,0.174308944023043,0,0,0,0,0,0,0,0,0.18503337729679,0,0,0,0,0.0448412161429288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119213301201111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.48326326357126,0,0,0,0,0,0.309369736157978,0,0,0,0,0,0.190030122983845,0,0.142588599212961,0,0,0.0541012441125122,0,0,0,0.0378588454855056,0,0,0,0,0,0,0,0,0,0,0,0,-0.528310372113875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.258419557736683
X600036.CH.EQUITY,0,0.0497492893490508,0,0,0,0,0,0,0,0,0,0,0.169964421585812,0,0,0,0,0.0286653088088853,0,0,0,0,0.207926765848075,0.0133037044814623,0,0,0,0,0,0,-3.46944695195361e-18,0,0.357841556182573,0,0,0,0,0,0,0,0,0.112159484964112,0,0.142423763952651,0,0,0,0.00290122100228475,0,0,0,0,0
X1299.HK.EQUITY,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0.212712225115564,0,0,0.434887920551538,6.93889390390723e-18,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.0708877243005617,0,0,0,0,0,0,0,0,0,0,0.0405805293098921,0,0.0777521349194106,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.0282956363905445,0,0,0,0,0,-0.103988435832065,0,0,0,0,0,0,0,0,0,0,0.302882613004481,0.147965351584409,0,0,0,0,0,0,0,0.100284943564162,0,0,0,0,0,0,0,0,0.0457040442141632,0.180897938426318,0,0,0,0,0,8.67361737988404e-19,0,0,0.147050582364859,0,-0.0373560030193604
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0363041620748175,0,0,-0.0781773693335529,0,0,0,-0.405456192643432,0,0.629779554417928,0,0.0661278580007786,0,0.695753463613482,0,0,0,0,0,0,0,0,0,0,0.0433631222816394,0,0,0,0,0,0,-0.135913218946036,0,0.257831407142272,0,0,0,0,0
X601658.CH.Equity,0,0,0,0.0780723347906154,0.0729957715645737,0,0,0,0,0,0,-0.045396728613386,0,0.0980917948773282,0,0,0,0.143785825531149,0,0,0.289182328297615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318552809558571,0,0.10952674840436,0,-0.150137568688637,-0.154209907705361,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0
X601328.CH.EQUITY,0.417821050107645,0,0,0.220640124935008,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.103106668550719,0,0,0,0,0,0,0,0,0.0285343475692519,0,0,0,0,0.223910988083419,0,0.010861649058025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218588025615673,0,0,0.0335230812855872,0
X388.HK.EQUITY,0,0,0.423427425401018,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0879434835982328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0456992327937537,0,0,0,0,0,0,0,0,0,0,0,0.00600239692269454,0,0,0.00135346089147321,0,0,0,0,0,0
