,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.370150867039027,0,0,0.0995062962851811,0,0.319700667978351,0,0,0.092382817267384,0,0,0,0,0,0.0891804452299998,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.0162735201708501,0,0,0,0,0,0,0,0,0,0,0,0.00696508718974582,0,0,0,0,0,0
X601939.CH.EQUITY,0.423644949524188,0,0,0.0418029496734999,0,0,0,-0.115323463258221,0,0.0455208183558576,0,0,0.431132038423991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0504281536468767,0,0,0,0,0,0,0,0.048271740222471,0,0,0,0,0,0,0,0,0,0,0.0271178360751849,0,0,0.039008765547498,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0700711493039319,0,0.0685534333369469,0,0,0.257847688203667,0,0,0,0,0,0,0,0,0,0,0,0,0.0963693411508488,0.00367078500395232,0,0,0,0,0,0,0,0,0,0,0.0474319933330758,0,0.0793206671332221,0.183090686391507,0,0,0,0,0,0.124980816940948,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.399021120824107,0,0,0,0.34296843062134,0,0,0,0,0,0.102505815077655,0,0,0,0,0.0505570802368366,0,0.0712994546712259,0,0,0,0,0,0,0,0,0,0,0,0.00751911922636967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0307502027422574
X601988.CH.EQUITY,0,0,0,0.280750571137574,0,0,0,0,0,0.0035498482349406,0,0,0,0.00646938551405881,0,0,0,0.137542128250771,0,0.135430022711354,0,0,0,0,0,0,0,0,0,0,0.0682948290436239,0,0.00941589331272609,0,0,0,0.0419437894436697,0,0,0,0,0,0,0,0.172273400769269,0,0.139384186353543,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316500582988812,0,0.107605548108311,0,0,0,0,0.418057492066066,0,0.146013589344936,0,0,0.490043886688433,-0.556735040510402,0.132655644753946,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117878488457565,0,0,0,0,0,0,0,-0.00222177660801538,0,-0.143931255095517,0
X600036.CH.EQUITY,0,0,0.0517896924569395,0,0,0.0830580569102451,0,0.0579704504947797,0,0.0133381276825491,0,0.346659023220639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0921970781271896,0,0,0,0,0,0.0927106956621277,0,0,0,0,0,0,0.0518746263915736,0,0,0,0,0,0,0,0,0.246026145900459,0,0,0.0067340386458453
X1299.HK.EQUITY,0,0,0,0,0,0,0.018028512078536,0,0.0174166567973665,0,0,0,0,0,0,0.330891379795885,0.00697378007854317,0,0,0,0.0970809086570469,0,0.0641531682307554,0,0,0,0.186834126160141,0,0,0,0,0,0,0,0,0,0.168024120575818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.110948851344235,0,0,0,0,0,0,0,0,0,0,0.0271590715816737,0,0,0,0,0,0.190441359433537,0,0,0,0.0376921454975429,0,0.23148676384786,0,0,0,0,0,0,0.057463632257515,0,0,0,0,0,0,0,0,0.129764785815946,0,0,0,0,0,0,0,0,0,0,0.0217448947955777,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0662617758975241,0,0,0,0,0,0,0,0.421388377867298,0,0,0,0,0,0,0,0,0.13569840543434,0.0132996830988978,-0.477281446338135,0,0,0,0,0.790259217186,0,0,0,0,0,-0.185218978860071
