,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601155.CH.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.178999698338783,0.0768610978148924,0,0,0.384181957940066,0,0,0,0.0317490503535372,0,0,0.0304228183931679,0,0,0,0,0,0,0,0,0,0.207862899044608,0,0,0,0.0603754426385697,0,0,0,0.103739320170953,0.0404312106184847,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0843925049835603,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.12840518295539,0,0.00415041639601283,0,0,0.168938302727497,0,0,0,0.295779307861519,0,0.0465282482414658,0,0.0204758398261662,0,0,0.0933747118885869,0,0.071344923082763,0,0,0,0,0,0.00464372683892691,0.132467081420391,0,0,0.0249523916918845,0,0,0,0,0.0151256888315166,0,0,0,0.0836945960157363,0,0,-0.12071954627317,0,0.176187769564207,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.0551940427629874,0,0,0,0.138982636259947,0,0,0,0,0,0,0.0469730381106304,0,0,0.0618516354668299,0,0,0,0,0,0,0,0,0.0218623076955398,0.442807892734056,0,0.128200207809834,0,0,0,0,0,0,0,0,0,0,-0.131432208975016,0,0,0,-0.0228263911474056,0,0,0,0,0,-4.33680868994202e-19,0,-0.0580579056594939,0,-0.061508618495867
X601939.CH.EQUITY,0.497270382341545,0.122014715332638,0,0,0,0,0,0,0.0883650457439083,0,0.214318508802719,0,0,0,0,0,0,0.192916398355443,0,0,0,0,0,0,0,0,0,0.0863925256533318,0,0,0,0,0,0,0,0,0,0,0.118435881374683,0,-0.101600627929686,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0.0729157062476926,0,0,0,0.461995920414451,0,0,0.0297334128816301,0,0,0,0,0.05173761957636,4.33680868994202e-19,0,0.0925737559205433,0,0,0,0.000408149096964387,0,0.11267245601758,0,0,0.0697265657822471,0,0,0,0,0.100681950562738,0,0,-0.024796654498614,0,0,0,0,0,0,0,0,0,0,0.00606619868210828,0,0,0,0,0,0.0477391923599222
X1299.HK.EQUITY,0,0,0,0,0,0,0,-0.0834599974858888,0.0167912449862055,0.293095949596228,0,0,0,0,0.0549369939780718,0,0,0,0,-0.0558370297993512,0.0238176824788981,0,0,0,0,0,0,0,0,0.156923503295884,0,0,0.000716124636896315,1.0842021724855e-19,0,0,0,0,0,0.242458864187548,0.205105342866013,0,0,0,0,0,0,0.150148747955662,0,0,0,0,0.180272528656459
X601628.CH.EQUITY,0,0,-0.0986988133387776,0,0,0,0,0,0,0.216085022257738,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0372871677712782,0.103019003665353,0.0224741039819338,0,0,0,-0.0631613438427248,0,-0.0189292445758494,0,0,0.237662528318813,0,0,0.378799919381633,0,0,0,0,0,0.0189379875225214,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.055050778968134,0,0,0,0.526165242122366,0,0,0,0,0,0,0,-0.114029545546214,0,0,0,0,0.22216995111876,0,0.0380689279280175,0,0,0,0,0.0149255331566875,0,0,0,0,0,0,0,-0.149543430359014,0,0,0,0,0,0,0,0.0656941664879389,0,0,0,0,0.0552992488467129,0,0,0,0.0343741853214706,0,0,0.00244615143871232
X5.HK.EQUITY,0,0.224313812593749,0,0.0868758669950263,0,0,0,0,0,-0.0960673462993825,0.0469992003214948,0.0365219844069364,0,0,0,0,0,0,0,0,0,0,0,0.285536878251957,0,0,0.121109174978642,0,0,0,0,0,0,0.0529080963622868,0,0,0,0,0.230940932249966,0,0,0,0,0,0,0,0.112907870525897,0,0,0,0,-0.0339014947781643,0
X388.HK.EQUITY,0,0,0,-0.111270433750257,0,0,0,0,-0.0473151252501149,0,0,0,0,0,-0.0274390753764176,0,0.473976799664959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.153741372343829,0,0,-0.20525932124758,0,0.0315786045938897,-2.16840434497101e-19,0,0,0,0.145347517408638,0,0.0787144222927725,0,0.133814665893862,0,0,0,0,-0.474986703498465,0
