,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X601336.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X002736.CH.EQUITY,X601788.CH.EQUITY,X823.HK.EQUITY,X601881.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0.0342716429385938,0,0,0.126098880514276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268855362727469,0,0.675135791600873,-0.093722987823317,0,0.142685310337483,0,0,0,0,0,0,0.0691619687041369,0,-0.226580244067107,0,0,0,0,0,0,0,0,0,0,-0.368652092991862,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.0545177334867914,0.182875047948687,0.0773336701667549,0,0,0,0.0574676009113884,0,0,0,0,0,0,0,0,0.284748850823536,0,0,0,0,0,0,0,0,0,0.155070173686642,0,0,0,0,0,0,0,0,0,0,0.189632774864582,0,0,0,0,0.0147128867849264,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.866224376674666,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0460094509734552,0,0,0,0,0,0.0116532077571445,0,0,0,0,0,0.118921799294485,-0.0418958411149938,0,0,0,0,0,0,0,0,0,0,0,0,-0.0511099186438866,0,0,0,0,0,0,0,0,-0.0403274399559587
X601288.CH.EQUITY,0,0,0.845979001181355,0,0.0952492367466666,-0.073879412423839,0,0,0,0,0,0,0,0.0134632184623087,0,0,0.0575284027283768,0.115053561650451,0,0,-0.00569583915355143,0,0,0,0,0,-0.0903672001165035,0.00969109299405795,0,0,0,0,0,0,0,-0.0209960927343423,0,0,-0.116631584485522,0,0,0,0,0,0,0,0,0,0,0,-0.00480768030258972,0,0
X601988.CH.EQUITY,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0.68108746435464,0,0,0.256088408544838,0,0.0888810822401121,0,0,0,0.0290083501929177,0,0,0,0,0.0392025354872778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.156711414423089,0,0,0,0,0,0.0519282424194078,0,0,0,0,0,0,0,-0.0057727489553602
X601628.CH.EQUITY,0,0,0.0116479235232356,0,0,0,0.276976172384757,0,0,0,-0.0225213656053167,0,0,0,0,0,0,0,0,0,0,0,0.0360542464361271,0,0,0,0,0.0284229524684698,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.18522276504864,0.164859887562699,0.016948251265295,0,0,0,0.0880727507789371,0.120749533211531,0.0727945657087081,0,0.043599890404736,0,0
X600036.CH.EQUITY,0,0,0,0.382796373888118,0,0,0,0.0360450889564299,0.0211775143243252,0,0,0,0,0,0,0.0863239391581202,0,0,0,0.0280049655280583,0,0,0,0,0,0,0,0.166852322121332,0,0,0,0,0,0.243140180546621,0,0,0,0,0,0,0,-0.0203094705123934,0,0,0,0,0,0.046880623123201,0,0,0.0861731660346387,0,0.0297648121310105
X1299.HK.EQUITY,0,0,0,0,0,0.0860970339561174,0,0,0.0014219241051919,0,0,0,0,0,0,0,0.0309444809862941,0,0,0,0.174469388723499,0,0,-0.0618748923291923,0,-6.93889390390723e-18,0,0,2.77555756156289e-17,0,0.17204458063707,0,0,0,0,0,0.0268897837430939,0.0397495070439361,0,0,0,0.176269324296048,0.109184441913246,0,0,0,0,0.44842647137358,0,0,0.0857276795343839,0,0
X5.HK.EQUITY,0,0,0,0,0,-0.115295770566989,0,0,0,0,0.0999036564230734,0,0,0,0,0,0.366201454139768,0,0,0,0,0.193883217660299,0,0,0,0.318337558303302,0,-1.73472347597681e-18,0.0379726086138327,0.0817983534401995,0,0.0279658844728063,0,0,0,0,-0.114876197866047,0,0,0,0,0,0,0.184782544724527,0.135233480997181,0,0,0,0,0,0.051629070857386,0,0.0749709668190897
X601658.CH.Equity,0,0,0,0.225236992683804,0,0,0,0,0,0,0,0,0.0345391261929363,0,0,0,0,0.168038443703248,0.138372908270065,0,-0.222777027024862,0,0,0,0,0,-0.141706096811911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467202914125353,0,0,0,0.0491349583731253,-4.33680868994202e-19,8.67361737988404e-19,0,0,0,0
