,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0.332016622606141,0.016834124172845,0.337152690834241,0,0.0280832679189385,0,0,0,0,0.0406968418763585,0,0,0,0,0,0,0,0,0,0,0,0,-0.0631336520746231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0303305839782905,0,0.110348189775656,0,0.0300831483844574,-0.0931730885931016,0
X601939.CH.EQUITY,0.460277542745373,0,0,0.152933281910506,0,0,-0.160600048882609,0,0,0,0,0,0.188939867909263,0,-0.0607840397085337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256024278771735,0,0,-0.080003974632317,0,0
X601318.CH.EQUITY,0,0,0,0,0.22293029084622,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.047251481686904,0,0,0,0,0,0,0.196567441164418,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.239102325383929,0,0,0,0,0.212081920345115,0,0,0,0,0,0,0.0760830145673651,0,0,0
X601288.CH.EQUITY,0.500927389563265,-6.93889390390723e-18,0,0,0.198562724668959,0,0,0,0,0,0,0,0.0745748516271794,0,0,0,0,0,0,0.0127840281853771,0.116975806565044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0502272010554082,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,6.93889390390723e-18,0,0.505441985429874,0,0,0,0,0,0.216124509950165,0,0,0,0,0,0.327550933167693,0,0.0760568233517206,0,0,0.0173819299690893,0,0,0,0,0,0.0215411103363981,0,0,0,0,0,0,0,0,0,-0.567351689136355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.300686705191929,0,0,0,0,0,0.0724604689350727,0,0,0,0,0,0.00853626591015676,0,0,0,0,0,0.0441994807917676,0.186446478193822,0,0.0788253616536151,0,0,0,0,0.00294248937629493,0,0,0,0.180418140618874,0,0,0,0,0.111096686992425,0,0.0165711700927363,0,0,0,0
X1299.HK.EQUITY,0.0764875599188594,0,0,0,0,0,0,0,0.135197983263008,0,0,0,0.101687320959896,0,0,0,0,0,0,0,0,0,0.010238600314047,0,0,0,0,0.226861589317729,0,0,0,0,0,0,0,0.176029669886273,0,0,0,0,0,0,0.0714895055419411,0,0,0,0.107195020983462,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.0543462293462013,0,-0.124687635369923,0,0,0,0,0,0,0,0,0,0,-0.00835969860195428,0,0,0,0,0,0,0,-0.593871248632855,1.03799788866954,0,0,0,0,0.491187613264282,0,0,0,0,0,0,0,0,0,0.421928016869037,0,0,0,0,-0.103966895240482,0,0,0,0,0,0,0,-0.0731185392303806,0
X601628.CH.EQUITY,0.0140956849086491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142645133399635,0,0,0.0899812493590893,0.178202531197312,0,0,0.00248668564650059,0,0,0.107540739699903,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123375944806389,0.0786433437393409,0.0448789446542261,0,0,0,0.104103426063256,0.00786132426161084,0,0.08948637179365,0,-0.0222184515667541
X601658.CH.Equity,0,0,0,0.0690394472118449,0.0713136514823828,0,0,0,0,0,0,0,0.254138457550013,-0.0390146898179418,0,0,0,0,0,0,0.0156484109414372,0,0,0,0,0,0.210734985808345,0.121745711095844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361971946388267,0,0,0,0,0
