,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0.373651187229025,0.0373444173801601,0.104370221216035,0,0,0,0,0,0,0.218992888131758,0,0,0,0,0,0,0,0,0,0,0.0705654106817643,0.035088364344505,0,-0.0269162985492964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0200393765600941,0,0,0,0,0,0,0.0350909791725647,0.0268593936820729,0,0,0.0325048857660795,-0.126766265058975,0
X601939.CH.EQUITY,0.448036825714213,0,0,0.151278579134543,0,0,0,0,-0.0504589319858832,0,0.239771394390419,0,0,0,0,0,0,0,0,0,0,0,0.0175023174611228,0,0,0,0,0,0,0,-0.0249450189315077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00467182440689723,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.306213989123177,0.0922673763927026,0,0,0,0,0,0,0,0,0.00418511897146008,0,0,0,0,0,0,0.192592845173027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10893898203381,0,0,0.0761147456657815,0.129458056136193,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.327723500810389,0,0,0,0.285571245201943,0,0,0,0,0,0.0523384483829836,0,0,0.071031419202421,0,0,0,0.118071696220647,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.110070738638043,0,0,0,0,0,0,0.00734311906255036,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,-1.38777878078145e-17,0,0.394543339339263,0,0,0,0,0,0.222809748541398,0,0,0,0,0,0.332707294778244,0.123858606700225,0,0,0,0.0102253535104685,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,-0.466696291388987,0,0,0,0,0,0,0,0,0,0.00485797767848721,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.281246265699865,-0.0492108085701485,0,0,0,0.126530793614011,0,0,0,0,0.122321847846375,0,0,0.0118283566014932,0,0,0,0,0,0,0.238713958833655,0,0,0,0,0,0,0,0,0.113752117935693,0,0.120274687708549,-0.00725599377198646,0,0,0.101539999624437,0,0,0,-0.0223249598827564,0,0
X1299.HK.EQUITY,0,0,0,0,0.0104166383626135,0,0,0,0,0,0,0,0,0.24431727560927,0,0,0,0,0.482243218762865,0,0,0,0,0,0.106292336556219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105982648725822,0.0334841119017735,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.216130226770541,0,-0.240545617559658,0,-0.114126472943513,0,0,0,0,0,0.504671084357128,-0.102470809395948,0,0.762915175426353,0,0,0,0,0,0,0,0,0,0.426843393968051,0,0,0,0,-6.93889390390723e-18,-0.238497091161452,0,0,0,0.00374544173822717,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.120805173304629,0,0,0,0,0,0,0,0,0.383138697803661,0,0,0,0,0,0,0,0,0,0,0,0.0155325649639597,0,0,0.080345632164632,0,0,0,0.271482098512973,0,0,0,0,0,0,0.0501442001042937,0,0,0.143316778543402,0,-0.018930958571706
X601658.CH.Equity,0,0,0,0.131795596200228,0.170894241155561,0,0,0,0,0,0,0,0,0.126618730779685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172022162119254,0,0,0,0,0,0,0,0,0.225694378841779,0,0,0,0,0,0,0,0,0,0,0.356213520899448,0,0,0.0291258742287016,0
