,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.365987096822369,0,0.0364152592995067,0,0,-0.00885449856180865,0,0,0.0611345822860423,0,0,0,0.109191298084711,0,0.15924991860952,0,0,0,0,0,0,0,0.1163817926681,0,0,0,0,0,0,0.0592503612021602,0,0,0,0,0,0,0,0,0,0,0,0,0.00041040854586638,0,0,0,-0.145986787714142,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14202131204688,0,0,0,0.471528902483872,0,0,0,0,0,0,0,0,0,0,0.0421687064153563,0,0.00680001659692748,0,1.73472347597681e-18,0.0511722105079974,0,0.0762788436252664,0,0,0,0,0,0,0.0634519064264163,0,0,0,0,0,0,0,-0.124069054765203
X601939.CH.EQUITY,0,0,0,0,0.675046616568214,0,0,0,0,0,0,0.235504962587251,0,-0.0214215784745795,0.099837239851091,0,0,0,0,0.0495547110869552,0,0,0,0.0240410417789645,0,0,0.00196191421029701,0,0,0,0,0,0,0,0,0.00518867142971238,0,0,0,0,0,0.0678215204303686,0,0,0,0,0,0,0,0,0,0,0.0313467709396716
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.131026031725528,0.165298288873917,0,0,0,0,0,0,0.300785631068468,0,0,0,0,0.18052194089302,0.0934606733186955,0,0,0,0,0,0,0,0,0.118649783165826,0.0182219242088681,0.0715227518606283,0,0,0,0,0,0,0,0,0,0,0,0.13913312157305,0,0,0,0,0,0
X601288.CH.EQUITY,0.170831447982227,0,0.834356487992407,0,0,0,0,-0.0795419361942032,0,0,0,0,0,0,0,0,0.0206552378128194,0,0,0,0.023896102868486,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0706523203183285,0,0,0,-0.0119092884587569,0.00952863118164802,-0.17298218919899,0,0,0,0,0,0,0,0,0,-0.00527942439444659,0,0
X600036.CH.EQUITY,0,0.211329738686615,0.0796343317781334,0,0.155352308029562,0,0,0.0957211108749415,0,0,0,0,0,0,0,0.26415696830864,0,0,0.0864313775632897,0,0,0,0,0,0,0.212830893306376,0,0,0.0588398008480848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,1.38777878078145e-17,0,-1.38777878078145e-17,0.142482193995559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105201382189118,0.00191323654723479,0,0,0,0,0,0,-0.00832948777570869,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0311314688294734,-0.0594118125205649,0,0,0,-0.0932425617906301,0.908893013688782,0,-0.0903205633573134,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.259445816548085,0,0,0,0.0405685771886446,0,0,0,0,0,0,0,0.19344056921945,0,0,0,0.105407484638062,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.07298287535576,0,0,0,0,0.0445427067641459,0.0746434051510554,-0.0386097122424931,0,0,0.121893846590329,0,0,0,-0.0924776975016386,-0.114954310224503
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.251890321796458,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0637627601112397,0.3654141204798,0.0234412374456329,0.112891131627859,0,0,0,0,-0.065085844382044,0,0,0.0846756679492496,0,0,0,0,0.147023866579115,0.323226377695658,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0.117002465091128,0,0.163490727196177,0,0,0,0.0310800981027769,0,0,0,0,0,0,0,0,0,0,0,0,0.125414416019892,0.23367106677905,0.0284297951480148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118582463571841,0.287613179012858,0,-0.309138780997411,0,0,0.0212222994420255,0,0,0.156030266801554,0,0,0,0,0,0
