,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X300059.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X1997.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0.240683467955526,0,0.0656299634146871,0,0,0,0,0,0,0.241679556527147,0,0,0,0,0,0,0,0,0,0,0,0,0.0790942919497424,0,0,0,0.0754316620926982,0,0.200433160299326,0,0,0,0,0,0,0,0,0,0,-0.0632726321265487,0.0536119338094741,0,0,0,0,0,0,0,-0.0798332543894284,0,-0.233538599464787,0
X601939.CH.EQUITY,0.154267396823034,0,0,0.351716787744755,0,0,0,0,0,0,0,0,0,0.254185780351221,-0.110778764347473,0,0,0,0,0,0,0,0,0,-0.0775501257389466,0.22078159150031,0,0,0,0,-0.0124176606007305,0,0,0,0,0,-0.0205265246713792,0,0,0,-0.0254506345445516,0,0,0,-0.0269923557448601,0,0,0,0.124456042203553,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0937479241439913,0,0,0,0,0,0,0.0897709171609193,0,0,0,0,0.0624435777577071,0.171418838466083,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0360801555918003,0,0.00701027896606203,0,0,0,0,0,0.023740187800215,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.31190921823418,0,0,0.224370454224243,0,0,0,0,0,0,0,0.192375587705918,0,0,0,0,0,0,0.174970520530559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198407492533681,0,0,0,-0.0252800812296127,0,-0.0451698614195139,0,0,0,0,0.00522109209207205,0,-0.0266000176909813,0,0,0,0.0226338170959215,0
X601988.CH.EQUITY,0,0.121982973772928,0,0.382179369025262,0,0,0,0,0,0.279417211640035,0,0,0,0,0,0.242803130680087,0,0.0847075111884857,0,0,0,0,0,0,0.0934848150237387,0,0.0549936340298256,0,0,0,0,0,0,0,0,0,-0.538356137759091,0,0,0,0.046947874733915,0,0,0,0,0,0,0,0,0,0,0,-0.164474746062793
X600036.CH.EQUITY,0,0.179043908266173,0.0164267738173331,0,0,0,0,0,0.0987602601513158,0,0,-0.0295530783621693,0.124212843511069,0,0,0,0,0.16984329800506,0,0,-0.0217409112777265,0,0,0.131477242543192,0.0296164700819629,0,0,0,0,0,0,0,0.367950496600217,0,0,0,0,0,0,3.46944695195361e-18,0,6.93889390390723e-18,0.0310309499135446,0,0,0,0.0615849696475126,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0861041356785226,0,0,0.17546927511311,0,0,0.288849020533544,-6.93889390390723e-18,0,0,0,0.136687936317464,0,0,0,0,0,0,0.0900519931044683,0,0,0,0,0,0,0,0,0,0,0.150651824450928,0,0.0357588749431161,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0436568235154326,0,0,-0.0376182563735745,0,0,0,-0.381251570994846,0.61046600717537,0,0,0.0433560676658578,0,0.690244920457752,0,0.0174761920481758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148249777579552,0,0,0.28614409343333,0,0,0,0,0
X601628.CH.EQUITY,0,0.0388630677136193,0.108715123655818,0,0,0.20000898992506,0,0,0,0,0,-0.137240467901674,0,0,0,0,0,0,0,0,0,0.355205557952611,-3.46944695195361e-18,0.104693974290749,0,0,0,0,0.112890501312497,0,0,0,0,0,0,0,0,0,0,0,0,0.0206645642403531,0,0,-0.0541759502764619,0,0,0,0,0,0.157769613486661,0,-0.0506475951110165
X601658.CH.Equity,0,0,0,0,0.11848999837045,0,0,0,0,0,0,-0.106915121572665,0,0.114732361389459,0,0,0,0.0967930351494942,0.22710906295563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157174978462732,0.323857296886589,0,-0.147225789960778,-0.135904615996996,0,0,0,0,0.104320048746156,0,0,0,0,0,0,0
