,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.248164187876632,0,0.397467830885525,0,0,0,0,0.0848620251617372,0,3.46944695195361e-18,0.139758148873199,0,0,0,0,0,0,0,0.0198121647512867,0,0,-0.0552675665074551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119163783822745,0,0.126576911020598,0,0,0
X601939.CH.EQUITY,0.35379343458455,0,0,0.286602557260472,0,0,-0.0959510999130808,0,0,0,0.00277588914197804,0,0.140047057103113,0,-0.0647200876073955,0,0,0,0,0,0,0,0,0,0,0.0316002990809186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201207160795293,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.154235141139728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1209519447532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175456713707066,0,0,0,0,0,0,0,0.129971622426798,0.0854774469300525,0,0,0.142894709777243,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.471868921761868,0,0,0,0.258434362102079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0872481335768297,0,0,0,0,0,0,0,0,0,0,0.0273665935689479,0,0.0348761246448309,0,0,0,0,0,0,0,0.0708937653859199,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.118154810272909,0,0.416150779898007,0,0,0,0,0,0.273869723755384,0,0,0,0,0,0.122814056451195,0,0,0,0,0,0,0,0,0,0,0,0.0252655832492015,0,0,0,0,0,0,0,0,0,0,0,0.0873399588863717,0,0,0,0,0,0,0,0,0,0,0,0,0.0757944716141096,-0.0556522757590585
X600036.CH.EQUITY,0,0,0.0498514058650689,0,0,0,0,0,0,0,0,0.358418490806009,0,0.0319784297278122,0,0,0,0,0,0,0,0,0.0288249806876291,0,0.127351876603329,0,0,0,0,1.73472347597681e-18,0,0,0,0.0697248425823521,0,0,0,0,0,0.0523209313252151,0,0.0123949002494009,0,0,0,0,0,0,0.277578074777303,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,-1.73472347597681e-18,0,0.0848835959427059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0557390369013488,0.244770572128617,0,0,0.130177857204534,0,0,0,0.134188442624571,0,0,0,0,0,0,0,0,0,0,0,0.146695119669696,0.0443605415712352,0,0,0,0,0
X5.HK.EQUITY,0,-0.186366754529783,0,-0.0883498032383362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18774726112234,-0.770209367233429,0,0,0.493172841957858,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43725526548338,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,-0.0833302159674313,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.103905389765008,0,0,0,0,0,0.0816684856556016,0,0.208174357272321,0,0.125006066884124,0,0,0,0.216887003079442,0,0,0.0424335842379007,0,0,0,0,0,0,0,0.0178152526625761,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0637658365478654,0,0,-0.00490345745806544
X601658.CH.Equity,0,0,0,0.0982052796374325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323481287229009,0,0,0,0,0,0,0.362656034985818,0,0,0,0.131780140148277,0.0591351908463426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
