,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.313804129521641,0,0.000443470275500409,0,0,0.354276814483474,0,0,0,0,0,0,0,0.020960396087249,0,0,0,0,0,0,0,0,0.173984379867497,0,0.0226153772972873,0,0,0,0,0,0,0,0,0,0,0.10579748278599,0,0,0,0,0,0,0,0,0,0,0,-0.0308012295495981,0,0,0,0
X601318.CH.EQUITY,0,0,0.219811904035103,0,0,0,0,0,0.184861203779699,0,0,0,0.0399093620237741,0,0.081276831612609,0,0,0.0329637196449917,0,0,0.164005320389567,0,0,0,0,0,0,0,0,0,0.0564365245431153,0,0,0,0,0,0,0.0779569993793754,0,0,0,0,-0.0129248231432972,0,0,0,0,0.0188642808055959,0,0,0,-0.0337004044516206,1.73472347597681e-18,-0.128595481801847
X601939.CH.EQUITY,0.414121203676615,0.294298235171185,0,0,0,0,0,0.422388510170349,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.095854552156516,0,0,0,0,0,0,0.107027903722165,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,-0.029212092900788,0,0,0,0,0,0,0,0,0,0,0.148845414444451,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.532992144468649,0,0,-0.0771674664386296,0.0508709909468432,0,0,0,0,0,0.0042211037494731,0,0,0,0,0.0652482257348208,0,0.158548907460351,0,0,0,0.100895730525454,0,0,0,0.051128802760806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406973062990511,0,0.0136296435595753,0.0137582757361819,0,0,0
X600036.CH.EQUITY,0,0.0574878749780432,0,0,0,0,0.120134683100504,0,0,0,0,-0.0658022074373426,0.0653294703775721,0,0,0.171118737034932,0,0.244176137401588,0,0,0,0,0,0.212812646031482,0,0.112770070388568,0.0497283118379381,0,0.0925081432530382,0,0,0,0,0,0,0,0,0,0,0,0.0488185910911296,0,0,0,0,0,0,-0.0995101204747495,0,0,-0.181424946532555,0,0.0261827258749673,0
X601628.CH.EQUITY,0.100498316453593,0,0,0,-0.0562852704700561,0,0,0,0,0,0,0,-0.0463896612889265,0,0,-0.24084723224368,0,0,0,0,0,0.0806794923783908,0,0.0873867887581623,0,0,0,0,0,0,0,0,0,0.168841320913439,0.537566674959627,0,0,0,0,0,0,0,0,0.0979489527877787,0,0,0,0,0.0260879523778298,0.0193080032213469,0,-0.0746899290308725,0.141394315733913,0
X1299.HK.EQUITY,0,0,-0.0423287172674501,0,0,0,0,-0.0337479572990416,0,0,0.093084964378399,-0.0214960736499515,0,0,0,0,0,0,0,0,0,0,0.128182522547745,0,0,0,0,0,0,0,0,0,0.0294231824178559,0,0,0,0,0.060086522649126,0,0.128908462553052,0.115031189734549,0.139678119995041,0.153384303526738,0,0,0,0,0,0,0.284072601238613,0,0,0,0.0253249787139426
X601988.CH.EQUITY,0.171857139195538,0,0.0906627362001595,0.378672973693167,0,0,0,0,2.71050543121376e-20,0,0,0,0.244351022610084,0,0,0,0.0705121291321253,0,-8.67361737988404e-19,0,0,0,0.0324958591419351,0,0,0,0,0,0,1.73472347597681e-18,0.119015764373512,0,0,0,0,0,0.0170822947540649,0,0,0,0,0,0.0181126175661283,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.12461345838081,0,0,0,0,0,0,0,0,0,0,0,-0.0884579192293789,0,0,0,0,0,0,0.23857495657509,0,0.186833290044142,0,0,0.142666872518664,0,0,0,0,-8.67361737988404e-19,0,0.0545187293897833,0,0,0,0,0,-0.066990911106005,0.0530333525022754,0.19749021878605,0,0.270973688010163,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0.124448878579007,0.0587683228911363,-0.0151927518794334,0,0,0,0.0121921168774284,0.0591446508996983,0.144205066811129,0,0,0.114757396822183,0,0,0,0,0,0,0,0,0,0,0.0878626503718504,0,0.423292850668376,0,0,0,0,0,0.0280388036843692,0,0,0,0,0.0345301475214922,0,0,0,0,0,1.73472347597681e-18,0,0,-0.105319195647658,0,0,0,-0.0974038039364988,0
