,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.360912751838905,0,0.310466040825248,0,0,0,0,0,0.047715229490902,0,0,0,0,0.0513355483987459,0,0,0,0,-0.044448110019103,0,0,0,0,0,0,0,0.0441623887783154,0,0,0,0,0,0,0,0,0,0,0,0,0.0902084462425856,0,0,0,0.0582140419889112,0,0,0,0,-3.46944695195361e-18,0,0,0,0
X601318.CH.EQUITY,0.108477184662594,0,0,0,0,0,0,0,0.179219686503108,0,0,0,0,0,0,0,0.179214359280894,0,3.46944695195361e-18,0,0,0,0,0,0.0678332563546176,0,0,0,0,0,-0.0561989189866793,0.136484523925629,0,0,0.0316612855973008,0.156517709349751,0,0,0,0,0.0391610318547184,0,0.0204911489709345,0,0,0,0.0582829309025366,0,0,0.136092258888883,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.340433290892216,0,0.0711563324277596,0,0,0,0,0,0,0.434314671017614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544537728957593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.386950327113697,0,0,0,0,0.257933987526481,0,0,0,0,0,0,0,0,0.0351049309088411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208712590980059,0,1.38777878078145e-17,0.0112053204547404,0,0,0,0.025535107516978,0.0870858707673034,0,0,0,-0.0118164555556883
X5.HK.EQUITY,0,0,0,0.00856579203413775,0,0,0,0.00853123373734183,0.203432231815219,0,0,0,0,0,0.0483590031725366,0,0,0,0.467551265778394,0.0659138989767182,0,0,0.0182642549520672,0,0,0,0,0.111528292509927,0.115939912084279,0,0,0,0,0,0,-0.1446155874739,0,0,0,0,0,0,0,0,0,0,0,0,0.0739356064195649,0,0,0,-0.040638291518065,0
X601988.CH.EQUITY,0.386404337034029,0,0,0.00301014607652604,0,0,0,0,0,0,0.065758640353347,0,0,0,0,0,0,0,0.0148564681038519,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162122360013663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330818574766935,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.143141796940727,0,0,0.015819153124228,0,0,0,0,0,0.573493486198622,0,0,0,0,0,0,0,0,0,0,0.0717267906520787,0,0,0,0.0621451446424459,0,0,0,0.065942492646703,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.0125586415357679,0,0,0,0,0.0516729239775007
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0750569986138471,0,0,0,0.428391205216859,0,0,0,0.12045046165835,0.0536335298690097,0,0,0,0,0,0,0,-0.0349397772403924,0.406736775417133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.257051984410818,0,0,0,0,0.0609400907998239,0,0,0,0,0.0128899281809575,0,0,0,0,0,0,0,-0.0798844139090015,0.0981812791294269,0,0,0,0.156856657792676,0,0,0,0,0.151980503733248,0,0,0,0,0,0,0.0712079592706034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0663695162857201,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222798276476906,0,0,0,0,0,0,0,0,0,0.256569548808373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104660673077961,0,-0.739944480200015,0.264141547142323,0,0,-0.306063802961352,0.626655987027399,0.425727872316144,0,-0.13768134487289,-0.126710580697588,0,0,0.0608656527163497,-0.417318679600791
