,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X600606.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.171776752585909,0.158788619026331,0,0.0142928009061365,0.117736374548849,0,0,0,0,0,0.0608833507858701,0,0,0,0,0,0,0,0,0,0.0064734566717848,0,0,0,0,0,0,0,0,0,0.156916686809788,0,0,0.127050399252677,0,0,0.0510424208710091,0,0.0127521312473874,0,0,0,0,0,0.037077864693158,0,0,0,0.0462721357247718,0,0
X002142.CH.EQUITY,0.191286756320949,0,0,0.131540988828202,0.490856269246616,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0901088697735752,0,0,-0.348015348879913,0,0,0,0,0,0.122080048617279,0,0,0,0.169407758154806,0.211799775733888,0,0,0.294749434509634,0,-8.67361737988404e-19,-0.0296810163249079,0,0,0,0,0,0,0,0,0,0,-0.234844176877231,0,0,0,-0.0650283540885317
X600000.CH.EQUITY,0,0,0,0,0.110345451961645,0,0,0,0,0,0,0,0.428774182214824,0,0,0,0,0,0,0,0,0,0,0,0,0.254832003445785,0,0,-0.00834801139057262,0,-0.0449538927504048,0,0,0,0,0,0,0,0,0.694621658501248,0,-0.130434798149813,3.46944695195361e-18,0,0,0,-0.0329745381698666,0,0,0,0,0
X600016.CH.EQUITY,0,0.278597651847343,0,0,0,0.149272810663055,0,0,0,0.120848328192568,0,0.0292442795787695,0,0,0,0,0,0.0805938763745719,-0.000244174640611723,0,0.289389734762781,-0.264942083950166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0743543037262375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.178540609078233,0.125575930546504,0,0,0,0,0.0196149056862299,0,0,0,0,0.381993087543159,0,0,0,0,0.191282518918149,0.0199637522631083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00150399145147807,0,0,0,0,0,0,0,0,0,0,0.00716183059361498,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0180101830368168,0.0665937386662828,0.131520486582149,0,0.473746982303306,0,0,0,0,0.130023427499197,6.93889390390723e-18,0.157040256676262,0,0.0541056379061755,0,0,0,0,0,0,0,0,0,0.00289244211700359,0,0,0,-0.00375991502171686,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014827415343027,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,-0.0387980012848058,0,0,0,0,0,0,0,0,0,0,0,0.786929859379043,0.0579364798064706,0,0,0,0,0,0.0127857457845371,0,0,0,0,-0.0256406076437302,0,0.0411746786476565,0.0147672461675886,0,0,0,0,0,0,0,0,0,0.0688576174788374,0,0,0,0,0,0,0,0,0,0.0243816226518955,0,0,0
X601229.CH.EQUITY,0,0,0.00983139800945667,0,0,0,0,0,0,0,0.702579781542195,0,0,0,0,0,0,0,0.545528063712331,0,0,0,0,0,0,0,0,0,0.166046045724559,0,0,0,0,0,0,0,0,-0.0764321361740738,0,0,0,0,-0.288296858039289,0,0,0,0,-0.0955553959117835,0,0,0.0718094828316539,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0377868182749133,0,0.896421125521163,0,0,0,0,0.0236586216239309,0,0,0,-0.0270290863999654,0,0,0,0,0,0,0,0,0,0,0.13432639311523,0,0,-0.0778367435238522,0,0,0.042327888374085,-0.0885733548000867,0,-0.0229057208304811,0,0,0,0,0,0,0,0,-0.0481310932672492,0
X601328.CH.EQUITY,0,0,0.0289009769613772,0.373612480177725,0.113168056843003,0,0,0.243935357796725,0.0462643919563398,0,0,0,0,0.0204741982290484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0.201978379802571,0,0,0,0,0,0,0,0,0,0,0.147739848126989,0,0.327207607866056,0,0,0,0,0,0,0,-0.0793827516848285,0,0,-0.276963330486576,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.0743189638321078,0,0,0,-0.346897628267682,0.0126381701529145,0,0,-0.0539044444224984,0,0,0.431733659372771,0,0,0
X601818.CH.EQUITY,0,0,0.0825435871136567,0,0,0,0,0,0.27919257023199,0,0,0,0,0.0681117999760163,0,0,0,0,0,0.102148930095982,0,0,0,0,0,0,0,0,0,0.0518664746992499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000913926504561202,0,0,0,0
X601939.CH.EQUITY,0.0525345089124824,0.0111666181069161,0.0885310076145031,0.00308349380843348,0,0,0,0,0.807933413279049,0,0,0,0,0,0,0,0,0.007798817901783,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0649886192229973,0.018180683177173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.13112694459534,0,1.06899271454507,0,3.46944695195361e-18,0,0,0,3.46944695195361e-18,0,0,-0.0379997140000507,0,0,0,0,0,0,0,-0.0797595432254417,0,0,0,0,0,0,0,0,0,0,0,-0.0659116775233,0,0,0,-0.116586791501373,0,-0.0325467743172301,0,0,0,0,0,0,0,0,0,-0.01885278691689
X601998.CH.EQUITY,0,0,0.0208142861097748,0,0,0,0.528653481419463,0,0,0,0.255378101846052,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.171448673116401,0,0,0,0,0,-0.0136424604021625,0,0,0,0,0,0.117620639129472,0,0,0,0,0,0,0.0100686622168594,0,0,0,0,0,0,0,0,0,0,-0.0759316968301154,0
X601658.CH.Equity,0,0,0.02849869424752,0,0,0,0,0,0.271260282346432,0,0,0,0,0,0,0,0,0,0,0.00693980652611914,0,0,0,0,0,0,0,0,0,0,0,0,0.233429604584223,0,0,0,0,-0.0327559620826904,0,0,0.0503839496243668,0,-0.0842590360168304,-0.145894491731136,0.346844009151838,0,0,0,0,0,0,0.108386198215283
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0544240338044557,0,0,0,0,0,0,0.191677972035366,0.362222366559059,0,0,0,0,0,0.0923082159103142,0,0,0,0,0,-0.102109584426833,0,0,0,0.0355446998440926,0,0.06511763695748,0,0,0,0,0,0,0,0.0089640988833061,0.139549369273122,0,0,0,0,0.114761050758979,0
X2388.HK.EQUITY,0,0,0,0.015974631759731,0,0,0,0,0.0440553436937605,0,0,0,0,0,0,0,0.271346406494586,0,0.113584239533524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0564846042840537,0,-0.0979770237531601,0,0.0371713375588061,0,0.00337421696711067,0,0.0519385402945736,0,0.456597653559037,0,-0.0695782449618127
