,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.113781867651132,0.117669876608247,0,0.116159618628417,0.128696215943318,0,0,0,0,0,0,0,0,0,0,0.0964555988464559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0841061479041748,0,0.0731488581427462,0.0930340855497207,0,0,0.0140178387701273,0,0.0294839007928719,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0.17783065134707,0.561685535837845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321139353684421,0,0,0,0,0,0,0.0547664862723877,0,0,0,0,0.0168428723176068,0,0,0,0,0,0,0.0148327691800302,0,0,0.247292335238721,0,0,0,0,-0.0323104523432743,-0.215977038987908,0,0,0,-0.0360436594925087
X600000.CH.EQUITY,0,0,0,0,0.164216271959515,0,0,0,0.143151261716399,0,0,0,0.175335027808616,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260094899761546,0,0,0,0,-0.0137968408581009,0,0,0,0,0,0,0.0891826826760714,0,0.681957809833202,0,-0.122610120922594,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0.186912952133628,0,0,0,0.228805418612224,0,0,0,0.133037145527606,0,1.73472347597681e-18,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.55282075198316,-0.516199026513698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0183296378719218,0,0,0,0,0,0,0,0,0,0.0461079338736519
X600036.CH.EQUITY,0,0.268716684889826,0.161790012843473,0,0,0,0,0.0199437954781144,0,-2.16840434497101e-19,0,0,0.344206793152221,0,0,0,0,0.124808143639639,0.0169399398619964,0,0,0,0,0,0,0,0,0,0,0,-0.00748716196514149,-0.0212673830511225,0,0,0,0.0230632684800715,0,0,0,0,0,0,0,0,0,0,0.0972839812326075,0,0,0,0.0873329606822918,0
X601166.CH.EQUITY,0.0166623513798161,0.0361473541481222,0.0912034827377749,0.0482481123462919,0.0120676361800826,0,0.0733396133408067,0,0,0,0,0.0418135421893271,-3.46944695195361e-18,0.469241590250177,0.0569947065396802,0.0715617646167983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0309517722693788,0.0259059001079964,0,0,0,0,0,0,0,0.0513134122860762,0,0,0.0712711403235211,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,1.73472347597681e-18,0,0,0,0.00443784120024804,0,0,-0.0860245968335288,0,-0.0294402898710453,0,0,0.803235416237209,0.0257092719155361,0,0,0,0,-0.0577861974999356,0,0.123021939244488,0,0,0,0,-0.0323787410060543,-0.0109745737877062,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.0979135131953807,0,0,0,0,0,0,0,0,0,0,-0.0117673643735184,0
X601229.CH.EQUITY,0,0,0.00380063165627691,0,0,0,0,0,0,0,0.721207475884923,0,0,0,0,0,0,0,0.490276577679068,0,0,0,0,0,0,0,0,0,0,0.131479199813968,0,0,0,0,0,0,0,0,0,0,0,0,-0.256949378488033,0,0,0,0,-0.153905081448965,0,0,0.0708179423457009,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.00127071716502834,0,0,0.915030032536027,0,0,0,0,0.0534926675343264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126859271819746,0,0,-0.0749743342179816,0,0,0.0140933713216639,-0.10609287764185,0,-0.028944035384582,0,0,0,0,0,-2.16840434497101e-19,0,-0.0415716510049809,0
X601328.CH.EQUITY,0,0,0,0.327798055329539,1.38777878078145e-17,0,0,0.250032811109483,0.212405272695207,0,0,0,-6.93889390390723e-18,0.0103990076631795,0,0,0,0.00466776632181461,0,0,0,0,0.047490185503523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02562563957285,0,0,0,0,0,0,0,0,0,0,0
