,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X600837.CH.EQUITY,0,0,0.120827398737086,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0.0887145279277639,0,0,0,0,0.107516015178446,0,0,0,0,0,0,0,0,0,0,0,0,0.149857551335207,0,0,0.405483943566142,0.0620735940770288,0,-2.16840434497101e-19,0.12317049097688,0,0,0,0,0,0,0,0,0,-0.00777724708362364,0.0393104584026499
X600999.CH.EQUITY,0,-0.0153221748411973,0,0,0,0,-0.00939347447275789,0,-0.00554253275056672,0,0,0,0,0.00347237998770972,-0.0723569450185978,0,0,0,-0.0738940012744857,0,0,-0.0202513144744233,0.229996774954316,0,0,0,0,0,0,0,0,0,0,0.360863493434992,0,0,0.292056193887508,0.0922294544592175,0,0,0.126617540904535,0,0,0.101237024560298,0,0,0,0,0,0,0,0
X601211.CH.EQUITY,0,0,0,0,0,-0.167352538854407,0,0,0,0,0,0.0170649770151215,0,0,0,0,0,-0.0172953386480674,-0.0163977960888175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.510080927370694,0.125990538889156,0.0566443023370344,0,0,0,0,0,0,0,0.497185392290881,0,0,0,0.0320766782528246,0.0800585366192957,0,0,-0.0890698914491319
X601688.CH.EQUITY,-0.0773315272148086,0,0,0,0,0,0,0.139709870614158,0,0,0,0,0,0,0,0,0,0,0.0194249932260213,0,0.207331184500572,0,-0.229765783486044,0,0,-0.148815472138612,0,0,0,0,0,0,0,0,0,0.585798930870412,0.11089969342225,0,0,0,0,0.323340470873308,0,0,0,0,0,0,0,0,0.177988466841471,0
X2885.TT.EQUITY,0,0,0,0.389002291311655,0,0,0,-0.0664730734108614,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0561461590301398,0,0,0,0,0,0.162458843216593,0,0.0139744818206455,0.114102338110929,0.0493110900580837,0.2323872034446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267104108396835,0,0.103713429486433,0.157795341083861,-0.0834717641084174
X601318.CH.EQUITY,0,0,0,0,0,0.4360033843047,0.0498678232896946,0,0,0.0946302044815653,0,0,0,0,0,0.115551031495073,0,0,0,0,0,-0.0523584794778171,0,0,0,0,0,0,0,0,0,0,0,0,0.0616367348321873,0,0,0,0,0,0.111363960631003,0.195494113868729,0.0189696886962094,0,0.0469692075873134,0,0,0,0,0.0930942423766196,0,0.0543441524198996
X601319.CH.EQUITY,0,0,0,0,0.0785600742414885,0,0,0.179984952539512,0.167256352130232,0,0.018227905435069,0,0,0,0,0,0,0,0,0,0,0,0.208763788506391,0,0,0,0,0,0,0,-0.0224538601722804,0,0,0,0.523731515886777,-1.73472347597681e-18,0,0,0,0,0,0,0,0.278057392829045,0,0.249091306999344,0,0,0,0,0,0
X601336.CH.EQUITY,0,2.16840434497101e-19,0,0,0.0252517439638884,0,0,0,0,0,0.0280480915791754,0,-0.0194977685863021,0,0,0,0,0,0,-0.105316977185935,0,0,0,0,0,0,0.0619782120428646,0,0,0,0,0,0,-0.149961554039024,0,0,0,0.459846533688162,0,0.208913552741113,0.0246909888581733,0,0,0.307091402174778,0,0,0,-0.0227305189665005,0,0.0812819822784772,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.360524313821076,0,0,0.0495479956016487,0,0,0.0240399685457296,0,0,0,0,0.0345009552399897,0.0994780883113096,0,0,0,0,0.0150871953189186,0,0,0,0,0,0,0,0,0,0.0752461869713301,0,0,0.367380428315617,0,0,0,0.470307342933459,0,0,0,0,0,0.0525797733973787,0,0
X601628.CH.EQUITY,0.0579618237769502,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.163671959297236,8.67361737988404e-19,0,0,0.113524214387961,0,0.00283671474075479,-0.0104528450750671,0,-0.0114129508397134,0,0,0,0,0,0,0,0,0,0.0180882985175327,-0.11769020652051,0,0.344249365857471,0,0,0,0.147219796188862,0.0766981500800088,0.267851455892689,0,0,0,-0.0142467394462505,0,0,0,0,0
X1299.HK.EQUITY,0.239231351901899,0,0,0,0,0,0,0,0.126635041282011,0,0,0,-0.156535960569122,0,0,0.0475977828435459,0,0.044354252326288,0,0,0,-0.117513749907445,0,0,0.0872241618486826,0,0.33481607397892,-0.0347439845117881,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0.100733057996501,0,0,0,0,0,0,0,0,0,0,0,0,0.323350164792163,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0436621891673523,-0.0285624789511819,0,0,0,0,-0.00838874010425107,0,0,0.0769899684387725,0,0,0,1.38777878078145e-17,0.132902220824571,0,0.0268457270450035,-0.114796805572137,0,0,0,0,0.364482706727402,0,0,0,0,0,0.359093452088743,0.0979208744574673,0,-0.0187861450026573,0,-0.0360054243158932
X2882.TT.EQUITY,0,0,0,0,0,0,-0.0486674296545976,0,0,0,0,0,0,0,0,0,0,0,-0.00944958387897704,0,0,0,0,0,0,0,0.0801733844947334,0.0268268211993576,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.756479605779706,0,0,0.158972960555083,0,0.0170098380332312,-0.0285986331018358
X2883.TT.EQUITY,0,0,0,0,0,0,0,-0.0886400081934004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239562235597175,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.211150249727971,0,0,-0.0331008183576172,0,0,0,0.453590809316747,0,0,0.27270484442436,0,0,0
X2888.TT.EQUITY,0,-0.0314549361278635,0.0426600753385557,0,-0.0349562495492602,0,0,-0.0994163712695692,0,0,0,0,0,0,0,0,0,0,0,0,0.171681978935559,0,0,0,0.019342411552888,0,0,0,0.138373176338979,0.179672009786924,0.147890199670207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260392353327475,0.0514414131485956,0.0685129776453562,0,0,-0.0948624152278248,0.0197033609743177
X267.HK.EQUITY,-6.93889390390723e-18,0,0,0,0,0,-0.0375287731458441,0,0.0429022582556601,0,0,0,0,0,0,0.166891246470023,0,0,0,0,0,0,0,0,0,0.247192059625337,0.160759670408635,0,0,0,0,-0.122501834361504,0,0,0,0,0.0879028526129733,0,0,0,0,0,0,0,0,0,0,0,0.395350230451962,0,0,0
MKRturn,0,0,0,0,0,0,0.270563372442118,0,0,0,0.526661955306321,0,0,0,0,0,0,-0.418026647061452,0,0,0,0,-0.0190724301419485,0,0.0706430061058712,-0.111156151960997,-0.363635721549315,0,0,0,0,0,0,0,0,0,0,0.0233077468127112,0.300369050740611,0,0,0,0,0,0.118755419535944,0,0.283850034657751,0,0,0,0,-0.212258148895355
TED,-0.213108058105438,0,0,0,0,0,0.190280015511124,0,1.0842021724855e-19,0,0,0,0,-0.0827328211754294,0,0,0,-0.138345070863629,0,0,0,0,-0.258472991104108,0,0,0,0.342869234561112,0,-0.322142251189864,0,0,0,0,0,0,0,0,0,-0.0635400548882839,0,0,0,0,-0.0454390705911419,0,0,0,-0.0918533391445646,0,0.00478365520626558,-0.107519038357815,0
