,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X000002.CH.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0,0.349463943713196,0,0,0.309091863241778,0,0.0308582113764344,0,0.134643184152303,0,0,0,0,-0.0554280937032,0.0361062335730808,0,0,-0.00593773794520271,0,0,0,0,0,0,0,0,0,0,-0.147881173229954,0,-0.000357957493276087,0,0,0,0,0,0.0676064623226811,0.115460326641571,0,0,-0.222929604741081,0,0,0,0,0,0,0,-0.00163239203148757,0,0
X002142.CH.EQUITY,0,0,0,0,0,0,0,0.361877528818382,0,0,0,0,-0.0769677266407474,0,0,0,0,-0.0759956453888053,0,0,0,0,0,0,0,0,0,-0.0685800792159718,0.00945487790107886,0,0,0,0,0,0,0,0,0,0,0,0,0.147497606086517,0,0.0460227682198342,0,0,0,0,0,0,0,-0.221135553165904
X600000.CH.EQUITY,0.289055290330237,0,0,0.0196757961954979,0.167879802478913,0,0.0412057122662829,0.0529877635001189,0,0,0.120232182656404,0,0,0,0,0.151232231193184,0,0,0,0,0.0130493742459849,0,0,0,0,0,0.167139373394829,0,0,0,0.0186985188782076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0669376647007924
X600015.CH.EQUITY,0,0,0.221443107171153,0,0.00846921252456436,0,0,0,0,0,0.110549237213091,0,0,0,0,0.0515285934914743,0.320030525946379,0,-0.102703073133648,0,-1.38777878078145e-17,0,4.33680868994202e-19,0.0228443029358122,0,0,0,0,0,0,0,0,0,0,0,0,0.0363500131696875,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.0349233050288629,-0.0319949712988265,0
X600016.CH.EQUITY,0.0548228604971723,0,0.280833194799807,0,0,0.0108817958824818,0,0,0,0,0,0,0,0,0.216396421909453,0,0,0,0,0.316085136230543,0,0,0,0,0,0,0.0827656950875044,0,0,0,0,0,0.114552075127067,0,0,0,0,0,0.0742208260299878,0,0,0,0,0,0,0,-0.0499951323871322,0,0.107078716494356,0,0,0
X600036.CH.EQUITY,0,0.0328716312876972,0,0,0.117440428045171,0,0,0.00824670351019144,0,0.241536531736662,0,0.118823371289445,0,0,0.0446836476278899,0,0,0.0184655428748153,0,0,0.127590348126162,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0.0241362974691111,0,0,0,0,0,0,0.227701143991441,0,0,0,0,0,0,0,0,-0.0522475244642098
X600919.CH.EQUITY,0,0,0.0482739804579066,0,0,0.014919310727925,0,0,0.118340311625437,0,0,0,0.0709676379070895,0.00771475430056798,0,0,0,0,0,0,0.407666959565006,0,0.164419458660265,0,0,0,0,0,0,0,0,0.0876946618098287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600926.CH.EQUITY,0.0642974646074943,0.0940101639783708,0,-0.0310791090722099,0,0.068026964958458,0,0,0,0.443058444155098,0,0,0,-0.199780808746851,-0.0211091921814118,0.213234912684007,0,0.0830069358429415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0,0,0,0,0,0,0.0609251008552892,0,0,0.138829936141446,0,0.112156115319171,0,0.0968007227569281,0,0.0164543006131515,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.170317360359073,0,0,0,0,0,0,0,0,0,0.0495837768482887,0.0678443344271472,0,0,0,0,0,0,0,0,-0.0573290663128922
X601166.CH.EQUITY,0.209306093484505,0,0,0,0.0147001014391788,0.307586569274299,0,0.232020232180958,0,0,0,-0.071890620918022,0,0,0,0,0,0.0473463140641174,0,0,0,0,0.239110682110698,0,0,0,-0.106901486676786,0.0989673409957232,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0578534815793769,0,0.0747799520272324,0.0329201993545081,0,0,0
X601169.CH.EQUITY,0,0,0.311371801353192,0,0.0805545090178804,0,0,0,0,0,0,-0.0456131540297979,0,0.150414261382238,0,0,0,0,0,0,0,0,0,0.178813322073537,0.200044458544912,0.0507498994237656,0.00830412146539085,0,0,0,0,0,0,0,0,0,0.0351750627567043,0,0.0244588571126297,0,0,0,0,0,0,0,0,0.13394558343861,0,0,-0.0150179577103491,0
X601229.CH.EQUITY,0,0.0891842393159567,0,0.343653522902753,0,0.0569589467388694,0.0889537229110948,0,0.0958599278353439,0.00019367991965117,0.0845012130114029,0,0,0,0,0.0661129242249335,0,0,0,0,0.128243698765245,0,0,0,0,0,0,0,0,0.0308673677858719,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0554612061889781
X601288.CH.EQUITY,0,0,0.028973214769952,0,0,0.0703915974777284,0.104675699738886,0,0,0,0,0,0,0.063207841955284,0.395613161377983,-0.0688178155241195,0,0,0,0.437693387085074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.259166432975841,0,-0.0541130954356738,0,0,0,0,-0.211731877927157,-0.0078690709737792,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.438400084948953,0,0.100226808484067,0,0,0,0,0,0,0.264781190532021,0,0,0,0,0.00917426679401965,0.0014595265544231,0,0,0,0.0536563684330402,0,8.67361737988404e-19,0,0,0,0,0.0282885118580151,0,0,0.0405437554248981,0,0,0,0,0,0,0,0,0,0.0366429793089507,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,6.93889390390723e-18,0.0708732993433301,0,0,0,0,0,0,0,0,0,0.444943878843006,0.116314993447303,0,0.0450211967772053,0,0.0881054653413614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073313500494193,0,0,0.0760198316039899,0.0873036350285385,0,0,0,0,0,0,0,-0.0629425571895267,0
X601577.CH.EQUITY,2.77555756156289e-17,0.152865921988805,0.0381147206578432,0,0,0,0,0.189012594627594,0,0,0,0.123792722358857,0,0,-0.149744204608602,0,0,0,0,0,0.239975830683648,0,0.100878408997134,0,0,0,0.0361507645791008,0,-0.0146957754291698,0,0,0,0,-0.0087037967432656,0,0,0,0,0.100411352934525,0,0,0,0,0,0,0,0,0,0.0143593760427364,0,0,0
X601818.CH.EQUITY,0.0850972646867944,0,0.071745519587408,0.0500001998385816,0,0,0,-0.0546732814390949,0,0,0,0.0617910403674256,0,0,0,0,0,0,0,0,0.0858423892863663,0.139597897842053,0.134278375223748,0.134299863349752,0.254522123198969,0,0,0.0204581992050133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040982306225264,0,0.0121157523353267
X601838.CH.EQUITY,0,0,0,0,0,0.182885993778771,0,0.292430135352218,-0.175383830113166,0.23950551754687,0,0,0,0,0,0.0577705933890612,0,0,0,0,0.17244221500479,0,0,-0.0911540766177827,0.239420594217873,0,0,0,0,-0.0205190290363472,0,0,0,0,0,0,-0.117693782805664,0,0,0,0,0,0.0216743834947889,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,-0.0332027374310898,0.142040054771526,0,-0.0160304557723174,0,0,0,0,0,0,0.118233734006388,0,0.321893766597562,0,0.0143541371419827,0,0,0.134803456269858,0,0,0,0.0198132201567377,0,0,0,0.0341948468426109,0,0,0,0,0,0,0,0,0.0889290106558292,0,0,0,0,0.0070407566316458,0,0,0,0.194579721564355,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,-0.036632847443172,0,0,0.0772853580735573,0,0,0,-0.175848571546534,-0.186993562185289,0,-0.025514392880522,0.265294955593901,0.525812062623831,0.0446529271632792,0,0,0,0,0,0,0.0477121531970846,0.134864685094685,0.0275799678229171,0.0392036451389094,0,0,0,0,0,-0.122379150727918,0,0,0,0,0,0,0,0,0.152604595563087,0,0,0,0,0,0,0,0,0,-0.113211915438099,0,0
X601997.CH.EQUITY,0,0,0.0130899393549553,0,0,0,0,0,0,0.157011063030506,0,0.282265100280412,0.0591531531411826,0,0,0.0413418383179251,0.0663292045577711,0.106039978892441,0,0,0,0,0.0339484027946745,0.0100794010704072,0.262993614152694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0855354918103731
X601998.CH.EQUITY,0,0,0,0.214749405310863,0,0,0.0731687331683879,0,0,0,0.331023677779572,0,0,3.46944695195361e-18,0,0,0.102166169519707,0,0,0.212637420342673,0,0,0,0,0.00222430522433111,0,0,0,0,0,0,0.0410346816346362,0,0.0407053999293117,0,0,0,0,0,0,0,0,0.104681618950609,0,0,0,0,0,0,0,-0.0349201351631844,0
X601658.CH.Equity,0,0,0,0,0,0,0,0.0852430222288954,0,0,0,0,0,0,0,0,0,0,0,0.0475254000950139,0.327659724002704,0.170229469679625,0,0.289461542979253,0,0,0,0.0986783956187287,0,0,0,0,0,0,0,-0.0452589815416561,0,-1.73472347597681e-18,-0.0744912871402869,-3.46944695195361e-18,0,0,0,0,0,0.14500228754906,0,0,0,0,0.0799703418405495,-0.103426221451224
