,X000001.CH.EQUITY,X002142.CH.EQUITY,X002958.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0,0,0,0,0,0.315549802491116,0,0,0,0,0,0,-0.0330608497891507,0,0,0,0,0,0,-0.0399652951161987,0,0,0,0,0,-0.127172545156899,0,0,0,0,8.67361737988404e-19,0,0,-0.030789780631199,0.060606154042315,0,0,0,0,0,0.402402884519222,-3.46944695195361e-18,0.0322413659684449,0,0,0,0,0,0,0.0683200437735408,0
X002142.CH.EQUITY,0.014768259742129,0,0,0,0,0,0.337524682792185,0,0.0730236580198909,0,0,0,0,0,0,0,0.0903039303028531,-0.140820752376365,0,0,0,0,0,0.313650896928303,0,0,0,0,0,0,0.00241654769890031,0,0,0,0,0,0.0656837049791683,0,0,0,0.152949405456792,0,0,0,0,0,0,0,0,-0.0668236382700048,0.0499907240216956,0
X002958.CH.EQUITY,0,0,0,0,0,0.148776338223224,0,0,0,0,0,0.0174837071323568,0,0.300639313014505,0,0,0,0,0,0,0,0,0,0,0,0.0508521635280765,0,0,0,0.13329011344447,0,0,0,0,0,0,0,0,0,0.0929454364771537,0.125718948528841,0,0,0,0,0,0,0,0,0,0.10780521764398,0
X600000.CH.EQUITY,0.0896500226916051,0,0,0,0,0,0,0,0,0,0,-0.0670137606378925,0,0,0,0,0,0.781119940663558,0.0731226782628822,-0.0265121967009965,0,0,0,-0.107083032622701,0.0624348645646667,0,-0.0642024342537755,0,-0.07728127843532,0.0459023423874451,0.0251174838552156,0,0,0,0,0,-0.217903513926031,0,0,0.0707935752132293,0,0,0.273636280988226,0,0,0,0,0,-0.00827719373269973,-0.117777882641683,0,0.0316757402364042
X600015.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.091642664064024,0,0,0.980332634005309,0,0,0,0,0,0.136848043872535,0,0,0,0.0428329535236906,0,0,0,0,0,0,0,0,0,0,-0.107331690953146,0,0,0,0,0,0,0,0,-0.135096336385227,0,0,0.0623654389198739,0,0,0,0,0.175951604669753,-0.0704005096621816
X600016.CH.EQUITY,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0.0457462848042177,0.314551523219629,0,0,0.175662261381549,0,0.234219101814415,0,0.0341221817086689,0.0431419218950859,0.042455266116153,0,0,0.170816717438067,0,0,0.0602650324029364,0,0,0,0,0,0,0,0,0,0.0346420974837775,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.347556246155055,0.0319905395326018,0,0,0,0,0,0.00199439917139558,0.359190299979464,0,0,0,0,0,0,0,0,0,0,0.0074539893377686,0,0.0164661025883366,0,0,0.0243939767048396,0,-0.0228837740818895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227251275694799,0,0,0,0,0,0,0,0,-0.0705739742510039
X600919.CH.EQUITY,0.107142276477773,0,0,0,0,0.0583608694638631,0,0,0,0,0,0.00411111849991577,0,0,0,0,0.00868282227015944,0,0,0,0,0,0,0,0,0,0,0,-0.156299835572037,0.116667711684743,0,0,0,0,0,0.314698082389548,0,0,0,0,0,0.297054837554837,0,0,0.0966285574358827,0,0,0,-0.113889754472932,0,-0.11162298094582,0.090036635550441
X600926.CH.EQUITY,0,0.278860228992663,0,0,0,0,0,0.287163741025302,0,0.120591227335551,0,0,0,0,0,0,0.244283774347256,0,0.142539657514626,0,0,0,0,0,0,0,-0.0508217287963888,0,-0.0820285263911381,0,0,0,-0.104427746482976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0112888511232496,0
X601009.CH.EQUITY,0,0,0.0148772049352502,0,0.052161856513619,0,0.243567375284502,0,0.00102964533780196,0,0,0,0,0,0,0,0,0,0.192219201859351,0,0,0.120585984147891,0.0383988022829573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10046222265961,0,0.188213598950827,0,0,0,0,0.0949836685135899,0,0.0374109884802585,0,0,0
