,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.163176078335038,0,0,0.000841601932035489,0,0,0,0,0,0,0,0.179338476511984,0.172666290304167,0,0,0,0.0647272174080949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244191711283183,0,0,0.1224730538126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0458123131109779,-0.0108004636876718
X002142.CH.EQUITY,0,0,0,0.18695509274453,0.355407567519024,0,0,0,0,0,0,0,0,0,0,0.0457402567322883,0,0,0,0,0,0,0,0,0,0,0,-0.0756432782722984,0,0,0,0.0423381412607528,0,0,0.195958854267884,0,0.149517402900051,0,0,0.000970666840122056,0,0,0,0,0,0,0,0,0,0,-0.175902869739999,0
X600000.CH.EQUITY,0,0,0,0,0.0785269073423414,0.567405735065091,0,0,0,0,0,0,0.078854580220072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0452077964557309,0.00120367873558215,0,0,0
X600016.CH.EQUITY,0,0.0845110428779804,0,0,0,0.048798981410626,0,0,0,0,0,0.131888732143902,0,0,0,0,0,-0.130808696948371,0,0.743302158348334,-1.15438967727939,0,0,0,0,0,0,0,0,0,0,0.00547009774603113,0,0,0,0,0,0,-0.038209878426427,0,0,0.00700334729368531,0.0390369140381459,0,0,0.0880225802804337,0.2251397769911,0,0,0,0,0.00408665611278666
X600036.CH.EQUITY,0,0.245314023510389,0.123278376775159,0,0,0,0,0.0528021388446207,0,0,0,0.385342345976222,0,0,0,0.0151452572109889,0.0487712052938555,0.0640197229936017,0,0,0,-0.0210104207281598,0,0,0,0,0,0,0,0,-0.0687210680676033,-0.0550865587131612,0,0,0,0.018112747458164,0,0.0933880874349061,0,0,0,0,0,0,0,0,0,0,0,0.0562275374195827,0.0821893856629827,0
X601166.CH.EQUITY,0.0531628711075348,0,0.463459807136165,0.0399997361386816,0,0,0,0.0708516691174304,0,0,0,0,0,0.0792338409020881,0.00385103206265102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00324468916753053,-4.33680868994202e-19,0.160993507866981,0.00232655127089761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00334533898555995,0
X601229.CH.EQUITY,0,0.122823127877015,0,0,0,0,0,0.063148202186277,0,0,0,0.324647493222172,0,0,0,0,0,0.161973189781101,0,0,0,0,0,0,0,0,0,0,-0.118678424498492,0,0,-0.120438837612956,0,0,0,0,-0.501436833110145,0,0,0.186549901774444,0,0,0,0,0,0,0,-0.0266460410603502,0,0,0,0
X601288.CH.EQUITY,-0.0132133472510596,0,0,0,0,0,0,0,0.282086291832388,0,0,0.759429694467653,0,0,0,0,0.0211766027034239,0,0,0,0,0,-0.00844172471256317,0,-0.0942379898312106,0,0,0,0,0,-0.01914813116911,0,0,0.13963211513172,0,0,-0.0554067394981688,0,0,0,-0.0948862642301127,0,-0.067560695028002,0,0,0,0,0,0,0,-0.0145328970835969,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0.23130850860685,0,0.34941604104394,0,0,0,0.111109040557748,0,0,0,0,0,0,0,0,0.0683764133037736,0,0.0156564024464852,0,0.0234014593019163,-1.73472347597681e-18,-0.0353751602430762,0.0827185457171811,0,0,0,0,0,0,0,0,0,0,0,0.0241720897497264,0,0,0,0.0312680819067842,0,0,0,0,0,0.00605517845984359
X601398.CH.EQUITY,0,0.280288683547815,0,0,0.0334512690531341,0,0,0.152870305398116,0,0,0,0,0,0.216214524133345,0,0,0,0,0,0,0,-0.122109466722629,0,0,-0.169336491697041,0,0,0,-0.123644441143624,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0527555221463277,0,0,0,0,0,0.059644892807366,0,0.00658413748740547,0
