,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.531490585698494,0,0,0,0.144726459687621,0,0,0.0643631844756255,0.0216021425855908,0,0,0,0.181621437408071,0,0.0318248343550374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234557797064267,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0775648798972191,0.314336261944024,0,0,0,0,0,0,0.0244694583896037,0.251463897844838,0,0,0.0855399609391017,0,0.0654886830623538,0,0,0,0.0984066866292679,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445471018010313,0.00404222618269887,0,0,0,0,0,0,0.00280233446603725,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.629838817982748,0,0.0652167198876932,0.0161752137536385,0,0,0.230593211868527,0,0,0,0,0,0,0,0,0,0,0,0.0524633474549804,0,0,0,0,0,0.0497776356551604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.181104298327842,0,0,0.664115547562849,0,0,0,0,0,0,0,-0.0632104966683608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0451444043483559,0,0.148850753437485,0.00670332864948132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.156780780880528
X5.HK.EQUITY,0,0,0,0,0,0.157771783402706,0,0.228782179475435,0,0,0.239189223895462,0,0.0153249548210259,0,0,0,0,0,0,0.0173783441261777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210727608548817,0,0,0,0,0,0,0,0,0,0,0.128821331227637,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.286219692605949,0,0,0,0.152167884063193,0,0,0,0,0,0,0,0,0.0325658818714294,0,0,0,0,0,0,0.107184806782136,0,0,0,0,0,0,-0.180844929008764,0,0.0291689986242079,0,0,0,0,0,0,0.134124785285752,0,0,0,0,0,0,0,0,0.145751078287816,0,0,0
X600036.CH.EQUITY,0,0,0.0386690761829529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0869073683342064,0,-0.125892128873849,0,0,0,0,0.605380882547532,-0.0313386462904535,0,0,0,0,0.215872775291672,0,0,0,0,0,0,0,0,0,0.0840550585415882,0,0,0.182378329500772,0,0,-0.000644411625264406,0,0.115110297374851,0,0,0.0223070570013767,4.33680868994202e-19
X1299.HK.EQUITY,-0.00857794951356948,0,0,0,0.191139037490334,0,0,0,0,0,0,0,0,0,0,0,0,0.145106521071659,0,0,0,0.0805740871977559,0,0,0,0.0372887533739632,0,0,0.0509357050591738,0,0.0961069276581806,0,0,0,0,0,0,0.448558033361241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0.000673229895264346,-0.0310379795464323,0,0.00796401079713806,0,0,0,0,0.134479345015864,0,0,-0.0371259447137742,0,0.320111465389471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0627536598123825,0.19801101716601,0,0,0,0,0.236747709445292,0,0.0876892542299164,0.0750374184915669,0,0,0,0,0,0,0,-0.00312520591905306
X601328.CH.EQUITY,0.374593855469116,0,0.144530924466191,0,0,0,0,0,0,0,0,0,0.435539351390289,0,0,0,0,0.0408694032994462,0,0,0.119225568700123,0,2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05319745092149,0,0,0,0,0,0.111556140639761,0,0,0,0,0.0156770142719132,0,0,0,0
