"","date","Top1_ID","Top1_Name","Top1_Sector","Top1_FRM","Top2_ID","Top2_Name","Top2_Sector","Top2_FRM","Top3_ID","Top3_Name","Top3_Sector","Top3_FRM"
"1",20191210,"X600015.CH.EQUITY","HUAXIA BANK CO LTD-A","Banks",2.29,"X601328.CH.EQUITY","BANK OF COMMUNICATIONS CO-A","Banks",2.22,"X601166.CH.EQUITY","INDUSTRIAL BANK CO LTD -A","Banks",2.17
"2",20191211,"X601658.CH.Equity","POSTAL SAVINGS BANK OF CHI-A","Banks",4.19,"X600015.CH.EQUITY","HUAXIA BANK CO LTD-A","Banks",2.43,"X601328.CH.EQUITY","BANK OF COMMUNICATIONS CO-A","Banks",2.14
"3",20191212,"X601658.CH.Equity","POSTAL SAVINGS BANK OF CHI-A","Banks",2.7,"X600015.CH.EQUITY","HUAXIA BANK CO LTD-A","Banks",2.54,"X601166.CH.EQUITY","INDUSTRIAL BANK CO LTD -A","Banks",2.32
"4",20191213,"X600015.CH.EQUITY","HUAXIA BANK CO LTD-A","Banks",2.48,"X601328.CH.EQUITY","BANK OF COMMUNICATIONS CO-A","Banks",2.05,"X300059.CH.EQUITY","EAST MONEY INFORMATION CO-A","Diversified Financials",2.02
"5",20191216,"X600015.CH.EQUITY","HUAXIA BANK CO LTD-A","Banks",2.42,"X601328.CH.EQUITY","BANK OF COMMUNICATIONS CO-A","Banks",2.23,"X601166.CH.EQUITY","INDUSTRIAL BANK CO LTD -A","Banks",2.2
"6",20191217,"X601658.CH.Equity","POSTAL SAVINGS BANK OF CHI-A","Banks",3.35,"X600015.CH.EQUITY","HUAXIA BANK CO LTD-A","Banks",2.39,"X601166.CH.EQUITY","INDUSTRIAL BANK CO LTD -A","Banks",2.29
"7",20191218,"X600016.CH.EQUITY","CHINA MINSHENG BANKING-A","Banks",2.29,"X601658.CH.Equity","POSTAL SAVINGS BANK OF CHI-A","Banks",2.19,"X600015.CH.EQUITY","HUAXIA BANK CO LTD-A","Banks",2.16
"8",20191219,"X600016.CH.EQUITY","CHINA MINSHENG BANKING-A","Banks",2.57,"X601658.CH.Equity","POSTAL SAVINGS BANK OF CHI-A","Banks",2.19,"X601166.CH.EQUITY","INDUSTRIAL BANK CO LTD -A","Banks",2.08
"9",20191220,"X601211.CH.EQUITY","GUOTAI JUNAN SECURITIES CO-A","Diversified Financials",2.36,"X600016.CH.EQUITY","CHINA MINSHENG BANKING-A","Banks",2.35,"X601166.CH.EQUITY","INDUSTRIAL BANK CO LTD -A","Banks",2.15
"10",20191223,"X600030.CH.EQUITY","CITIC SECURITIES CO-A","Diversified Financials",2.66,"X601166.CH.EQUITY","INDUSTRIAL BANK CO LTD -A","Banks",2.35,"X601658.CH.Equity","POSTAL SAVINGS BANK OF CHI-A","Banks",2.21
"11",20191224,"X601166.CH.EQUITY","INDUSTRIAL BANK CO LTD -A","Banks",2.35,"X600030.CH.EQUITY","CITIC SECURITIES CO-A","Diversified Financials",2.23,"X1113.HK.EQUITY","CK ASSET HOLDINGS LTD","Real Estate",2.09
"12",20191225,"X600016.CH.EQUITY","CHINA MINSHENG BANKING-A","Banks",2.86,"X601166.CH.EQUITY","INDUSTRIAL BANK CO LTD -A","Banks",2.14,"X600015.CH.EQUITY","HUAXIA BANK CO LTD-A","Banks",1.95
"13",20191226,"X600016.CH.EQUITY","CHINA MINSHENG BANKING-A","Banks",2.68,"X600030.CH.EQUITY","CITIC SECURITIES CO-A","Diversified Financials",2.14,"X601166.CH.EQUITY","INDUSTRIAL BANK CO LTD -A","Banks",1.89
"14",20191227,"X300059.CH.EQUITY","EAST MONEY INFORMATION CO-A","Diversified Financials",2.1,"X600030.CH.EQUITY","CITIC SECURITIES CO-A","Diversified Financials",2.04,"X1299.HK.EQUITY","AIA GROUP LTD","Insurance",1.79
"15",20191230,"X601211.CH.EQUITY","GUOTAI JUNAN SECURITIES CO-A","Diversified Financials",2.5,"X388.HK.EQUITY","HONG KONG EXCHANGES & CLEAR","Diversified Financials",2.28,"X600030.CH.EQUITY","CITIC SECURITIES CO-A","Diversified Financials",2.24
"16",20191231,"X601211.CH.EQUITY","GUOTAI JUNAN SECURITIES CO-A","Diversified Financials",2.6,"X600016.CH.EQUITY","CHINA MINSHENG BANKING-A","Banks",2.59,"X600030.CH.EQUITY","CITIC SECURITIES CO-A","Diversified Financials",1.91
"17",20200102,"X600016.CH.EQUITY","CHINA MINSHENG BANKING-A","Banks",2.81,"X601211.CH.EQUITY","GUOTAI JUNAN SECURITIES CO-A","Diversified Financials",2.51,"X1299.HK.EQUITY","AIA GROUP LTD","Insurance",2.2
"18",20200103,"X601211.CH.EQUITY","GUOTAI JUNAN SECURITIES CO-A","Diversified Financials",2.53,"X12.HK.EQUITY","HENDERSON LAND DEVELOPMENT","Real Estate",2.17,"X1299.HK.EQUITY","AIA GROUP LTD","Insurance",2.17
"19",20200106,"X601211.CH.EQUITY","GUOTAI JUNAN SECURITIES CO-A","Diversified Financials",2.43,"X1997.HK.EQUITY","WHARF REAL ESTATE INVESTMENT","Real Estate",2.41,"X600030.CH.EQUITY","CITIC SECURITIES CO-A","Diversified Financials",2.38
"20",20200107,"X601211.CH.EQUITY","GUOTAI JUNAN SECURITIES CO-A","Diversified Financials",2.31,"X600030.CH.EQUITY","CITIC SECURITIES CO-A","Diversified Financials",2.27,"X000166.CH.EQUITY","SHENWAN HONGYUAN GROUP CO-A","Diversified Financials",1.9
"21",20200108,"X600030.CH.EQUITY","CITIC SECURITIES CO-A","Diversified Financials",2.24,"X1299.HK.EQUITY","AIA GROUP LTD","Insurance",2.04,"X601211.CH.EQUITY","GUOTAI JUNAN SECURITIES CO-A","Diversified Financials",2.02
"22",20200109,"X2388.HK.EQUITY","BOC HONG KONG HOLDINGS LTD","Banks",2.39,"X12.HK.EQUITY","HENDERSON LAND DEVELOPMENT","Real Estate",2.37,"X600030.CH.EQUITY","CITIC SECURITIES CO-A","Diversified Financials",2.29
"23",20200110,"X12.HK.EQUITY","HENDERSON LAND DEVELOPMENT","Real Estate",2.23,"X601211.CH.EQUITY","GUOTAI JUNAN SECURITIES CO-A","Diversified Financials",2.21,"X600030.CH.EQUITY","CITIC SECURITIES CO-A","Diversified Financials",2.18
"24",20200113,"X600030.CH.EQUITY","CITIC SECURITIES CO-A","Diversified Financials",2.29,"X601211.CH.EQUITY","GUOTAI JUNAN SECURITIES CO-A","Diversified Financials",2.29,"X12.HK.EQUITY","HENDERSON LAND DEVELOPMENT","Real Estate",2.27
"25",20200114,"X12.HK.EQUITY","HENDERSON LAND DEVELOPMENT","Real Estate",2.56,"X601166.CH.EQUITY","INDUSTRIAL BANK CO LTD -A","Banks",2.55,"X600030.CH.EQUITY","CITIC SECURITIES CO-A","Diversified Financials",2.36
"26",20200115,"X12.HK.EQUITY","HENDERSON LAND DEVELOPMENT","Real Estate",2.74,"X601166.CH.EQUITY","INDUSTRIAL BANK CO LTD -A","Banks",2.5,"X2388.HK.EQUITY","BOC HONG KONG HOLDINGS LTD","Banks",2.49
"27",20200116,"X601328.CH.EQUITY","BANK OF COMMUNICATIONS CO-A","Banks",3.27,"X600030.CH.EQUITY","CITIC SECURITIES CO-A","Diversified Financials",2.66,"X2388.HK.EQUITY","BOC HONG KONG HOLDINGS LTD","Banks",2.27
"28",20200117,"X600030.CH.EQUITY","CITIC SECURITIES CO-A","Diversified Financials",2.62,"X601328.CH.EQUITY","BANK OF COMMUNICATIONS CO-A","Banks",2.19,"X600016.CH.EQUITY","CHINA MINSHENG BANKING-A","Banks",2.03
"29",20200120,"X2388.HK.EQUITY","BOC HONG KONG HOLDINGS LTD","Banks",2.66,"X600030.CH.EQUITY","CITIC SECURITIES CO-A","Diversified Financials",2.64,"X1299.HK.EQUITY","AIA GROUP LTD","Insurance",2.35
"30",20200203,"X600030.CH.EQUITY","CITIC SECURITIES CO-A","Diversified Financials",5.74,"X600016.CH.EQUITY","CHINA MINSHENG BANKING-A","Banks",5.54,"X600015.CH.EQUITY","HUAXIA BANK CO LTD-A","Banks",5.27
"31",20200204,"X600030.CH.EQUITY","CITIC SECURITIES CO-A","Diversified Financials",5.49,"X2007.HK.EQUITY","COUNTRY GARDEN HOLDINGS CO","Real Estate",5.23,"X600016.CH.EQUITY","CHINA MINSHENG BANKING-A","Banks",5.12
"32",20200205,"X600030.CH.EQUITY","CITIC SECURITIES CO-A","Diversified Financials",5.48,"X2007.HK.EQUITY","COUNTRY GARDEN HOLDINGS CO","Real Estate",5.32,"X600016.CH.EQUITY","CHINA MINSHENG BANKING-A","Banks",4.91
"33",20200206,"X600030.CH.EQUITY","CITIC SECURITIES CO-A","Diversified Financials",5.9,"X601939.CH.EQUITY","CHINA CONSTRUCTION BANK-A","Banks",5.01,"X12.HK.EQUITY","HENDERSON LAND DEVELOPMENT","Real Estate",4.86
"34",20200207,"X600030.CH.EQUITY","CITIC SECURITIES CO-A","Diversified Financials",6.01,"X600016.CH.EQUITY","CHINA MINSHENG BANKING-A","Banks",5.87,"X601939.CH.EQUITY","CHINA CONSTRUCTION BANK-A","Banks",5.6
"35",20200210,"X600030.CH.EQUITY","CITIC SECURITIES CO-A","Diversified Financials",5.96,"X600016.CH.EQUITY","CHINA MINSHENG BANKING-A","Banks",5.58,"X601939.CH.EQUITY","CHINA CONSTRUCTION BANK-A","Banks",5.36
"36",20200211,"X600030.CH.EQUITY","CITIC SECURITIES CO-A","Diversified Financials",6.19,"X600016.CH.EQUITY","CHINA MINSHENG BANKING-A","Banks",6.05,"X601211.CH.EQUITY","GUOTAI JUNAN SECURITIES CO-A","Diversified Financials",4.63
"37",20200212,"X600016.CH.EQUITY","CHINA MINSHENG BANKING-A","Banks",6.28,"X600030.CH.EQUITY","CITIC SECURITIES CO-A","Diversified Financials",5.08,"X601211.CH.EQUITY","GUOTAI JUNAN SECURITIES CO-A","Diversified Financials",4.61
"38",20200213,"X600016.CH.EQUITY","CHINA MINSHENG BANKING-A","Banks",6.52,"X601211.CH.EQUITY","GUOTAI JUNAN SECURITIES CO-A","Diversified Financials",5.8,"X601328.CH.EQUITY","BANK OF COMMUNICATIONS CO-A","Banks",5.47
"39",20200214,"X600016.CH.EQUITY","CHINA MINSHENG BANKING-A","Banks",6.42,"X601211.CH.EQUITY","GUOTAI JUNAN SECURITIES CO-A","Diversified Financials",5.7,"X601328.CH.EQUITY","BANK OF COMMUNICATIONS CO-A","Banks",5.55
"40",20200217,"X600016.CH.EQUITY","CHINA MINSHENG BANKING-A","Banks",6.05,"X600030.CH.EQUITY","CITIC SECURITIES CO-A","Diversified Financials",5.37,"X601328.CH.EQUITY","BANK OF COMMUNICATIONS CO-A","Banks",5.07
"41",20200218,"X600030.CH.EQUITY","CITIC SECURITIES CO-A","Diversified Financials",6.22,"X600016.CH.EQUITY","CHINA MINSHENG BANKING-A","Banks",5.94,"X601211.CH.EQUITY","GUOTAI JUNAN SECURITIES CO-A","Diversified Financials",5.89
"42",20200219,"X601328.CH.EQUITY","BANK OF COMMUNICATIONS CO-A","Banks",6.36,"X600016.CH.EQUITY","CHINA MINSHENG BANKING-A","Banks",5.82,"X600030.CH.EQUITY","CITIC SECURITIES CO-A","Diversified Financials",5.77
"43",20200220,"X600000.CH.EQUITY","SHANGHAI PUDONG DEVEL BANK-A","Banks",5.46,"X601328.CH.EQUITY","BANK OF COMMUNICATIONS CO-A","Banks",4.45,"X601688.CH.EQUITY","HUATAI SECURITIES CO LTD-A","Diversified Financials",4.38
"44",20200221,"X601328.CH.EQUITY","BANK OF COMMUNICATIONS CO-A","Banks",6.1,"X600000.CH.EQUITY","SHANGHAI PUDONG DEVEL BANK-A","Banks",5.47,"X000166.CH.EQUITY","SHENWAN HONGYUAN GROUP CO-A","Diversified Financials",5.24
"45",20200224,"X267.HK.EQUITY","CITIC LTD","Capital Goods",5.88,"X600000.CH.EQUITY","SHANGHAI PUDONG DEVEL BANK-A","Banks",5.38,"X601988.CH.EQUITY","BANK OF CHINA LTD-A","Banks",5
"46",20200225,"X600000.CH.EQUITY","SHANGHAI PUDONG DEVEL BANK-A","Banks",5.52,"X601336.CH.EQUITY","NEW CHINA LIFE INSURANCE C-A","Insurance",5.31,"X267.HK.EQUITY","CITIC LTD","Capital Goods",5.16
