,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,-0.040278693888129,0,0,0,0,0,0,0,0,0.286895274971734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108747041486646,0,0,0,0,0,-0.194681449652827,0,0.00173528598864103,0,0,0,0.592718794165262,0.0233850084802511,-0.0905130991159334,0,0,0,0,-0.0656267565274212,0,0,0.104277991691299
X601318.CH.EQUITY,0,0,0,0,0,0,0.138935240315951,0,0.209714462344818,0.0156259769404728,0,0,0,0,0.0331256303175743,0,0,0,0,0,0,0,0,0.0365891219932453,0.0684074067295169,0,0,0,0.0728538681799106,0.0331187849824745,0,0,0,0,0,0,0,0.219704741593935,0,0,0,0,0.0478813704974111,0,0.0386178764108086,0,0,0,-0.0198449779469914,0
X601939.CH.EQUITY,0.374426150985748,0,0,0,0,0.0489229895969401,0,0,0,0,0,0,0,0,0,0,0,0.293080805644643,0,0,0,0,0,0,0,0,0,0,0.00461656094895218,0.0700979131072504,0,0,0,-0.21641190521934,-0.172154150199063,0,0,0,0.466953579454608,0,0,0,-0.0313756515813421,0.0908198410934466,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.110850724034177,0,-0.216775747391895,0.193866650578637,0,0.455766136070614,0,0,0,0.137515912931208,0.0725813516668589,-0.198694203632034,0,0,0,0,0,-0.0345573822866209,0,0,0,-1.73472347597681e-18,0,0,0,-0.68774315697658,0,0,0,0,0,0,0,0,0,0.295304057746462,0,0,0,0,0,0,0.10731458345583,0,0
X5.HK.EQUITY,-0.156344533728809,-0.0309225007532957,0,0,0,0,0,0.0916535249331605,0,0,0.0461796654103908,0,0,0,0.346899365666901,0,0,0,0,0.458216649756693,0.242740190674788,0,0.0996594266849225,0,0,0,0,0,0,0,0,-0.216292437601262,0,0,0,0,0,0,0,0,0,-0.137486635065906,0.240369579368608,0,0,0,-0.0760012129915909,-0.145847808653155,0,0
X601988.CH.EQUITY,0.215046188920407,0,0,0.336005275270234,0,0,0,0,0,0,0.191569250385808,0,0,0,0,0,0.241348322197726,0.0190168151441843,0,0,0,0.0169752788570827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0711883994445143,0,0.072627722554202,0,0,0,0,0,0.254441060689364,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0328239923935568,0,0,0.66322004816311,0,0,0,0,0,0,0,0,0,0,0.118706413432461,-0.0566777270946549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.324571654326188
X1299.HK.EQUITY,0,0.103353058224205,0,0,0.0735744591387033,0,0,0,0.0987147386060742,0,0,0,0,0.0400390954196684,0,0.176533807271496,0,0,0,0,0,0,0,0,0,0.0837837382043764,-0.0118869293575366,0,0,0,0,0,0.240425313547457,0,0,0,0,0,0,-0.0632075973648278,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.0615534876083419,0,0.0727952693749106,0,0,0,0,0,0,0,0,0,0.320504084775575,0,0,0,0,0,0,0,0,0,0.0942768636469277,0.06205795346584,0,0,0,0,0,0,-0.0785407350223009,0,0,0,0.0764969983003237,0,0.207640797527085,0.0313516207120141,0,0,0,0,0,-0.0277253120266125,0.116921403109962,0,0,0,0
X601328.CH.EQUITY,0,0,0,0.0153575412339228,0,0,0.632506710491729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277818554278252,0,0,0.120763497624933,0.0598386449985098,0,0,0,0,0,0,0,0,0,-0.0185131352705655,0,0,-0.0900779808551332,0,0,0,0,0.0452660151130557,-0.135557886565186,-0.0295514307617815,0,0,0
