,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X17.HK.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.337333925140313,0.188100746492894,0,0.0106603825184349,0,-0.105364905469184,0,0,0.0450701725183008,0,0,-0.158648904269364,0,0,0,0,0.146466158835811,0,0,0.157674139425556,0,0,0,0.145819907737491,0,0,-0.109693637918083,0,0.132205854246314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0184310649983784,0,-0.0694668434175245,0,0.0378438977948128
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.204470012816388,0,0.290901790065465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00208962253543281,0.060733602698127,0,0,-0.0123032760236149,0,0,0,0,-0.262028778436827,0.27241237682404,0,0.194219434417483,0,0,0,0,0,0.0650048468643302,0,0
X601939.CH.EQUITY,0.36660232558802,-0.0274860136167672,0,0.117445147732334,0,0,0,0,0,0,0,0,0.225213081157888,0,0,0,-0.0277779839018622,0,0,0.0997135182190652,0.0495469480742416,0,0,0.0966951042898308,0,0,0,0,0,0,0,0,0,0.0289752854930266,0,0,0,0,0.277453848882526,0,0,0,0,0,0,-0.0140435547429448,0,0,0,0.0916585024295497
X601288.CH.EQUITY,0.392697040283623,0,0.206393554453018,0,0.15195011295915,0.0741002394299987,0,0.0445328342021512,0,0,0,0,0,0,0.0213538749182729,0,0,0,0,0,0,0,0,0,0,0,0,0.0733178138287788,0,0,0,0,0,0.0476954613903557,0,0,0,0.0590028420288934,0.16417546040401,0,0,0.0217365235806892,0,1.38777878078145e-17,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.215422407467417,0,0.150593138417608,0,0,0.00727785598687803,-0.073425674543814,-0.200643310481104,0,0.247709353096827,0.00686502735621447,0,0,0.1709098155287,0,0,0,0.213859320700574,0.0905163572945806,0,0,-0.119600996363627,0.43434109441085,0,0,0,0,0,0,0,0,0,0,0.0460133155196548,-0.0936701286318565,0,0,4.33680868994202e-19,0,0.222256810345355,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.112718111798594,0,0.0466590241961263,0.254366452255647,0,0,0,0.13426599793982,0,0.0909892410221555,0.282898401087903,0,0,0,-0.359272394130664,0,0,0,0,0,0,0,0,0.0400128858972617,0,0,0,0.0200836577689299,0,0,0,0,0,0,0,0,0,0,0,0,0.0361418884645291,0,0,0,0.0711334425699698,0,0,0,0,0
X600036.CH.EQUITY,0,0.275122655134774,0,0,0.0139574982064093,0,0,0,0,0,0,0,0.180739424402151,0,0,0,0,0.0870856268502115,0,0,0,0,0,0.120859524316416,0,0,0,-0.00850927371327717,0,-0.0179149285232834,0.254189270635378,0,0,0,0,0,0,0,0,0,0.0828319731629173,0,0,0,0,0,0.0812419270954897,0,0.132640780001425,0
X601628.CH.EQUITY,0,0.234709745491526,0,0,0,0,0,0,1.73472347597681e-18,0.0264742566284462,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0.0642884033984529,0,0,0,0,0,0,0,0,0,0,0.116311810115491,0,0,0,0,0,0,0.175479539044316,0,0,0.0979062539163462,0,0,0,-0.0306294658698294,0,0.106870464217675
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0471137955454605,0,0,0,0,0.18977620198887,0,-0.0122757494313279,0.12687562862481,0,0.191280508448739,0,0,0,0,0.00978686179886136,0.355476366686809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066789661588444,0,0,0.0157504897666148,0
X601166.CH.EQUITY,0.0538359524601117,0,0,0,0,0.102425828219454,0,0,0,0,0,0,0,0.203428875132916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461108903739012,0,0,0.227382403020945,0,0,0,0,0,0.131759771843315,0,0,0,0,0,0,-0.0584762098736301,0,0,0.0545595923512468
