,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0.145834487185562,0,0,0,0,0,-0.10729001568754,0,0,0,0,0,0,0,0,0,0,-0.0825865061392235,0,0,0.423328000674817,-0.125011474858001,0,0,0,0,0.467099302309483,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0294697335433856,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,-6.7762635780344e-21,0,0,0,0,-0.00241728816839238,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.443556059770548,0,0,0,0,0.0297105572067333,0,0.0507278752816502,0,0,0,0.0665426092268105,0,0,0,0.344599994763524,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000862459758443567,0,-0.145521963221268
X601939.CH.EQUITY,0,0,0,0.770594390086642,0,0,0,0,0,0,0.101311907490931,0,0,0,0,0.110354970208893,0,0,0,0,0,0,0,0,0.0101433475317105,0,0,0.0664328128256721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00574467513996555
X601288.CH.EQUITY,0,0,0.865866080823118,0,-0.0453887040207389,0,0,-0.0493683138655102,0,0,0.0296751465992412,0,0,0,0,0,0.0198181304834513,0,0,0.050445135978941,0.00986830285251881,0,0,0.185653094683202,0,0.0760904229395366,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,-0.11248370216566,0,0,-0.140563582860407,0,0,0,0.0276702341197661,0,0,0,0,0
X601628.CH.EQUITY,0,0.0370545950177103,0,0,0,0,0,0,-0.0753023890561696,0.250071916580979,0,0.227063625738614,0,0,0,0,0,0,0.29256566937674,0,0,0,0,0,0,0,0,-0.119300355683071,0,0,0.0262986276328625,0,0,0,0.196304059647239,0.0902190546464824,0,0,0,0,0,0,0,0,0,0.101334737945973,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0480071243471959,0.235797042475688,0,0,0,0,0,0,0,0,0,0,0.123733440970062,0,0,0.155359448963831,0.0225928999322051,0,0,0,0,0,0,0.17756863499674,0,0.0812999579417659,0,0,0.0716419392960303,0,0,0,0,0,0.016387795624227,0,0,0,0,0,0,0,0.088855488127163,0,0,0,0,0.0381730647083484,0
X601988.CH.EQUITY,0,0,0,0.00793600293871021,0,0.0451472453379151,0,0,0,0,0,0,0,0.0371558630031172,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0405022542762781,0,0,0,0.0481953729513648,-0.0899123745991746,0,0.979970168490696,0,0
X1299.HK.EQUITY,0,0,0,0,0.00614218503740795,0.0263741905951101,0,0,0,0.267575489258715,0,0,0,0,0,0,0.00919362654659187,0,0,0,0,0,0.285106754438845,-0.0625984274472699,0,0,0,0,0.115921239530132,-0.0324872191042281,0,0,0,0,0,0,0.177288535945103,0.0357174203635553,0,0,0,0,0.128179987769752,0,0,0,0,0.11091883608378,0,0,-0.0467516223002042
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.155330978966431,0,0,0,-0.203471984167403,0,0,0,0,-0.200745236294607,0,0,0,0,0,0,0,0,0.0580606408252302,0.429272108897697,0,-0.150883370914644,0,0,0,0,0,0.0642367311912806,0,0,0.349685789293966,0,0,0,0.182947922782879,0.357553930380764,0,0,0,0,0.32468686022936,0.0360602388557896
X388.HK.EQUITY,0,0,0,0,0.296562482771248,0,0,0,0,0,0,0,0,0,0,-0.290634227248212,0.156057401622599,0,0,0,0.234405564482266,0,0.322369905213543,0,0.280759605219953,0,0,-0.0198542150820276,0,0,0,0,0,0,0,0,0,0,0,0,-0.0464472780155252,0,0.205003389382855,-0.165118355104765,-0.0943825699730878,0,0,0,0,-0.0601734444377937,0.0600688808732441
