,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0.0121547817928965,0,0,0.0391000165341942,0,0.295220116523944,0,0,-3.46944695195361e-18,0,0,0.115182453990127,0,0,0,0,0.110716062721754,0,-0.00354012933433899,0,0,0,-6.93889390390723e-18,0,0,0,0.0573231153600526,0.280305793447276,0,0,0,0,0,0.0523103814586333,0,0,0,0,0,0,0,0,0,0,0.0182063044651141,0,0,0
X601939.CH.EQUITY,0.265673231523421,0,0,0,0,0,0,0,0,0,0,0,0,0.426758498707572,0,0,0,0,0,0.10681974746524,0.055972138370388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0464447769737431,0.0402858791000262,0,0,0.021342594706394,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.2104009536713,0,0,0,0,0,0,0,0.164983176112862,0,0,0,0,0,0,0.214438728669985,0,0.117671935032838,0.0949407514849502,0,0,0,0,0,0,0,0,0,0,-0.0342032597250225,0.0815335693381312,0,0,0.0291086338910078,0,0.112666180559411,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017258572723268,0
X601288.CH.EQUITY,0.344143738826532,0.00647361069865528,0,0,0.502305707436366,0,0,0,0,0,0,0.0118077747148524,0,0,0.0403795647225556,0,0,0,-0.0329678555378039,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171262734231394,0,0,0,0,0,0,0,0,0.0949589248499628,0.00788256352818904,0
X601988.CH.EQUITY,0,0,0.123413968885398,0,0,0,0,0,0,0,0.109749330788403,0,0,0,0,0.107600845550688,0,0.064780356841214,0,0,0,0,0,0.0464532662346914,0,0,0,0,0,0,0,0.124573163418043,0,0,0.105845561618785,0,0,0,0,0,0,0,0,0,0,0.243417543175314,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.208291474538142,0,0,0,2.77555756156289e-17,0,0,0,0,0.162992929970432,0,0,0,0,-0.422944830456806,0.138118769855245,0,0,0,0.00108090029645913,0.324769593578708,0,0,0,0,0,0.214360606824175,0,0,0.125651614356302,0.373792502934433,0,0,0,0,0,0,-0.136847064759888,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0443594349670828,0,0,0,0.281292690672175,0,0,0,0.183777517210199,0,0,0,0,0,0,0,0,0,0,0,0.0616106307156836,6.93889390390723e-18,0,0.194466153867717,0,0.122452689293207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0786032713719463,0.0126403927964639
X1299.HK.EQUITY,0,0.0667423476771359,0,0,0,0,0,0,0,0,-2.77555756156289e-17,0.0925323091411231,0,0,0.0583868971109926,0,0,0.288192976260352,0,0,0,0.0399815495979682,0,0,0,0.0606793102245118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.387222667258574,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206213950261714,0,0,0,0,0.00855611807630276,0,0,0,0.0910681140102438,0,-0.020199422186535,0,0,0,0.248974908796174,0,0,0,0.104362100523984,0,0,0,0,0,0,0,0,0.0326833729984244,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188113465819314,0,0,-0.0886296361255733,0,0.156523172121776,0,0,0,0,0.660254352893103,-0.637281192717742,0.124210123921243,0,0,0.0423638164821215,0,0.531308400563673,0,-0.399841709421449,0,-0.352932144975745
