,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.391978182474846,0,0,0.329235525512034,0,0,0,0,0,0,0,0,0,0,0,0,-0.0579097370894746,0,0,0.0739690711051617,0,0,-0.183775846942736,0,0,0,0,0,0,0,0,0,0,0.177790110426576,0,0,0,0,0.0883894032254747,0,0,0,0,-0.142806676891474,0,0,0,0.000628016975185246
X601318.CH.EQUITY,-0.0148177662112173,0,0,0,0,0,0,0,0,0.245578697273141,0,0.213424536890966,0,0,0,0,0.161892868972241,-0.0449333373185664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.145943181316074,0.344329311658819,-0.00760439963767791,0.0460384783527975,0.129035938649587,0,0,0,-0.0149407696342594,0,0,0
X601939.CH.EQUITY,0.314283482655725,0,0,0,0.0928777198053707,0,0,0,0,0,0,0,0,0.117548039191191,0,0,0,0,0,0,0.0514811486244511,0,0,0,0,0.262986530242709,0,0,-0.014247034824446,0,0,0,0,0,0.135788960623755,0,0,0,0.00249412966036433,0,0,0,0,0.0573048664385083,0,0,0,0,0,0
X601288.CH.EQUITY,0.275294713120179,0,0.0976247507930885,0,0.0334683126693269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162236945204774,0,0,0,0,0,0,0,0,0,0,0,0,0.155082640677763,0,0,0,0,0.0265307097701172,0,0,0.0258919031224469,0,0.29162739290188,0.145177725968148
X5.HK.EQUITY,0,-0.158402701073413,-1.73472347597681e-18,0.42836911532921,0,0,0,-0.204376997030019,-0.0236580202391475,0,0.0939553885121148,0,0,0,0,0.079099103889297,0,0.0364280903891725,0,0.0601567116156586,0,0,0.494303964634307,0,0,0,-0.030013114963903,-0.0300689991746169,0,0,0,0,-0.0909036380958094,-0.182904594867245,0,0,0,0,0,0,0,0.148157519542608,0,0,0,0,0,0,-0.171915612291481,0
X601988.CH.EQUITY,0.0208219448698594,0,0,0.083579644624904,0,0,0,0,0,0.216862943813726,0.142241315147512,0,0,0,0,-0.0972564242545217,0,0,0,0,0,0.419477730769688,0,0,0,0,0.0525395743707983,0,0,-0.0330750725928201,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.155807918205853,0,0,0.0464437717193337
X600036.CH.EQUITY,0,0.400342233224827,0,0,0,0,0,0,-0.128402731790135,0,0,0,0,0.204241273946489,0,0,0,0,0.118750937938571,0,0.0124759469825826,0,0.168772914709001,0,0,0,-0.0457717831603687,0,0,-0.10141791980981,0,0,0.188895136491481,0,0,0,0,0,0,0.210132596560243,0.0278640832857585,0,0,0,0,0,0.0234625396093863,0.022785904360253,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025335389792192,0.179952897415284,0.0608137005590452,0,0.243077227636193,0.166801411438059,0,0.254108688461192,0,0,0.0307153554118494,0,0,0,0.115682252527066,0,0,0,0,0,0,0,0,0,0,-0.210246162853187,0,0,0,0,0,0,0,0,0,0,-0.108842365517902
X601628.CH.EQUITY,0,0,0,0,0,-0.0182689655213632,0,0,0,0.0317921425593554,0,0,0.0805197247776233,0,0,0,0.240266007303876,0,0,0,0,0,0.0575515778338511,0.0981753692717018,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181295558737069,0,0.201177072881464,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.038997527054034,0,0.0332911827525439,0.299949691399868,0.0104870972955833,0,0.158846471326857,0,0,0,0,0,0,0,0.213382508424587,0,0,0,0,0,0,0,0,0,0.0752077236871085,0,0,0,0,0,0.204900871378567,0,0.15815844585467,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.178907436259748,0.160845991919349
