,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X001979.CH.EQUITY,0,0,0,0,0.0448591830924587,0,0,0,0,0,0,0,0,0.0328341045227512,0.122732756790797,0.653420650002696,0,0,0,0,-0.128117227875447,0,0,0,0,0,0.143018315212237,0,0,-0.102839410153678,0.293114321659376,0,-0.255841744857873,0,0,-0.0240549002274003,0,0,0,0,0,0,0,0,0,0,0.0185542689057729,-0.0154401883195655,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0.00476993705029745,0,0,-0.0291532282978045,0,0.146258376128926,0,0,0,0,0.0971525956535867,0,0,0,0,0,0,0,0.138069619365749,0,0,0,0,0,0,0,0,0.536157310892205,0,0.0163479889964872,0.0705962218512499,0,0,0.0394127401733064,0,0,0,0,0,0,0,0,0.0236966479297055,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,-0.217546501647909,0,0,-0.0523829532558265,0,0,0,0,0,0.272372025942451,0,0,0,0,0,0,0,0.272903388755893,-0.29172028565505,0,0,0,0,0.375922989334309,0,0,0,0,0,0,0,-0.45819454609692,0,0,0,0,0,0,0,0,0.11121589435256,0,0,0,0.382149877886402
X000166.CH.EQUITY,0,0,0,0,0.0560279883767064,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.118460313534614,0,0,0,0.0102976727170349,0,0.201675074018763,0,0,0.155706484718455,-0.0180599468185395,0.450690184145615,0,0,0,0,0,0.0462187111115347,0,0,0,3.46944695195361e-18,0,0.0765715300974989
X2882.TT.EQUITY,-0.139916267059015,0,0,0,0,0,0.0917136895778433,-0.15153838839773,0.171239541975696,0,0.12050502895064,0,0,0,-0.264683442610282,0,0,0,0.159605498208124,0.15707378749076,0,0.238393646864164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.119644219037044,0,0,0,0,0,0,0,0,0,0,0,-0.130366103344361,0.6551332958862,0
X12.HK.EQUITY,-0.201493108517404,0,-0.0533582937156227,0,0,0,0,0.255257397969361,0.00601034102185,0,0.51626962851548,0,0,0,0,-0.0487637352004286,0,0,0,0,0.433314378422212,0.0818411634226083,0,0,0.125321336961645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.131724430390768,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0
X601229.CH.EQUITY,0.812206614146252,0,0,0,0,0,0,0,0.3913793242335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.215526927458953,0,0,0,-0.233625067465777,0,0,0,0.182318687476624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105891692961205
X600918.CH.Equity,0,0,0,0,0,0,0,0,0.0193852921669262,0,0,0.0764292204340507,0,0,-0.0401057058201198,0,0,0,0,0,0,0,0,0,0.0404803637425657,0,0,0,0,0,0,0.0171169981762439,-0.185751084567655,0.131321243400411,0,0,0.206727587520152,0,0,0,0,0,0,0,0,0,0,0.0842943541890678,0.259558274217489,0,0
X823.HK.EQUITY,0.0271855795048609,0,0,-0.00736904624633099,0,0,0,0.0347042255743983,-0.10670824126751,0,0,0.0962003981922076,0,0,0,0,0,1.73472347597681e-18,0,0,0.670768737614964,0,0,0,0,0,0.291289163241284,-0.105291986698897,0,0,0,0,-0.0598710882387987,0,0,0,0,0,0,0,0,0,-0.0597590752584355,0,0.00625628132569322,0,0,0.181317931990419,0,0,0.234633383725006
X002736.CH.EQUITY,0,0,0,0,0.181974106773637,0,0,0,0,0.0078767108851181,-0.0264837919262693,0.449578494731169,0,0.117521471654808,0,0,0.0555374320062847,0,0,0,0,0,0,0,0,0.0934273229465064,0,0,0,0,0,0,0,0.217216445833804,0.108139560800476,0,-0.0404518858919334,0,0,0,-1.73472347597681e-18,-0.0142512424816044,0,0,0,-0.0580548788065343,0,-0.0783548351680599,0,0,-0.00299439707232415
X2886.TT.EQUITY,0,0,0,0,0,0,0.0583226627925302,0,0,0.130483549402949,0,0,0,0,0,0,-0.337214243629809,0,0,0,0,0,0,0,0,0,0,0.0434934654069126,0.0927063723360368,0.114307581843007,0,0,0,0,0,-0.0610547461851414,0.362003429120627,0.0385161717595614,0,0,0,0.220011210248283,0,0,0,0.0147488224429587,0,0,0,0.303941683131077,0
X000776.CH.EQUITY,0,0,0,0,0,-0.0528005706633919,0,0,0,0,0,0,0,0,0,0,0,0.42513941567214,0,0,0,0.0492035582890845,0.235464196793958,0,0,0,0,0.0342813657785035,0.0240777041422546,0,0,0,-0.107511388191047,0.261596787642171,0.0697734320682047,0,0,0,0,0.0383623797938007,0.0236724784700689,0,0.0202331996980569,0.0919519811268236,0,0,0,0,0,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0318425731429955,0,0.0938153176491504,0,0.204692272626474,0,0,0,0.103869467219847,-0.0942916606100189,-8.67361737988404e-19,-0.00430773694790538,0,-0.0880492147810334,0,0,0,0,-0.0510623823065464,0,0,0,0.0401662513418061,0,0.78202984898365,0,0,0,0,0,0.0843896250627479,0,0,0
macro_return_add,0,-0.00912540937333818,0,0,0,0,0,0,-0.248600074060317,0,0,0,0,0,0,0,0,0,0,0,0,0.0813651492168426,0,0,0,0,0,0,0,0,0.250849549867096,0,0,0,0,0,0,0,0,0.0702385550516548,0,-3.46944695195361e-18,-0.266058605148336,0.218101375656787,-0.442759221506729,0.450771519012649,0,0,0,0,0
