,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601066.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0248130819025162,0,0.297813337765567,0,0,0,0,0,0,0,0,0,-0.168578747978532,0,0,0,-0.143808145264582,0,-0.154168897053724,0,0,-0.194710292610355,0.0460331646517393,0,0,0,0,0.704450330443004,0,0,0.126975386344647,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.196270274981277,0,0.176598509940159,0.0163018979430441,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.099669569684738,0.0922538344560465,0,0,0,0,0,0,0.000155022489864105,0.0694861554745291,0.0249314917974105,0,0,0,0,0.309237050863184,0,0,0,0,0,0,0.0989973779100574,0,0,0.0567307233053383,-0.0725348318348461,0,-0.0285516998227454,0
X601939.CH.EQUITY,0.14939606846703,0,0,0,0,0,0,0,0,0.242583998600724,0,0,0,-0.00972387887579124,0,0,0,0.131516567822229,0,0,0,0,0,0,0,0,0,0,0.00462470232075296,0.115347347951255,0,0,-0.196884928610035,0,-0.14841895598047,0,0,0.480891911930339,0.118744509230657,0,0,0,0,0.0796285629593623,3.46944695195361e-18,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.602569313744288,0.271206327624556,0.0290771558411565,0.668433734329139,0,0,0,0.170706401858708,0.414994917482181,-0.25129750966895,0,0,0,0,0,0,0,-0.263229643583843,0,0,0,0,0,0,0,0,-0.545832705227735,0,0,0,-0.185958988506795,-0.179332204948631,0,0,0.0598248397978181,0,0,0,0,0.54565653008558,0,0,0
X5.HK.EQUITY,-0.0762038814554377,-0.0241130922567961,0,0,0,0,0,0,0,0,0,0,0,0,0.461250132500632,0,0,0,0.448940288449536,0,0,0,0,0.0649025086359344,0.012417350088225,0,0,0,-0.129131196441653,0,-0.135972680800566,0,0,0,0,0.128556771831044,0,0,0,0,-0.100247171403711,0,0.180541397524038,0,0,0,0,0,-0.12702222010476,0
X601988.CH.EQUITY,-0.121661780012912,0,0,0,0.265724720828889,0,0,0,0,0,0,0,0,0,0,0,0,0.253954438180148,0,0,0.474649087261347,0,0,0,0,0,0.0408693387934609,0,0,-0.357961831017376,0,0,0,0,0,0,0,0.0504199924368798,0,0,0,0,0,0.0343789124417748,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,-0.0945903992665848,0,0,0,0,0,0,0.380496238105404,0,0.37668782162733,0,0,0,0,0,0,0,0,0,-0.00353706302670508,0,0,0.079016836326722,0,0,0.0275196650712118,0,0,0,0,-0.132911699612676,0,0,0,0,0,0,0,0,0.0783151127333636,0.148911357872444,0,0,0,0,0,0,-0.28286493710169
X1299.HK.EQUITY,0,0.079740861814794,0,0,0.172429945917121,0.00420006346114192,0,0,0,0,0,-0.0160546074343755,0.0170304611248487,0,0,0.113727064684876,0,0,0,0,0,0,0,0,0,0.186995707541764,0,0,0,0,0,0.148341117133692,0,0,0,0,0,0,-0.0184702141203876,0,0,0,0,0.0105923404249545,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.152427659033518,0.0590792883078963,0.115440702190809,0,0,0,0,0,0,0.00910815546247007,0,0.360356371557789,0,0,0,0,0,0,0,0.0264790292855576,0.0915123590525987,0,0,0,0,0,0,0,0.0211938574661893,-0.0475521436707609,0,0,0,0,0.113821535477831,0.20295414288472,0,0,0,0,0,0.0413654466029208,0.0515722348771161,0,-0.212933163918335,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.624526331182781,0,0,0,0,0,0,0,0,0.0175062253283097,0,0.0216807789229608,0,0,0,0,0,0,0.146920495521691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00179174448271887,0,0,0,0,0,0,0,0,0,0
