,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.294933586008262,1.38777878078145e-17,0.0288310747028178,0,0,0.431674171633173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107788815594205,0,0.0237459374161943,0,0,0,0,0,0,0,0,0,0,0.0889294677630659,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.233347853687324,0,0,0,0,0,0.0714281877434204,0,0,0,0.0495903067305315,0,0,0.221869434507463,0.00498407829524233,0.0421007363187943,0,0,0.095464533505495,0,0,0,0,0,0,0,0,0,0.0812266280985781,0,0,0,0,0,0,0,0,0.0364527893908803,0,0.0829462570485616,0,0,0,0,0.00520422454131863,0,0,0,-0.0864278886340058
X601939.CH.EQUITY,0.417549795776494,0.080341992534768,0,0,0,0,0.0647235910143946,0,0,0,0,0,0,0,0,0,0.158799237798315,0,0,0,0,-0.149000627373811,0,0,0.0299497400476093,0,0,0,0,0,0.164212819411812,0,0.260617360349277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174711961629846,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.557553425214277,0,-0.0773340198660365,0,0.052720085760193,0,0,0,0,0,0.00853664619225241,0,0,0,0,0.0613024725077631,0,0.128540473775321,0,0,0,0,0,0.123076181735407,0,0.0392684783176401,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036350479318046,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.19438873153528,0,0.161425389289671,0,0,0,-0.052371128655668,0.13767471548494,0,0,0,0,0,0,0,0,0,0.0222044863905306,0,0.0923418614592828,0,0,0,0,0,0.100755362795489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378256822460695,0
X1299.HK.EQUITY,0,0,-0.164206628779515,0,0,0,0,0,0,0.195018202909888,0,0,0,0,0,0,0,0,0,0,0,0,0.0340482561688429,0,0,0,0,0,0,0,0,0,0.214838201053672,0,0,0,0,0.0429634294815221,0,0.224018560947084,0,0.0313100910222366,0,0.361655942142887,0,0,0,0.201126419740718,0,0,0
X601628.CH.EQUITY,0.17454108580495,0,0,0,0,0,0,0,0,0,0,0,-0.0163911334819118,0,-0.240918127067763,0,0,0,0,0,-0.0621690034872061,0.19058554081515,0,0.00218133429759256,0,0,-0.144176060357629,0,0,0,0,0,0,0,0.609404482336502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0914633367286431,0,0.0941346899287268,0.336970910694661,0,0,0,0,0,0.0264580569968107,0,0,0.208391352930917,0,0,0,0.134578088990383,0,0,0,0,0,0.0133719970375921,0,0.041592901195562,0,0,0,0,0.119936788465511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.210695045730279,0.101021008798475,0,0,0,0,0,0,-0.115828771859858,0,0,-0.043401579268744,0,0,0,0,0,0,0,0,-0.144269054249733,0,0,0,0.14837983116964,0.0901929618927633,0,0,0,0,0,0.153831634143373,0,0,0,0,0,0,0,0.166782764207557,0.0776158039144352,0,0,0,0,0,0,0,-0.156860614034012,0
X388.HK.EQUITY,0,0,0,0,-0.364882842291876,0.250508338729172,-6.93889390390723e-18,0,0,0,0,0,0.121110528742313,0,0.137473198995816,-0.0288301332319338,0,0,0.0294942246503183,-0.0179359002758657,0,0.518268510391352,0,0,0,0,0,0.0333751083683147,0,0,0,0,-0.127215459928359,0,0,0,0,0,0.17809809965863,0.0700554912027293,0,0,0,0,0,-0.210017979864036,0,0.0582787180939361,0,0,0
X601166.CH.EQUITY,0,0,-3.46944695195361e-18,0,0.00793828272510602,0,0,0,0,0,0,0.0571527300950009,0.151026235843904,0,0.122542457735617,0,0,0,0,0,0,0,0,0,0,0.025939881889099,0.182848856405973,0,0,0,0.391330095758919,0,0,0,0.00981981042063256,0,0.000554126664075967,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0.346175868799822,-1.0842021724855e-19,0,0,0.0843941744843484,0,0,0.255513249115831,0,0.0547628195296416,0,0.0284307039054616,0,0.453311681043507,0,0,0,0,0.321459105522134,0,0,0,0,0,0.0603775087507226,0,0,0,-0.325501963914476,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0615304389370466,0,0,-0.0631364381270645,-0.409420803591267,-0.0506293298539083
X000001.CH.EQUITY,0,0.173049802399148,0,0,0.0916512624841869,0,0,0.228955584902638,0,0.0419402440785788,0.272751686722795,8.67361737988404e-19,0,0,-0.0653044106609004,0.0274662182086109,0,0,0,0,0,0,0.160535493943072,0,0,0,0.317430488807103,0,-0.0874946832879269,0,0,0,-0.239800019167262,0,0,0,0,-0.0361564535598175,-0.0031562780474358,0,0,0,0,0,0,0,-0.0239874396290381,0,0,0,-0.0751209966744112
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0413098760758588,0,0,0,-0.00852444581394472,0,0,0,0.177385140248143,0,0,0.187091019901821,0,0,0,0,0,0,0,0,0,0.0860147445727497,0,0.286130531351494,0.0719981249612044,0,0,0.0641514220102399,0,-0.0305303707113636,0,0,0,0,0.292119526335417,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0.0294029069517426,0,-0.0839065786634013,0,0,-0.0710878241073372,0,0.149320412974912,0,0,0,0,0,0,0,0,0,0,0,-0.0189815332601869,0.288083672820069,0,0,0.331905411290541,0,0.0538001241934936,0,-0.130742858117469,0.0431504052637318,0,0,0,0,0,0,0,0,0,0,0,0.220744100111539,0,0.0503669871950154,0,0,0,0
X601601.CH.EQUITY,0,0.52171485886354,0.0307022518421073,0,0,0,0,0.156660026935958,0,0,0,0,0.20472750217263,0,0,0,0,0,0,0,0.110885681783538,0,0,0,0,0,0,0,0,0,0,0.0198959963995551,0,0,0.0729282299511384,0,-0.14188999488823,0,-0.0511959107752755,0,0,0.0699046849935957,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0614331609523287,0,0,0,0,0.0474298156735164,0,0,0,0.189313855887642,0,0,0,0,0,0.215715144745342,0,0,0,0,0,0.13986709881555,0.0757330723148343,0,0,0,0,0,0,0.00259665691791866,0,0,0,0.0790092711699172,0,0.128114021981715,0,0,0,0,0,0,0.0388951106651888,0.0235469435821381,0,0,0,0,0
X600000.CH.EQUITY,0,0.0582020886248921,0,0,0.127840593875578,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.369568355944677,0,0,0,0,0,0,0,0.093830077428894,0,0,0.0629826274800425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0659842466393814,0,0,0,0,0
X601066.CH.EQUITY,0,0,0.0806397018715564,0,-0.107553653863953,0,0,0,0,0,0,0,0,0.592937912019252,0,-0.137268978121932,-0.0334773495406575,0,0,0,0,0,-0.177649162159451,0,0.220357864743994,0,0,-0.0527856441964036,0,0,0,0,0,0,0,0,0,0,0.18872609110098,0,0,0,0,0,0,0.0519444643238391,0,0,1.73472347597681e-18,0,0
