,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.248577900247648,0,0.246506900667441,0,0,0,0,0,0,0,0,0.261088125055844,0,0,0,0,0.0345449432295207,-0.134767875150132,0,0,0,0,0,0,0,-0.056651018029997,0,0,0,0,0,0,0,0,0,0,0,0,0.065247959635968,0,0,0,0,0,0,0,0.0688504478759709,0,0,-0.0111608347898362
X601318.CH.EQUITY,0,0,-0.0958874138391724,0,0,0.0424371322613711,0.0146487832227558,0,0.220191920143519,0,1.73472347597681e-18,0,0.12490501674073,-0.00270934098903957,0,0,0.225120434180682,0,0,0,0,0,0,-0.0719127210059141,0,0,-0.103939943060107,0,0,0,-0.17354644164961,0,0,0,0.257220869836986,0,0,0,0,0.205807044063762,0.284646514706996,-0.229375582083963,0,0.268644410361006,0,0,0,0,0,0,-0.055974655323652
X601939.CH.EQUITY,0.659588519984607,0,0,0,0,0,0,0,0,0,0.0833589454493205,0,0.033285704524071,0,0,0,0,0,0,0,0,0,0,0,0.00166955113292184,0,0,0,0,0,0.0561462644052795,0,0,0.241400142365954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.49654794411865,0,0.0157464128615396,0,0,0.256072624246517,0,0,0,0,0,0,0,0,0,0,0,0.0741335353798034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179669371973975,0,0,0,0,0,0,0,0,-0.0591860988303598
X5.HK.EQUITY,0,-0.17353985241729,0,0.240788676647458,0,0,0,-0.106630808554717,0,0,0,0,0.271193972270422,0,0,0,0,0,0.00264190655763001,0,0.550022318363475,0,0,0,0,0,0,0,0,0,0.18415471839422,0,0.0128434515348718,0,0,0,0,0,0,0,0,0.110599944117619,0,0,-0.117979319241877,0,0,0.0670240567312369,0,-0.068334651521821,0
X601988.CH.EQUITY,0.185014697600214,0.0381004631306108,0.209893666242768,0,0,0,0,0,0.143285231304205,0,0,0.0170964949026385,0,-0.202487709350293,0,0,0,0,0,0,0.078584892866266,0,0.154355598278721,0,0,0,0,0,0,0,0,0,0,0.0526847540390957,3.46944695195361e-18,0,0.0295398358013183,0,0,0.194919842012957,0,0,0,0.0829027464178444,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.186499564832363,0,0,0.0291601697999653,0,0.124309522404335,0,0.364516140452876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555979534506448,0,0.0787730015967741,0.0119913851773402,0,0.0714249344075159,0,0,0,0.0580912364974538,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.135288874554498,0,0,0,0.120736149418265,0,0,-0.0793434372158665,0,0,0,0.231229728170996,0,0,0.0624513248598827,0,0,0.0307263781306822,0,0.0316431530201184,0,0.0585843460401785,0,0,0,0,0.0187163372990944,0.25064375544513,0,0.00377195127193607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.356040125909755,0.138270317486456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0657675421004804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0138556043774408,0,0,0,0,0,0,0,0,0,0,0.0545515110629844,0,0,0.122450176410604
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262266688997699,0,0,0,0,0.0962497971901385,0,0,0,0,0,0,0,0.50217225238819,0,0,0,-0.451850049614862,0,0.26623261322173,0,0,0,0.25290035519981,0.0879550414937394,-0.141784300765373,-0.351417667345661,0,-0.309017253114207
