,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.232866399125625,0,0.129573890349311,0,0,0,0,0.252009326306663,0.0618537637185207,0,0.132447359164339,0,0,0,0,0,0,0.0959750444228613,0,0,0,-0.0775886752175177,0,0,0,0,0,0,0,0.00231331727124519,0,0,0,0,0.0731014704920873,0,0,0,0,0,0,0,0,0,0.0180513728070878,0.0265519467617843,0,0,0,0
X601939.CH.EQUITY,0.457661422485976,0,0,0.0182358132248872,0,0,-0.0318901790480583,0,0,0,0.192635836623119,0,0.226704535940692,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00851809621749995,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.0481442064181158,0,0,0,0,0,0,0,0.25844907149789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204051232043489,0,0,0,0,0,0,0,0.0620227935644613,-6.93889390390723e-18,0.0429541085380557,0,0,0.206542388454345,0,0,0,0
X601288.CH.EQUITY,0.472523120406028,0.0317464520701913,0,0,0.171277323692453,0,0,0,0,0,0,0,0.0721881152324115,0,0,0,0,0,0,0,0.0673097255208352,0.0535859466338758,0,0,0,0,0,0,0,0,0.0365694275120359,0,0,0,0,0,0,0,0,0,0,0.0465756740028125,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0819471072144205,0,0.236536653585208,0,0,0,-0.0773923046723041,0,0,0,0,0,0,0,0,0.216561151409398,0,0.133503144328391,0,0,0,0,0,0,0.298132557300808,0,0,0.041446603054541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.293750068036534
X600036.CH.EQUITY,0,0,0.0217004927686636,0,0,0,0,0,0,0,0,0.415787387798557,0,0,0,0,0,0,0,0,0,0,0.0541268768839023,0.125025997639801,0,0,0,0,0,0,0,0,0,0,0,0,0.0850053623497114,0,0,0.0599456293014874,0,0,0,0,0,0,0,0,0,0.26975884155883,0
X1299.HK.EQUITY,0,0,0,0,0,0.113917535178264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535725376463684,0,0,0.200474036796035,0,0.0540238558997268,0,0,0.193865248362339,0,0,0,0,0,0,0,0,0.00135893816383665,0,0,0,0.190132764641602,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379944925483815,0,0,0,-0.531853495180514,0,0,0,0.826790044792792,0.115069584482226,-0.829822608074764,0,0,0.635664185254273,0,0,0,0,0,0,0,0,0.000757471276875667,0,0,0,0.242879186278097,0,0,0,0,0,0,0.0340572223733052,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.319323856658429,0,0,0,0,0,0,0.212598354125469,0,0,0,0,0,0,0.174580869484662,0,0,0,0.0463687467609386,0,0,0,0,0,0.0454949438691632,0,0,0,0,0.0169007732316752,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0.505402673498768,0,0,0,0,0,0,0,0,0,0,-0.395568741160866,0,0,0,0,0,0,0,0.103161318529287,0.00380609847304259,0,0,0,6.93889390390723e-18,0,0.907053863302702,0,0,0,0,0,0,0,0,0,0,-0.134905797021222,0,0,0,0,0.243669692587978,0,0,0,-0.126157679078274,0.0664424790155035
X601328.CH.EQUITY,0,0,0,0.245868884494978,0,0,0,0,0,-0.0758921959702263,0,0,0.251652788587644,0,0,0,0.0362669255267729,0,0,0.171161634837274,0,0,0,0,0,0,0,0,0.0193022792641154,0,0.21332919443471,0.00217720535764491,0,0.110121341957026,0,0.0213618767383027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.0426243942473324,0.0362616650780006,0,0,0.00608797491523773,0.254466097704977,0,0,0.0602952271448389,0.0130217490216235,0.0913611556333866,0,0,0.043887910805226,0,0,0,0,0.0245221887515648,0,0,0,0,0,0,0,0,0,0,0,0.189543932597022,0,0,0,0,0,0,0.0358117615740168,0,0.035719795130343,0,0,0,0,0,0.120305943460832,0.0701222382480637,0,0,0.0475830469528108,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.321537719143434,0,0,0,0,0,0,0,0,0.221660400855064,0,0,0,0,0.0178190478006269,0.208638698365457,0,0,0,0,0,0,0.0476118068337521,0,0,0,0,0,0.0232543876143441,0,0,0.0298097801912672,0,0,0.0632174180608097,0.0687234124465558,0,0,0,0,0.0126612616971799
X000002.CH.EQUITY,0,0,0.182457849706411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0262636468665406,0,0,0.00115142355836538,0,0.492876588959236,0,0,0.207073814571864,0,0,0.167686325961614,0,0.0019320966823723,0,0,0,0,0,0,-0.065962515075249,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0.214259853901858,0,0,0.00778867148160493,0.469160099994775,0,0,0,0,0,0,0,0,0.0145258634071444,0,0,0.0312580114269556,0,0,0,0,0.0342576689197503,0,0,0,0,0,0,0,0,0.00493781776150855,0,0,0,0,0,0,0,0,0,0,0.00172243587958286,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,-0.0296919860224251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103979564695835,0,0,0,0,0.0102323092090979,0,0.000926339176336329,0,0.208042049698289,0.247000076647564,0,0,0,0,0,0,0,0,0,0.0166029976896619,0.340284125430146,0,0,0,0.12180966716267,0,0
X16.HK.EQUITY,0,0,0,0,-6.93889390390723e-18,0,0,-0.0374896585354409,0,0,0,0,0,0,0.436449105997162,0,0,0,0,0.174082159068912,0,0,0,0,0,0,0,0,0,0.0732849601848877,0,0,0,0,0.223984511581584,0,-0.198798868876297,0.159443251869426,0,0,0,0.0964392791461209,0,0,0,0,0.0312287252860633,0,0,0,-0.0211182114289177
X688.HK.EQUITY,0,0,0,0,0,0,0.147886462679008,0,0,0.0359881983111193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25710164524488,0,0,0.268632709663952,0,0,0,0,0,0.0655393063736226,0,0,0,0,0,0,0,0,0,0,0.119776228989704,0,0,0,-0.103009130386273
