,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,-0.10530725632879,0,0,0,0,0,0,0,0,0.118814670474296,0,0,0,0,0,0,0,0,0,-0.18568994839827,0,0,0,0,0,0,0,0,0,0,0.0567936969127108,-0.282289017001877,0,0.061752151953728,0,0,0.669078790014019,-0.233997614948926,0.061575019018606,0.142067690020843,0,0,0,0,0,0,0.214234402890654
X601318.CH.EQUITY,0,0,0,0,0,0,0.113880102072864,0,-3.46944695195361e-18,0.0256532647836136,0,0,0,0.00811576383081281,0,0.0445597251470435,0,0,0,0,0,0,0,0,0.164926177814393,0,0,0,0,0.0511870608657761,0,0,0,0,0,0,0,0.483467361890344,0,0,-0.0430478337930718,0.042808409865926,0,0,0,0,0,0,0,-0.0143403339061823
X601939.CH.EQUITY,0.409541577945183,0,0,0,0.00782162396063092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114146978131599,0,0,0,0,0,0.151127368933553,0,0.0724854256483132,0,0,-0.160489398217076,-0.106887434380746,0,0,0,0.461194888952478,0,0,0,0,0.0871136638432147,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.110198292838212,0,-0.168149192574949,0.0526757085851947,0,0.355604459983024,0,0.371491430531667,0,0,0,0.0807128815945365,0,0,0,0,0,0,0,0,0,-0.0369549753730375,0.0195144504946041,0,0,0,0,0,-0.475753401459488,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0540541099896858,0,0
X5.HK.EQUITY,-0.123789990558232,0,0,0,0,0,0,0.0851632824875043,0,0,0.0835467932047167,0,0,0,0.0720553449050228,0.238902679634589,0,1.73472347597681e-18,-6.93889390390723e-18,0,0.25426309416079,0,0.412547786919171,0,0.0032243716566293,-0.0223275629593785,0,0,0,-0.343128778234722,0,0,0,0,0,0,0,0,0,0,-0.0579906575568428,0.247085580756389,0,0,0,-0.140022269776285,0,-0.251075954399072,0,0.0886406819464496
X601988.CH.EQUITY,0.17364479581836,0,0.0331021886091787,0.623877563497164,0,0,0,0,0,0,0.103988043619469,0,0,0,0.113995602522583,0,0,0,0,0,0,0.020688492277908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179305163810741,0,0,0,0,0,0,0.0794166980368113,0,0,0,0
X600036.CH.EQUITY,0,0.447155267000645,-0.0830740499679838,0,0,0,0,0,-0.00546607163373664,0.50946376474213,0,0,0,0,0,-0.145612245054884,0,0.0460921933177575,0.0620942960089032,0,0,0,0,0,0,0.0826894593414705,0,0.0208107149880936,0,0.361904918671112,0,0,0,0,-0.28092115080823,0,0,0,0,0,0,0.101852595509861,0,0,0,0,0,0,0,-0.105230295330695
X1299.HK.EQUITY,0,0,0.00647735870026825,0,0.088933599925887,0,0,0,0,0,0,-0.0399234480090726,0,0.0539301958942703,0,0,0.149247186882803,0,0,0,0,0,0,0.0439795176048961,0,0.204497500358232,0,0,0,0,0.125107781537049,0.162263342328824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.0583794577519418,0,0.0539385162052216,0,0,0,0,0,0,0,0,0,0.32884849001531,0,0,0,0,-0.0237766962419153,0,0,0,0,0.118545928642939,0,0,0,0,0,-0.0584465129791457,0,0,0,0,0,0,0.0447878170091341,0.214994929085417,0.0118092303154184,0,0,0,0,0,0,0,0,0,0.13851466778417,0
X601328.CH.EQUITY,0,0.13665699978228,0.327685392787545,0.035421401167783,0,0,0.344416966003727,0,0,0,0,0,0,0,0,0,0,0.28485050314923,0,0,0,0.0049446839686091,0,0.0235152868372256,0,0,0,0,0,0,0,0,-0.131052050190891,0,0,0,0,0,0,0,0,0,0,0,0.0377430418133838,0,0,0,0,0
