,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.360916082373986,0,0.310466222688182,0,0,0,0,0,0.0477130256741654,0,0,0,0,0.05133299696,0,0,0,0,-0.044447691528474,0,0,0,0,0,0,0,0.0441601439810112,0,0,0,0,0,0,0,0,0,0,0,0,0.0902105164017551,0,0,0,0.0582115083794857,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.108477184662594,0,0,0,0,0,0,0,0.179219686503108,0,0,0,0,0,0,0,0.179214359280894,0,3.46944695195361e-18,0,0,0,0,0,0.0678332563546176,0,0,0,0,0,-0.0561989189866793,0.136484523925629,0,0,0.0316612855973008,0.156517709349751,0,0,0,0,0.0391610318547184,0,0.0204911489709345,0,0,0,0.0582829309025366,0,0,0.136092258888883,0,0,0
X601939.CH.EQUITY,0,0,0,0.340432729523592,0,0.0711630307977342,0,0,0,0,0,0,0.434309056691017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0544543152026643,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.386946718957368,0,0,0,0,0.257937017868673,0,0,0,0,0,0,0,0,0.0351093772754699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208713673447859,0,0,0.0111974593068674,0,0,0,0.025533598661921,0.087090380110793,0,0,-0.0118143639147969
X5.HK.EQUITY,0,0,0,0.00856400311485297,0,0,0,0.00852381552230978,0.203438107859218,0,0,0,0,0,0.0483609026217533,1.38777878078145e-17,0,0,0.467561250515179,0.0659107949980982,0,0,0.0182547150943406,0,0,0,0,0.111526859505194,0.115943350376561,0,0,0,0,0,0,-0.144614727460788,0,0,0,0,0,0,0,0,0,0,0,0,0.0739355034095583,0,0,-0.0406372108888288,0
X601988.CH.EQUITY,0.386377931226352,0,0,0.0030197570622848,0,0,0,0,0,0,0.0657567793331751,0,0,0,0,0,0,0,0.0148430819988353,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162111960198721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330853324823349,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.143141796940727,0,0,0.015819153124228,0,0,0,0,0,0.573493486198622,0,0,0,0,0,0,0,0,0,0,0.0717267906520787,0,0,0,0.0621451446424459,0,0,0,0.065942492646703,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.0125586415357679,0,0,0,0.0516729239775007
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0750567134506184,0,0,0,0.428391076604786,0,0,0,0.120452117430144,0.0536370204954382,0,0,0,0,0,0,0,-0.0349391772831507,0.406730099991301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.257051984410818,0,0,0,0,0.0609400907998239,0,0,0,0,0.0128899281809575,0,0,0,0,0,0,0,-0.0798844139090015,0.0981812791294269,0,0,0,0.156856657792676,0,0,0,0,0.151980503733248,0,0,0,0,0,0,0.0712079592706034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0663695162857201,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222799919926621,0,0,0,0,0,0,0,0,0,0.256577134486936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104667871322528,0,-0.739951330181594,0.264129293976111,0,0,-0.306052007689001,0.626657135428825,0.425732527200196,0,-0.137686997461097,-0.126706904969821,0,0.0608661038983526,-0.417318705220822
