,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.294932642886926,0,0.0288303343025481,0,0,0.431682891581834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10778333746707,0,0.023752409345027,0,0,0,0,0,0,0,0,0,0,0.0889285382322513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.221376600719215,0,0,0,0,0,0.0288642786692647,0,0,0,0.0642036236716818,0,0,0.241543370692939,0.0011072295679079,0,0,0,0.102566063052442,0,0,0,0,0,0,0,0,0,0.0865053176451827,0,0.0649959405395474,0,0,0,0,0,0,0.0257688183826613,0,0.0220440594967032,0,0,0,0,0,0,0,0,-0.0368451104484991,0,-0.0736866954861096
X601939.CH.EQUITY,0.416867064679367,0.0703130742904945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15272466384117,0,0,0,0,-0.128675103670976,0,0,0,0,0,0,0,0,0.16197510418744,0,0.266803074686533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259817627005804,0,0.0543909828496089,0
X601288.CH.EQUITY,0,0,0,0,0,0,0.00166423642803486,0.556408408724416,0,-0.0848314328078953,0,0.0566847860457692,0,0,0,0,0,0,0,0,0,0,0.0576397914465286,0,0.109851838057921,0,0,0,0,0,0.112361759919019,0,0.0471247642001071,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377607211899563,0,-3.46944695195361e-18,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.184975561348688,0,0.1720200946032,0,0,0,-0.0547710681220675,0.129809705807616,0,0,0,0,0,0,0,0,0,0.0263020964067783,0,0.0791670041524487,0,0,0,0,0,0.134299697949427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364542811840721,0,0.0200352833536584,0
X1299.HK.EQUITY,0,0,-0.164205991330178,0,0,0,0,0,0,0.195018470822839,0,0,0,0,0,0,0,0,0,0,0,0,0.0340549257208567,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.214832061971676,0,-1.73472347597681e-18,0,0,0.0429707886671079,0,0.224011677340646,0,0.0313079962566369,0,0.36165915154307,0,0,0,0.201122383363686,0,0,0,0,0
X601628.CH.EQUITY,0.145431048922719,0,0,0,-0.0078190391733662,0.000714227369752457,0,0,0,0,0,0,-0.0268881424863543,0,-0.198006495853064,0,0,0,0,0,0,0.137599477395183,0,0,0,0,-0.109207970700883,0,0,0,0,0,0,0,0.594734347178132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077563334282364,0
X601988.CH.EQUITY,0.0913517783920787,0,0.0941537776829848,0.337042758457069,0,0,0,0,0,0.0262962126712365,0,0,0.208450158125991,0,0,0,0.134578388277369,0,0,0,0,0,0.0133365515577287,0,0.0415194063319295,0,0,0,0,0.119959010902114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.197892768172992,0.111567809692636,0,0,0,0,0,0,-0.0375432152272226,0,0,0,0,0,0,0,0,0,0,0,-0.260839973085385,0.0735695753740359,0,0,0.1706287944789,0,0,0,0,0,0,0.0602658118473393,0,0,0,0,0,0,-0.0114995063656264,0.237046114168081,0.048371303397379,0,0,0,0,0,0,0,-0.0633009745958434,0,-0.163430557456809,0
X388.HK.EQUITY,0,0,0,0,-0.26732734460409,0.272856301279954,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0924195800817422,0,0.383936509820221,0,0,0,0,0,0.0204073765651567,-0.0115156945921205,0,0,0,-0.183654408055512,0,0,0,0,0,0.109244114298281,0.126330874102241,0,0,0,0,0,0,0,0.0777253225991409,0,0,-0.00985844272674626,0,0
