,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.23268063053361,0,0.116787234638405,0,0,0,0,0.253905535684624,0.0582982372685868,-1.38777878078145e-17,0.160880332796879,0,0,0,0,0,0.10729162211148,0,0,0.014886723920267,0,-0.0664371812934374,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366699055382824,0,0,0,0,0,0,0,0,0.0301749658260127,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.458487872205808,0,0,0.0178395069001661,5.42101086242752e-20,0,-0.0321431512356269,0,0,0,0.191735249883473,0,0.228209167270485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00861993243447906,0,0,0,0,0,0,0,0,0,0.00019253786138372,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.14816451182442,0,0,0,0,0,0.00573460084819226,0.287472823480299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241653507378286,0,0,0,0,0,0,0.00686959858051907,0,0,0.0738477717429958,0,0,0.0691909860722673,0,0,0,0,0,0
X601288.CH.EQUITY,0.424677241690846,0,0.0177842675903971,0,0.209107229808507,0,0,0,0,0,0,0,0.0163155465535276,0,0,0,0,0,0,0.0720853146232075,0.119518208992005,0.041748587406873,0,0,0,0,0,0,0,0,0.0183450439538942,0,0,0,0,0,0,0,0,0,0.0307560488769315,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.255628891376383,0,0,0,0,0,0,0.27737802242841,0.269890980100021,0,0.077165511649754,0.0572075048267417,0,0.00397559177293477,0,0,0,0,0,-0.0356231091275067,0,0.0319930618682758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0491729639144759,0,0,0,0,0,0,0,0.042040735738748,0,0,0.0197132986815197,0,0
X600036.CH.EQUITY,0,0,0.0196609344102839,0,0,0,0,0,0,0,0,0.409571068856041,0,0,0,0,0,0,0,0,0,0,0.0527905766034461,0.0138072110035432,0.126798096259507,0,0,0,0,0,0,0,0,0,0,0.0863293017559446,0,0,0,0.0580437570259459,0,0,0,0,0,0,0,0,0,0.265162483595709,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.117635429939635,0,0,0,0,0,0,0,0,0,0,0,0.00564785077614251,0,0,0,0,0,0,0,0,0.074373379882204,0,0,0.158495730657838,0,0.0455335466453391,0,0,0.1984930811111,0,0,0,0,0,0,0,0,0,0,0,0,0.199582869779804,0,0,0,0,0
X5.HK.EQUITY,0,-0.255958600477211,0,0,0,0,0,0,0,0,0,0,0,-0.0295155755090199,0,0,0,0,0,0,0,0,1.17100779192714,-0.765544510117431,0,0,0,0.495016936651498,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402880646793273,0,0,0,0,0,0,0,0,-0.0719041818538388,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.14312222787461,6.93889390390723e-18,0,0,0,0,0.231846394939127,0,-6.93889390390723e-18,0.134747710745261,0.0773518848420344,0,0,0,0.0857807189910471,0,0,0,0.031331275460938,0,0,0,0,0,0,0.0639918602250034,0,0,0,0,0,0,0.0297109793392352,0,0,0,0,0,0,-0.0444820649434559,0,0
X601658.CH.Equity,0,0,0,0.28659375378098,0,0,0,0.124934903784487,0,0,0,0,0,0,-0.222786783657639,0,0,0,0,0,0,0,0,0,0,0,0,-0.184402743402678,-0.0271469094679102,0.871220324857481,0,0,0,0,0,0,0,0,0,0,0,-0.113290928764026,0,0,0,0.60285336431594,0.0124726124568633,0,0,-0.151428792792938,0,0,0.202549667706249
