,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.378369448814335,0.0174286708425859,0.124199958086677,0,0,0,0,0,0,0.213985813920794,0,0.00517550366758787,0,0,0,0,0,0,0,0,0.101075765899937,0.0265469558263339,0,0,-0.0363904096890833,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0289072362359883,0,0,0,0.0105934866486583,0,-1.73472347597681e-18,0.0176850351812588,0.0452853104575098,0,0,-0.173185755131903,0,0
X601939.CH.EQUITY,0.393733005665907,0,0,0.173966772665857,0,0,-0.00527870596258055,0,-0.0367606957191414,0,0.155517641991727,0,0,0,-0.0762590938887712,0,0,0,0,0,0,0,0.178983020079145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0973522780436409,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.307799660007922,0.0831788138534418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181974384980985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108603928831423,0,0.0754081136866788,0,0.0119828068845435,0.144306861728851,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.37659702251848,0,0,0,0.215482253952136,0,0,0,0,0,0,0,0,0.147137835888923,0,0,0,0.0913481299045353,8.67361737988404e-19,0,0.0341300295316379,0,0,0,0,0,0,0,0,0,0,0,0.084318184165094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.487211727612033,0,0,0,0,0,0.188896167594099,0,0,0,0,0,0.0378086383775622,0.195567853890494,0,0,0,0,0,0,0,0,0,0.026975478844856,0.0823774599300649,0,0,0,0,0,0,0,-0.577527616060985,0,0,0,0,0,0,0,0.178074251209019,0,0,0,0,0,0.0488367070744377,0,0.218554490352417,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.272575906456103,-0.045118868976417,0,0,0,0.132875749588837,0,0,0,0,0.114802079264523,0,0,0,0.00725027420105884,0,0,0,0,0,0.23387312141375,0,0,0,0,0,0,0,0,0,0.119892040545232,0.124254789973228,0,0,0,0.106671309125698,0,0,0,0.0227559356427901,0,0
X1299.HK.EQUITY,0,0,0,0,0.0359857180146946,0,0,0,0,0,0.0354297247846457,0,0,0.189743603916198,0,0,0.0349123774350503,0,0,0.49525575030956,0,0,0,0,0,0.114166113980104,0,0,0,0,0.0178485985228627,0,0,0,0,0,0,0,0,0,0,0.0849513251958519,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.00809726404990462,0,0,0,0,0,0,0,0,0,0,0,0,-0.158240933873597,0,-0.191463069398083,0,0,0,0,0,0,-0.262871946826151,0,0.515680335134178,0,0.763784359509748,0,0,0,0,0,0,0,0,0.403257127725522,0,0,0,0,0,0,0,-0.271061545021984,0,0,0,0,0,-0.0158948927349751,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.173493294345501,0,0,0,0,0,0,0,0,0.271580256310256,0,0,0,0,0,0,0,0,0,0.0541013134539788,0,0,0.0794939976789346,0,0,0,0,0,0.0838766686212047,0,0.272540937466514,0,0,0,0,0.198711569675154,0,0,-0.0724048854403307,0,0
X601658.CH.Equity,0,0,0,0.136326610561488,0.155879500989691,0,0,0,0,0,0,0,0,0.126224204903085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174543340884316,0,0,0,0,0,0,0,0.216877511250007,0,0,0,0,0,0,0,0,0,0,0,0.352751924532052,0,0.0286210651929722,0,0
