,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128214085502447,0,0,0,0.0517955921089869,0,0,0,0.00952945596831575,0,0,0.0915548804608103,0.0131091221810254,0.365070415880664,0,0,0,0,0.0789047174553246,0.153187278657629,0,-0.169961903763428,0,-8.67361737988404e-19,0,0,0,-0.113003190899471,0,0,0.0308178418019748,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.176551482158249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438493271909128,0.102225626422555,0.00592361330601727,0.0103248673974379,0,0,0,0,0,0.126264347704809,0,0,0,0,0,0,0,0,0,0,0,0.0766550103431911,0
X601236.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0583455074380533,0,0,0,0,0,0.0138479774379196,0,0.0511839580610739,-0.108636659489695,0,0.489881859542331,0,0.112487797653965,0.364970259764937,0,0,0,0,0,0,0,0,-0.00602572094828142,0,0,0,0,0,0,-0.151461379208562,0,6.93889390390723e-18,0,0
X601688.CH.EQUITY,0,0,0.00344880250392719,0,0,0,0,0,0,0,0.0320043726831316,0,0,0,0,0,0,0,0,0.217082009207593,0,0,0,0,0,0,0,0,0.286980023826914,0.116993999777069,0.194409100859839,0,0.105455384215757,0,0,0,0,0,0,0,0,0,0,0,0.026170973205231,0,0,0,0,0,0
X601881.CH.EQUITY,0,0,0,0.0178391896062297,0,0,0,0,0,0,-0.0165210877452589,0,0,0,0,-0.169589437721057,0,0,0.0666491754205861,0,0.0220698951314055,0.0873546596933657,0,0,0,0.0733775085699275,0,0.150004023064855,0,0,2.71050543121376e-20,0,0.304375159309485,0,0.134121216793503,0,0.443489415981233,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601696.CH.Equity,0,0,0,0,0,0,0,0,0,0.16893605246321,0,0,0,0,0,0,0.0267539043553658,-0.374015834793026,0,0,0,0,0,0,0,-0.242672480213843,-0.117021794023826,0,0,0,0,0,0,0,0,0,0,0,0.213480190634743,0,0,0,0,0.217761352592392,0,0,0,0.109577706559456,0,0,-0.119439587309354
X388.HK.EQUITY,0,0,0.349480155715566,0,0.0627498194506518,0,-0.240747124825065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189621654074597,0,0.111087182892352,0,0,0,0,0,0,0,0,0,0.0206333411386085,0,0,0,0,0,0,0,0.335013083166619,0,0,0.0833327272920266,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.173703231484065,0,0,0,0,0,0,0.111069694982477,0,0,0,0,0,0.199523257926773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148461757662404,0,0,0,0,0.101759337121736,0,0,0,0,0,0.26401521008999,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211677612498809,0,0,0,0.016594619108489,0,0,0,0,0.0562030270122019,0,0,0,0,0,0,0.220994956260416,0,0,0,0,0,0,0,0.272104351228033,0.0671268466477799,0.0446626022565621,0,0,0,0.033912368573104,0
X601336.CH.EQUITY,0.127134089674263,0.00922256264245474,0,0,0,0.217058863912214,0,0,0,0.00568674206883095,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0635309696573351,0,0,0.041021137669614,0.0978818883551079,0,0,0,0,0.205215830047373,0,0,0,0,0,0.140821694220714,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119223127089432,0,0,0,0,-0.063947589064916,0,0,0,0,0,0,0,0,0,0,0,0.0532708605055362,0,0,0,0,0,0,0,0,0,0,0.560431010969406,0,0.00379951958036187,0,0.0513843947928393,0.159689225923963,0,0,1.73472347597681e-18,0
X601628.CH.EQUITY,0.218544245948636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0214337352279868,0.0877386321717957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0640917675380333,0,0.346829639293881,0,0,0,0,0,0.0272054994363506
X1299.HK.EQUITY,0,0,0.097147023890745,0,0,0,0,0.117766636697006,0,0,0,0.106486297227012,0,0.0052686560413394,0,0,-3.46944695195361e-18,0,0,0,0,0.0302556447074627,0,0,0,0,0,0,0,0,0,0,0,0.0231871865065098,0,0,0,0,0,0,0.21219444385217,0,0,0,0,0,0,0.222481270168088,0,0.0958576284528185,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0.0633251077891167,0,0,0,0,0,-0.0289635206909416,0,0,0,0,0,0,0,0,0,0,0.201732208493612,0,0.0841156918448146,0,0,0,0,0,0,0,-0.0415189060343174,0,-0.130821938294438,0.0451693604818011,0,0,-0.0272286937757946,0,0,0,0,0,0.106099484780066,0,0.538912944328323,0,0.0841971659720313
X2882.TT.EQUITY,-0.0689963841624922,0,0,0,0,0,0,0,0,0.0475717883742654,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0125010133794738,0,0,0,0,0,0,0.281006115456892,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.0689227702710833,0,0,0,0,0,0,0,0,0.66043095627021,0,-0.110639813876323,0
X267.HK.EQUITY,0,0,0,0,0.223846618643087,0,0,0,0,0,0,0.00419938322845158,0,0,0,0,0,0,-0.110878291322862,0,0.232207543720097,0,0.173462654476293,0,0,0,0,0,0.0247903682212766,0,0,0.12416850841593,0,0,0,0.164589882724331,0,0,0,0.117000940898324,0,0,0,0,0,0,0.131821030585809,0,0,0,0
macro_return_add,0,0.503319948803535,0,0,0,0,-0.17373699810826,0.314379878548972,0,0.0600528324109518,0,0,0,0,0,-0.0408320136494845,0,0,0,0,-0.374861330847557,0,0.0755224699256788,0.109140082915128,0,0,0,0,0,0,0,0,-0.167332254309726,0,0,0,0.0559710148410878,0,0,-0.0311219845027635,-0.0790067218440855,0,0,0,0,0.547546170447248,-0.436735306511953,0,0,0,0
