,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.165613461630177,0.0389181146734637,0,0,0.470197255837952,0,0,0,0.0227816456299098,0,0,0,0,0,0,0,0,0,0,0.107877169479805,0,0.247035466466262,0,0,0,-0.0267047509248079,0,0,-0.116937488594119,0,0.0540257443591826,0,0,0,0,0,0,0,0.0553152926389147,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.228318031064315,0,0,0.195869027791866,0,0.201941599409189,0,0.0648647823789502,0,0,0,0.0280152038961889,0,0,0,0,0,0,0,0,0,0.0527139305172056,0,0,0,0,0,-0.165011581518394,0,0.0368749151695127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193764609494149,0,0,0,0,0.217609734316398,0
X600000.CH.EQUITY,0,0,0,0.283055215399497,0,0,0,0.110996447883316,0.0995460968512593,0.104331795422306,0,0,0,0,0,0,0,0.0841920045410993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115432247838968,0,0,0,0,7.65890360462026e-05,0,0,0.0689373607020141,0,0,0,0,0,0
X600015.CH.EQUITY,0.348342244197827,0,0.0386055450093265,0,0,0,0,0,0.101205344870298,0,0,0,0,0,0,0,0,0.0510162829556499,0,0,0.0114858327228375,0,0,0,0,0,0,0,0,0,0,0,-0.167963384289014,0,0.134236817837919,0,0.067869309652075,0,0,0.0531499923037717,0.121766030238046,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0.155515019052171,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.0667861076256427,0,0,0,0,0,0,-0.138735167929327,0,0,0.0842023654792083,0,0,-0.432835676573275,0,0,-0.000767185641081821,0,0,0,0,0,0,0,0,0.611394187623096,0,0,0,0,0,0,0,-0.0311921647053023
X600036.CH.EQUITY,0,0.0764960198336393,0,0.22072639510993,0,0,0,0.0307458831362758,0.0593677610453899,0,-1.38777878078145e-17,0,0.171274115531768,0,0,0,0,0,0,0,0,0,0.166556625680318,0,0,0,0.078102278938092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600919.CH.EQUITY,0,0,0.0252770444531798,0,0,0,0,0.129142021460678,0,0.0506372902049208,0,0,0,0,0,0,0,0.204021348601371,0,0,0.213921253762303,0,0,0,0,0,0,0.135898930259239,0,0,-0.191993403471423,0,-0.0379024117007992,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0617629162932399,0,0,0.0474728327619072,0
X600926.CH.EQUITY,0.103494019894082,0,0.0336348430543621,0,0,0,0,0,0.107564699319503,0.137513360058173,0,0,0,0,0,0.0709659925616725,0,0.31464270926035,0,0,0,0,0,0,0,0,0,0,0,0,-0.102415524744726,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.104997701164709,-0.03127796305757,0,0,-0.0754130204363702,0
X601009.CH.EQUITY,0,0,0.0348535538695004,0.0794772536698868,0,0,0,0.299032417550647,0,0,0,0,0,0,0,0,0,0,0,0,0.143969069345063,0,0,0,0,0,0,0.110044413955089,0,0,0,0.022250847643049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0
X601166.CH.EQUITY,0.571958882403689,0,0,0,0,0,0,0.211486059388019,0,0,0,0,0.0696884233702594,0,0,0,0,0,0,0,0,-0.129506706527781,0.0877595063617395,0,0,0,0,0,0,0,-0.0173436098398981,0,0,0,0,0.210607053794207,0,0,0,0,0,0,0,0,0,0,0.0114332678624597,0,0,0,-0.044272654458492
X601169.CH.EQUITY,0,0.0611064085909279,0,0,0,0,0,0,0,0,0,0,0.212247318321498,-0.0265159973916326,0,0,0,0,0,0.707898227843406,0,-0.0704707824588836,-0.0794907181821783,0.0715114215162532,0,0,0.0187806669483178,0,0,-0.0703381331749114,0,-0.147267834972643,0.060361087785835,0,0,0,0.138426047877579,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,-0.0965661514230323,0,0,0,0,0,0,0,0,0,0,-0.185121911399382,0.01453169918223,0,0,0.980930115360655,0,0,0,0,0,0,0,0,-0.0369395795542222,0,0.0725341330155782,0,0,-0.0791674670562034,0,0.0106452178848207,0.0697286686628121,0,0,0,0,0,0,0.114638315477668,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.0208916888445649,0,0.0622246341256519,0,0,0.270633948020901,0,0,0,0,0,0,0,0,0.576782139206584,0,0,0,0,0,0,0,-0.0948681525217021,0,0,0.143460224096182,0,0,0,0,0,0,0,0,0,0,0,0,0.0557441027346395,0,0,-0.0150652685953661,0,0,0,-0.110999771157279
X601328.CH.EQUITY,0,-0.0601814416617878,0,0,0,-0.0524857628814363,0,0,0,0,-0.12148956479904,0,0,0,0.976963192275442,0,0,-0.0385119623484554,0,0,0,0,0,0,0,0,-0.00292230149565872,-0.0543750705820393,0,0,0,0.0492698742901798,0.057892627147823,0,0,0.0577031693910306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
