,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2887.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X601318.CH.EQUITY,0.425804029874625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0801362227509245,0.079576257040014,0,0,0,0,0,0,0,0,0,0.221933428700863,0,0,0,0,0,0,0,0.251654482696505,0.10978905052884,0,0.0401707094049571,0,0,0,0.0370760547621285
X601319.CH.EQUITY,0,0,0,0,-0.129875396486204,0,0,0,0,0,0,0,0.264826801339823,0,0,0,0,0,0,0.152645914424929,0,0,0,0,0,0,0,0,0,0,0,0.0391652789587805,0.0340361377163909,0,0,0,0,0,0,0,0,0,0,0.212410794386499,0.0590061276815321,0.0206013290835218,0,0.168021845384521,0,0,0
X601336.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102173201036598,0,0,0,0,0,0,0,-0.00651683239292705,0,-0.0765479359123465,-0.0468835216396341,0,0,0,0,0,0,0,0,0,0.225504356536501,0,0,0,0,0.0247914172345494,0.12204575846795,0,0.142926867390091,0.397042783063244,0,0,0,-0.0280645190929975,0
X601601.CH.EQUITY,0,0.136163622384602,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0.0955752269147345,0,0,0.0227559315264361,0,0.0819420881015147,0,0,0,-0.0378314921987793,0,0,0,0,-0.122009383547146,0,0,0,0,0,0,0,0,0,0,0,0.101646605685089,0,-0.0410328938581172,0,0,0.52207840652237,0,0.0909112851664456,0,0,0,0,0.00976219813212277
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.257973528667187,0,0,0,0,0.186782649466269,0,0,0,0,0,0,0.109007694694506,0,0,-0.124070905475053,0,-0.00913647187104067,0,0.308890596665239,0,-0.00667758083506518,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,0,0.134694504628985,0.535991091360725,0,0.0207439685070998,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0376914637562195,0,-0.0522183689811554,0,0,0,-0.0574837907378041,0,0,0,0,0.179802368481059,0.400747900260636,0,0,-0.0446812925871554,0,-0.253305546614408,-0.0191129171783072,0,0,0,0,0,0,0,-0.0481497675696821,0,0,0.029579525707502,0,0.172251429245457,0.139332356508038,0,0.145911731706004,-4.33680868994202e-19,0,0
X2882.TT.EQUITY,0,0,0,-0.100071500361572,0,0,0,0,0,0,0,0,0,0,0,0,-0.30394196351916,-0.0381394118711153,0,0,0,0,0,0.0881661371824931,0.0582163409696517,0,0,0.124775315143325,0,0,0.0912776639084601,0,0,0,0,0.259559230248977,-0.00975353054982366,0,0,0,0,0,0,0,0,0,0,0,0.528642128092657,0,0.0493017836573745
X2883.TT.EQUITY,0.0198134915330225,0,0.00406520953030599,0,0,0.123115370971499,0,0,0,0,0,0,0,0,0,-0.0140700949181226,0,0,0,0,0,0,0,0,0,0,0,0.21541146360834,0,0.120332251132497,0.0792254132596481,0,0,0,0,0,0,0,0,0,0.206344976837854,0,0,0,0,0,0,0.335247168810289,0,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0.0530844479317914,0,0,0,0,0.152646823341399,0,0,0,0,0,0,0,0.198957001621392,0,0,0,0.0861897538046896,0,0,0,0.275181517100907,0,0.151970698377054,0,0,0,0,0,0,0,3.46944695195361e-18,0.11735204622981,0,0,0,0,0,0.0778657390037537,0,-0.0700296830659631,0,0
macro_return_add,0,0,0,0,0,0,0,-0.0884347201106928,0,0,0,0,0,0,0,0.128970755119847,0,0,0,0,0,-0.0980462940293919,0,0,0,0,0,0.223876129365494,0.139412067808039,0,0,0,0,0,0,0,0,0,0.0235689927119337,0,0,0.169938415090337,-0.0234812076581737,0,0,0,0.108482450769933,0.147896740815093,0,0,0
