,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X601818.CH.EQUITY,0,0,0.0578033993701492,0,0.14688284456333,0,0,0,0,0,0.143648813687281,0,0,8.67361737988404e-19,0,0,0,0.301828139812038,-0.123565186028487,0,0,0,0,0,0.0482168593665263,0,0,0,-0.0154908796558921,0,0,0,-0.000862607918391219,0,0,0,-4.33680868994202e-19,0,-0.108081876889338,0,0,0,0,0,0,0,0,0,0.0331967066960754
X601939.CH.EQUITY,0,0.3054778466909,0,0,0,0,0,0.0989916681684006,0,0,0.136980376166063,0,0.0926822775771684,0.229075317814995,0,0,0,0,0,0,0,-0.0973657975855565,0.138062572872542,0,0,0,0,0,0,0,0,0,0.178251513451407,0,0,-0.421446324813837,0,0.459713582562656,0,-0.0289625623798179,0,0,0,0,0,0,-0.0819432887129731,0,0.0652979821996655
X601988.CH.EQUITY,0,0.0246339792166633,-0.170050563783685,0,0.212473924847245,0,0,0,0.184836777377164,0,0,0.345490248093552,0,0.276921948921589,0,0,0,0,0,0,0,0.00376771570016561,0,0,0,0,0,0,0.0226838378436547,0,0,0,0,0,0,0,0,-0.047570764121398,0.0111548504826652,0,0,0.0663374481097785,-0.0184272687070847,0,0,0.140200079431789,0,0,0.0513342577603802
X601998.CH.EQUITY,0,-0.0137468726689569,0.298216447963609,0,0.243108103636738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155573862543489,0.0749412506818633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0804411484222518,0,0,0,0,0,0,0,0,-0.073469648356083,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.032018904086269,0,0,0.324719690059782,-0.31528975923842,0,0,0,0,0.35147313204746,0,0,0,-0.109508707468869,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.0787776128590437,0,0,0,0,0,0,0,0.249931126578682,0,-0.0233196952540309,0,0
X2388.HK.EQUITY,0,0,0,0,0,-0.0916877331260854,0.0376367390491108,0.0598010102245548,0,0,0,0,0,0,0,0,0.123393239024139,0,0.304071268780361,0,0.683735677307901,0,0.115788917915004,0,0,0,0,0,0.0851957620785218,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,-0.132631775986916,0
X5.HK.EQUITY,0,-0.0340405943952198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327051523433552,0,0.415113536817821,0,0,0,0,0,0.201847573924756,0,0,0,0,0,0,0,0.06988838176368,-0.0571044216967489,0,0,0,-0.191615664381079,-0.244216647888097,0,0,0,0,0,-0.0486587833042791,0.249479168788165,0,0.119016729764587
X2884.TT.EQUITY,0,0.0946504600534618,0.14004093897742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0590759546136023,0,-0.122539682400202,0,0.173711408511364,0,0,0,0,0,0.0761222320556499,0,0,0,0,0.0341237256263041,0,0,0.19682184599584,0,0,0,0,-0.0567203969553683,0,0,0,0.0228662491838684,0.131337281625365,0,0
X2886.TT.EQUITY,-0.117161470168062,0,0,-0.0720071971802272,0,0,0,0,0,0,0,0,0,-0.0705943486683133,0,0,0,0,0,0,0,0,0,-0.00359509198687507,0.815693362554324,0.0884840735388194,0,0,0,0,0,0,0.010348253472996,0,0,0,0,0,0.103944595840586,0,0,0,0,0,0,0,0,0.0977634520374267,0
X2891.TT.EQUITY,0,0.138656952962294,0.0401334396646363,0,0.293181241481091,0,0,0,0,0,0.17890200511551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349503398584728,0,0,0,-0.78134765956166,0,0,0,0,0,0,0,0,0,0.20766082733506,0,0,0,0,0,0.222916453578325,0.157049630693613,0,0
X2892.TT.EQUITY,0,-0.0476217284895587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114955448756505,0.0910625025237647,0,0.0501595825026204,0.7270539817111,0.0543513550877982,0,0,0,0,0,0,0,0,0,0,-0.0467315218900019,0,0,0,0,0,0.0876006019463483,0,0,0,0,0.02723854018426,0,0,0.0679872375549625
X5880.TT.EQUITY,0,0,0.0112843575797043,0,0,0,0,0,0.439802237404542,0,0,0,0,-0.0387772667168941,-0.393633426290642,0,0,0,0,0,0,0,0.304627599284758,0,0,0,0,0,-0.0559986082519057,0,0,0,0,0,0,0,0,0,-0.0555828573670965,0,0,0,0.00281312899412948,0,0,0.501199053166008,0.0730955707532103,0.162924081697291,0
X000166.CH.EQUITY,0.0118174162927478,0,0,0,0,0,0,0,0,0,0,0,0,0.030555539198259,0,0,0,0,0,0,0,0,-0.0251900903652486,0,0,-0.0325000295306697,0,0.143075645833929,0.0926948044756018,0.135494100955199,0,0,0.342600823870763,0.152911393382491,0,0,0,0,0,0.0518850753199457,0.0672805179526758,0.0643337695038151,0,0,0,0,0,0,-0.0113444385998511
X000776.CH.EQUITY,0,-0.0321197047617058,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0383569348712013,0.0857639066363657,0,0,0,0,0,0,0,0,0,0.09492650337868,0,0,0,3.46944695195361e-18,0.166370510149874,-0.0361391704993449,0.072156348873674,-0.027855094298456,0,0.432274471023796,0,0,0,0.155215805919327,0,0,-3.46944695195361e-18,0,0,0,0,0
X002736.CH.EQUITY,0,0,0.151362801150362,0,0,0,0,-0.0540988502712456,0.166286584304048,0,0,0,0,0,0,0,0,0.0921369616081638,0,0,0,0.0796428197336465,0,0,0.00481229815309348,0,0,0,0,0,0,0,0.32841938346851,0.126585034586834,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,-0.0414245541534715,0,0,0.0864128397341887,0,0,0,0,0,0,0.0757295997939705,0,0,0,0,0,-0.0713788079855378,0,0,0.131930861169318,0,0,0,0,0.188472571425446,0,0,0.0832675860938385,0,0,0.158057927496567,0,0,0.11828773425515,0,-0.123598610568499,0,0.158877311264965,0.0806787833357314,0,0,-0.0618227179590755
X600030.CH.EQUITY,0.0275767014827094,0,0,0,0,0,-0.0768516476928552,0.144381508025983,0,0,0,0,0,0,0,0,0.0317895818813023,0,0,0,0,0,0,0,0,0,0.0272969392619639,0,0,0,0,0,0,0.208221009202917,0,0.324624202313515,0,0.260134597189093,0.0798122081131303,0,0.00261802624278414,0.0448569776219434,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,-0.104014134182079,0,0,0,0,0,0,0,0,0,0,0,0,-0.0252439368857894,0,0.104993816204973,0,0,0,0.0223523307512697,0,-0.10305862924838,0,0,0,0,0,0.218998652652012,0.121791256430626,0,0,0,0,0.0517044831153534,0.345220478752683,0,0.178873758039098,-0.0510572041484397,0,0,0,0,0,0,0,0,0,0.0425810523958763
X600958.CH.EQUITY,0,0.0411661765969164,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10633499026666,0,0,0,0,0,0,0,0,0,0,0.166452671606667,0,0,0.169022710678759,0,0.192525244562216,0,0.0842339467365874,0.147043264136505,0,0.0967232518334557,0.155552880125686,0,0,0,0,0,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0,0.0626889308196059,0,0,0,0,0,0,0,0,0,0,0,0,-0.118734349170637,0,0,0,0.04254019608326,0,0,0,0,0,0,0,0.0572346813812361,0,0.266506240795388,0.0940142404056447,0,0,-0.0864502528065273,0.370068561281382,0,0.0679924667792367,0.0651328271335253,0,0,0,0.158548348716486,-0.080551127450038,0,0,0.01097031519425,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0.102832401706871,-0.0254044509888466,0.0621067670840358,0.142464781044168,-8.67361737988404e-19,0,0,0,0,0,0,0,0,-0.134109269673044,0,0,0,0,0.12992816185771,0,0,0,0,0.0225219021119656,0.0228311446034561,0.0736716984080964,0,0.0115475498926755,0,0,0,0.439674347704368,0,0,0,0,0,0,-0.195194714365779,0,-0.111511598820496,0,0
X601211.CH.EQUITY,0,0,0,0,0,0.000195477841073943,0,-0.0501748209622797,-0.0599171381568892,0,0,0,0,-0.0892589738340494,0,0,0,0,0,0,0,0,0.030208495141131,0,0,0,0,0,0,0,0.286314829521177,0.0979011204160311,0.0838268739696361,0.396248536133356,0,0,0,0.111317233133091,0,0,0.0615441284497882,0,0,0,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,-0.00710519663498963,0,0.132244831626248,0.156535458172343,0,-0.0614738938954244,0.0598205853721313,0,-0.306585382503644,-0.0534615291147462,0,0,0,0,0,0,0,0,0,0,0,0.818026446371959,0,0.178586384252305,0,0,0,0.139070146347234,0,0,0,0,0,0,0,0,0,0,0,-0.091383936908848,0,0,0
X601881.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0724906847268771,0,0,0,0,0,0,0,0,0.158874193369212,0,0,0.175256373031236,0.391716000721105,0.0594252529358462,0,0,0.00692327032566681,0.015608174606939,0.0182878748768931,0,0,0,0.044222588716588,0,0,0,0,0,0,0.0987330733444176,0
X388.HK.EQUITY,0.165121506871399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019952947163719,0,0,0,0,0.0601142233137399,0.00177726706492364,0,0,0,0,0,0,0,-0.396183454153014,4.33680868994202e-19,0.430130031385773,-0.0502881036515715,0,0,0,0,0,0,0,0.00241030766218172,0,0.522745247825199,0,-0.0244982726138731,0,0
X601318.CH.EQUITY,0.120483223722543,0,0,0,0,0.0454834414951297,0.049705129631148,0.037519156571586,0,0,0,0,0.0347024166726799,0,0,0,0,0,-0.0276838188414579,0,0,0,0,0.0811823095556261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.396403618928467,0.256463252073743,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133717734807792,0,0,0,0,0,0,0,0,0.0545207901648431,0.356310130004231,0.0539596135545814,0.00768942858191999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161735066129666,0,0.0563215841607899,0,0,-0.113506812008743
X601336.CH.EQUITY,0,0,0,0,0,0.102561312743792,0,0.0717178967127791,0,0,0,0.0727816502391727,0,0,0,0,0,0,0,0.0561233207137783,0,0,0,0,0,-0.1648349134256,0.128951883675017,0,0,0,0.106275951356144,0,0,0,0.00453199175902181,0.336465642763371,0,0,0,0,0,0,0,0,0,0.029655110675,0.152448486310912,0,0
X601601.CH.EQUITY,0.39267942608549,0.0384560666390656,0,0,0,0,-0.194598274814334,0,0,0,0,0,0,0,0.0660063318212109,0,-0.177506072812822,0,0,0,0,0,0,0.172298951714571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388423778215555,-0.0243548429218117,0,0,0,-0.0588448491457794
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0.138261444332034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112851467468004,0,0,0,0.062139884921464,0,0,0,0,0,0.0522026544913317,0,0.0759888152457464,0,0.11827538971904,0.276909635863307,0,0,0,0,0.045394712167229,0
X1299.HK.EQUITY,-0.221960816983529,0.0973203498010474,0,0,-0.00633352771623124,0,0,0,-0.0582829630828463,0,-0.169189901226693,0,0,0,0,0,0,0,0.297912977915704,0.044452648157577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317058426112867,0.226768449635791,0,0,0,0,0,0,0,0.194607121994703,0
X2881.TT.EQUITY,-0.178744716685247,-0.0848016727266458,0.445215271194939,0,0,0,0,0,0.0984955602438424,0,-0.125961922967784,0,0,0,-0.0401426963195341,0,0,0,0.215518303259379,0,0,0.211252926837999,0,0,0,0,0,0,-0.151810604897638,-0.0295746934320768,0,0,0,0,0,0,0,0,0,0,0,0.124737651041385,-0.126478713531104,0,0.0207126812240709,0,0.39273346429778,0,0.135416592062884
X2882.TT.EQUITY,0,0,0,0,0,0.0155370272849486,0.0269510822193324,-0.0143979274555722,0,0,0,0,0,0,0,0,0,0.0333507632832942,-0.114829173566204,0,0,0,0,0,0,0.15568726469837,0,0,0,0,0,0,0,0.00612076971811433,0,0.0865971920298865,0,0,-0.0127141462833918,0,0,0.0796812108397965,0,0,0,0.335217807311595,0,0,0
X267.HK.EQUITY,0,-0.0344084994327106,0,0,0,0.205872370857641,0.118086699554204,-0.0383060055686976,0,0,0,0,0.0387583171089141,0,0,0,0,0.0196349364330849,0.0802436082080576,0,0,0,0,0,0.174608896419689,0,0,0,0,0,0,0,0,0,0,0,0,0.0114438334341832,0.250312592285279,0,0,0,0,0,0.0025456000640441,0,0,0,0
macro_return_add,0,0,0,0.107476808260481,0.0835402255210691,0,-0.0746613125801759,0,0,0,0,0.0387768216044613,0,0,0,0,0.0331338469049482,0,-0.0737537236686447,0,0.177491558751883,0,0,0,-6.93889390390723e-18,0.35419429449707,0.240584976591731,0,0,0,0,0,0,0,0,0,0,-0.469634677777426,0,0,0,0,0,0,0,0,0.0462657376664983,0,0
