,X000001.CH.EQUITY,X002142.CH.EQUITY,X002958.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X600928.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0,0,0.0153981083820012,0,0,0,0,0,0,0,0.673310661885947,0,0,0,0,0,0,0,0,0.103082551140935,0,0,0,0,0,0,0.0465812915267107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101299708188244,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0.0880597589144978,0,0.289403901566046,0,0,-0.105344002867167,8.67361737988404e-19,0,0,0.215738612956768,0,0,0,0,0,-0.0246653508103431,0,0,0,0,0,0,0,0,0,0,0,-0.00466681483676178,-0.0187445147927245,0,-0.042798926041205,0,-0.110340631480942,0,0,0,0,0,0,0,0,0,0,0,-0.0347429474008404,0,-0.170140126081978
X002958.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.27000513993231,0,0,0,0.0220247702384768,0,0,0,0.194873460954561,0,0,0,0,0,0,0,0.176133549530477,0.281314075795586,0,0,-0.0437094927433358,0,0,0,0,0,0,0,0,0,0,0,0,0.0330205513936204,0,0,0,0,0,0.0600426061185007,0.125876209047229,0
X600000.CH.EQUITY,0,0,0,0,0,0,0.231791027763438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.679535851279084,0,0,0,0,0.00974425244046961,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0698687649914604,0,0,0.134989217001056,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15520033559583,0.165418238273908,0,0,0.116705165879108,0.0586138284866308,0,0,0.173469591372807,0.0649313832347105,0,0,0,0,0.181860116853756,0,0,0.0948834570916493,0,0,0,0.0242455302592777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0.15238809720353,0,0,0.256104471127663,0,0,0,0,0,0,0,0.0643437771970563,0,0.112914177735671,0,0,0,0.0750988527670583,0,0,0.139143096749485,0,0,0,0,0,0,0,0,0,0,0.246037334142434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.0665933089864627,0.178019394232153,0,0.431998732965412,0,0,0,0,0,0,0,0,-0.322821189651764,0,0,0,0.18916214850774,0,0,0,0,0,0,0,0.312725172353922,0,0,0,0.116949084336453,0,0,0.289001718317124,0,0.281567117837111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600919.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.254352441712395,0,0,0,0,0,0,0,0,0.347234583617905,0,0.250269652914373,0,0,0.24950293254355,0,0,0,0,0,0.0174897671002973,0,0,-0.0837751265373343,0.0445621184498094,0,0.225246917012582,0,0,0,0.0514260632137085,0,0,0,0,0,0,-0.276322515752847,0,0,0
X600926.CH.EQUITY,0,0,0,0,0,0,0,0.0998010116337095,0,0,0,0,0,0.121741958447572,0.123987817097852,0,0,0,0,0.519590059803081,0,0,0,0,0,0,0.00715113212720622,0,0,0,-0.0515580544768231,0,0,0.0322529596464052,0,0,0,0,0,0,0,0,0.055594024119151,0,0.126091986842841,0,0,0,-0.336261657258315,0,-0.00791196856877095
X600928.CH.EQUITY,0.049622644072448,0,0.456159155485493,0,0,0,0,0,0,0,0,0,0,0,0,-0.0446102327644548,0,0.0220255747756897,0,0,0,0,0,-0.119968812199471,0,0.364450555501608,0,0,0,0,0,0,0,0.038538359082632,0,0,0.165583783544613,0.0500999319983529,0,0,0,-0.0504745689013945,0,0,0.0299480069522727,0,0,0,0,-0.0816268466301733,-0.0698698445562699
X601009.CH.EQUITY,0.144183440734018,0,0,0,0,0,0,0.239292863832954,0,0,0,0.355955096154663,0,0,0,0,0,0.0342484167609244,0.115204143911873,0,0,0,0,0,0,0,0,-0.137660099296819,0.017642226690214,0,0.0425062949156881,0,0,-0.170066045507962,0.0288803300147342,0,0.0909973112545072,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.00562431570666413,0,0.0151687642292126,-0.0644810836367991
