,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600048.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0.545279404087322,0,0,0,0,0,0,1.73472347597681e-18,0.0974898335264181,0,0,0,0.145677343116071,0,0,0.133877239454024,0,0,0,0,0,0,0.000987190658263821,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0467981513686523,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.132514802498047,0.254875281056262,0,0,0,0,0,0,0,0,0.288984955392613,0,0.0811119426947435,0.0435354393682141,0,0,0,0,0.0971756392690069,0,0,0,0,0,-0.0111475157592737,0,0,0,0.0603058506300549,0,0,0,0.0234267428091298,0,0,0.0157841136311599,0,0,0,0,0.0303908012958519,0.00282020630181066,0,0
X601939.CH.EQUITY,0,0,0,0.709797722894822,0.0319892222606752,0.0528893132759275,-6.93889390390723e-18,0,0,0.243646669090117,0,0,0,0,0,0,0,0,0,0,0.0476663638637194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0223744381040582,0,0,0.0226223025422624,0,0,0,0,0,0,2.77555756156289e-17,0,0,0
X601288.CH.EQUITY,0,0,6.93889390390723e-18,0,0,0,0,-0.115686218328392,0,0,0.560506993219732,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111900114203058,0.138942694567944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.124044530088036
X5.HK.EQUITY,0,0,0,0,0,0.149985162646815,0,0.30097507372052,0,0,0,0,0.0432382451187281,0,0,0,0,0,0,0.0206332546874968,0,0,0,0,0,0.014566415540681,0,-0.139974771143825,0,0,0,0,0,0,0,0,0.109305592593434,0,0,0.282307720094055,0,0,0,0,0,0,-0.0573423903817793,0,0.0584806506684927,0,0
X601988.CH.EQUITY,0,0,0,0,0.368048518167067,0,0,0,0.0901685537864882,0,0,0,0,0,0,0.0951911194789784,0.0402264345311085,0,-0.0703801275765792,0,-0.0704933164530318,0,0,0,0.244577401849988,0,0,0,0,0,0,-0.222573021309313,0,0,0,0,0,0,0,0,0.0691627690957002,0,0,0,0,0,0,0,-0.0306688983511593,-0.122614786529292,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.42935525984542,0,0,0,0,0,0,0,0.185094117776144,0,-0.110479300037258,0,0,0,0,0.210737127077086,0,0,0,0,0,0.177376370463382,0,0,0,0,0,0,-0.0189997087458108,0,-0.196214434071723,0.14516337636535,0,0,0,0.128308494150547,0,0,0,0,0,-0.0178612545434878
X1299.HK.EQUITY,0,0,0,0,0.194425051211026,0,0,0,0,0,0,0,0.0915359509982242,0,0,0,0.195213077193255,0,0,0,0,0,0,0,0,0.0311964900565256,0,0.0835051741503092,-0.208145202010726,0,0.0684518615036915,0,0.0575109431744326,0,0,0,0.399482868756204,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0570879147972861
X601628.CH.EQUITY,0,0.125716904229878,0,0.00170425808702322,-0.0907572559785657,0,0,0,0,0,0,0.0232671934728904,0,0,0,0,0,0.1936459628826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.407555420218035,0,0,0,0,0,0.203833432538583,0.0662226853375755,0,0.078144052468467,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.153476915981867,0,0,0,0.383106456500768,0,0,0,0,0,0.464960865793745,0,0,0,0.041137727495789,0,0,0,0.0891498216746467,0,0.203994089822927,0,0,0,0,0,0,0,-0.0111149478166638,0,-0.0730882521785843,0,0,0,0,-0.0831484535346561,0,0,-0.0720610200769691,0,0,0,0,-0.120632435373618,0,0,0,0,0
