,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.738175552164502,0,0.0466029160870058,0,0,0,0,0,0,0,0,0,0.0563577314701074,0,0.115631471438314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154567887897076,0,0,0.0179768352001079,0,0,0.000796722583734251,0,0.0160087589128187,0,0,0,0,0,0,0,0,0,0.0235807129296315
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14202131204688,0,0,0,0.471528902483872,0,0,0,0,0,0,0,0,0,0,0.0421687064153563,0,0.00680001659692748,0,1.73472347597681e-18,0.0511722105079974,0,0.0762788436252664,0,0,0,0,0,0,0.0634519064264163,0,0,0,0,0,0,-0.124069054765203
X601939.CH.EQUITY,0,0,0,0,0.675044087429257,0,0,0,0,0,0,0.235502865198934,0,-0.0214204645125785,0.0998413314967158,0,0,0,0,0.0495585377842193,0,0,0,0.0240409999392806,0,0,0.00196406544151563,0,0,0,0,0,0,0,0,0.005183642540557,0,0,0,0,0,0.0678199748826158,0,0,0,0,0,0,0,0,0,0.0313465391957355
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.131026031725528,0.165298288873917,0,0,0,0,0,0,0.300785631068468,0,0,0,0,0.18052194089302,0.0934606733186955,0,0,0,0,0,0,0,0,0.118649783165826,0.0182219242088681,0.0715227518606283,0,0,0,0,0,0,0,0,0,0,0,0.13913312157305,0,0,0,0,0
X601288.CH.EQUITY,0.179127744212595,0,0.829519942903757,0,0,0,0,-0.0801871142954448,0,0,0,0,0,0,0,0,0.0189454685679434,0,0,0,0.0205457437511703,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0651120913358255,0,0,0,-0.020607595472106,0.0214103589852198,-0.168730637554801,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.211329738686615,0.0796343317781334,0,0.155352308029562,0,0,0.0957211108749415,0,0,0,0,0,0,0,0.26415696830864,0,0,0.0864313775632897,0,0,0,0,0,0,0.212830893306376,0,0,0.0588398008480848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,-1.38777878078145e-17,-0.0510604005267917,0,0.177945962766578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.110083187995886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0124490143741659,0,-0.0588044952304746,0,0,0.925433576492893,0,0.0138350195245857,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.259445816548085,0,0,0,0.0405685771886446,0,0,0,0,0,0,0,0.19344056921945,0,0,0,0.105407484638062,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.07298287535576,0,0,0,0,0.0445427067641459,0.0746434051510554,-0.0386097122424931,0,0,0.121893846590329,0,0,-0.0924776975016386,-0.114954310224503
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.251883583239381,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0637510320825947,0.365399099675164,0.0234371021952692,0.112884216259674,0,0,0,0,-0.0651013034450589,0,0,0.0846826345684763,0,0,0,0,0.147033988412894,0.323229961928625,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0.116994449714826,0,0.163525833336175,0,0,0,0.0310949974328607,0,0,0,0,0,0,0,0,0,0,0,0,0.125401359886732,0.233682113034503,0.0284098511334862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118528623162901,0.287630887425703,0,-0.309192116662263,0,0,0.0212363766194184,0,0,0.156036802820753,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0.0212529569546775,0,0,0,0,0,0,0,0,0,0.418097048670479,0,0,0.00732534397998611,0,0,0.12833799083166,-0.00104846713848719,0,0,0,0,0,0,0,0,0,0,0,0.249002313626496,0.0101829194690598,0,0,0,0,0.197663485203994,0,0,-0.0178422004906785,0,0.0384993977648649,0,0,-0.0877245179389076,0.111683823215106,0,0,0,0
X601658.CH.Equity,0.115974526148803,0.0371736363619765,0.328497443998672,0,0.0111868862704736,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.190693376020721,0,0,0.181057290463865,0,0,0,0,0.0465701849325139,0,0,0.0108111124658817,0,0,-0.0387335850021245,0,0,0.0742493015925776,0,0,0,0.0591359234590584,0,0
X601166.CH.EQUITY,0,0,0.00779146438581265,0,0.0448749397976416,0,0.0937978710533242,0,0,0,0,0,0,0,0,0.0617886273156687,0,0,0,0,0,0.0791423898454632,0,0.054749538522947,0.357612694047682,0,0,0,0,0,0,0.0339169684722059,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.0212862866412569,0,0,0,0.261798818599527,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.669385258135958,0,0,0,0.0565372337952202,0,0,-0.0138738267109322,0,-0.075699890221193,0,0.0312912392616306,0,0,0,0,0,0,-0.00245254141529545,0,0,0,0,0,0,0,-0.0197330829370014,0,0.198339352384785,0,0,0,0,0,0,0,0,0,0,-0.0104680346152146,0,0
X000002.CH.EQUITY,0,0,0,-0.217790210482874,0.142011224061737,0,0,0,0.360486719567859,6.93889390390723e-18,0,0,0.200833236295483,0.357048828641651,0,0,0,0,0,0,0.0526156833997858,0,0,0,0,-0.013714238561976,0,0,0,-0.182734784820981,0.129870715286757,0,0,-0.0551161259168097,0,0,4.33680868994202e-19,0,0,0,0,0,0,0.0292522091470042,0,0,0,0,0,0,0,0.0130833284052424
X000001.CH.EQUITY,0,0.0946202992227842,0,0,0,0.657215892770364,0,0,0,0,0,0,0.0442047399606312,0,0,0,0,0,0,0,0,0,0,0,0,0.0553912966564167,0,0.111103661173005,0,0,-0.0712782642032132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.190307630014891,0
X601328.CH.EQUITY,0.324207897700339,0,0.0105420416873393,0,0,0,0,0,0,0,0,0.00436956274498492,0,0,0,0,0,0,0.108874573235044,0,0,0,0,0,0.00733332898922326,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0473973347448791,0,0,0,0,0,0.161557311122402,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0.288414631405316,0,0.281230352401105,0.0345643845494428,0,0,0,0.0759033705862428,0,0,0,0.0332426011477825,0.00614808389398846,0,0,0,0,0,0.19171284592042,0,0,0,0,0,0.0428641257702856,0,0,0,0,-0.138250199355465,0,0,0,0,0.293461936466111,0,0,0,0,0,0,-0.0315094622024015,0,0,0,0,0,0,0,-0.0943995733200149,0
X600000.CH.EQUITY,0.207370092346498,0,0,0,0,0,0,0,0,0,0,0.52449737225538,0,0,0,0,0,0,0,0,0.110293114480652,-0.000143305875337824,0,0,0,-0.0809515977385083,0,0,0,0,0,0,0,0.010973455193297,0,0,0,0,0,0,0.634090239624497,0,0,0,0,0,0,0.0188602243209925,0,0.281211519135611,0,0
X601319.CH.EQUITY,0,0,0.204037808035345,0,0,0,0,0,-8.67361737988404e-19,0,0,0.0318103967504818,0,0,0,0.171298185863233,0,0,0,0,0,0,0,0,0,0,0,0,0.0220848382292333,0,0,0.0316307217348166,0,0,0,0.116006149383125,0,0,0,0,-0.0668737520579366,-0.0290073097889083,0,0,0.195465398240816,0,0,0.0631590486927308,0,0,0,0
X16.HK.EQUITY,0,0,-0.111211490232495,0,0,0,0,0,0,-0.0337134649999787,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0292353241601369,0,0,0,0,0,0.249275606259903,0,0,0,-0.185620738947234,0.178828548618396,0,0,0.00209830572034177,0,0,0.0975995986617631,0.0946139801524169,0.278337134553056,0,0,-0.377231050655348,0.319323011747929,0.0302316777501455,0,0,0,0
X1109.HK.EQUITY,0,0,0,0,0,0,0.066418743719848,0.0372897306272354,0,0.225501909542746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110721776027402,0,0,0,0,0,0,0,0.230229217877918,0.00547764109564962,0,0,0.131540138963463,0,0,0,0.0603774325969868,0,0,0,-0.00279169481253805,-0.0939294782684201,0
X300059.CH.EQUITY,0,0,0,0,0.00739763196788715,0,0,0,0,0.087132063100595,0,0,0,0,0,0,0,0,0,0,-0.0576000613877861,0,0,0,0,0,0,0,0,0,0,0,0.437150612486674,0,0,0,0,-0.0112286152802576,0.00353156833752609,0.0952292814942129,0,0,0,0,0,0,0,0.221007019876635,0,0,0,0
X600016.CH.EQUITY,0.242113326794962,0,0,0,0,0,0,0,0,0,0,0,0.0319908992498824,0,0,0,0.0800318838609868,0,0,0,0,0.0388398217225199,0,0,0,0.139209052777981,0,0,0.154667038837136,0,0,0,0,0,0,0,0,0,-0.0839603537688021,0,0,0,0,-0.0746204175258807,0,0.0973892424474868,0.0554675768500053,0,0,0,0,0.0892611525869588
X601998.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.047066793498681,0,0,0.318242545279506,0,0,0.0698295534264522,0,0.0989471447952858,0.0302599115760652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00992106764303605,0,0,0,0,0.00666310852495588,0,0,0.126694648585608,0.417719040572639,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0.871287390284703,0,-0.199522745203101,0,0,0,0,0,0,0.0628178444089896,0.00222187637847953,0,0,0,0,0,0,0,0.149786574403944,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.0043242258511159,0,-0.133619350420313,0.219760089837139,-0.177265093434254,0.0960924333115351,0,0,0,0.0367644206921866,0,0,0,0,0,0,0
