,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0.373488090620977,0.0234373883527969,0.0996446427998613,0,0,0,0,0,0,0.201951106737649,0,0,0,0,0,0,0,0,0,0,0.0986395210489565,0.0557147104017801,-0.0274580523007319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0245950007159933,0,0,0,0,0,0,0,0.037007495745842,0,0.0266960334214817,-0.165872147559356,0
X601939.CH.EQUITY,0.311377192241074,0,0,0.2035149553473,0,0,0,0,-0.0517296142196308,0,0.132693028844197,0,0,0.0710557775943331,-0.0880282864815283,0,0,0,0,0,0,0,0.191771162065349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02557315910254,0,0,0,0.123751171014831,0,0,0
X601318.CH.EQUITY,0,0,0,-8.67361737988404e-19,0.289110181247179,0.0484112315083218,0,0,0,0,0,0.0412515632722478,0,0,0,0,0,0,0,0,0,0.17520713407149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0964311897802177,0,0,0.0731367870784822,0,0.153922647322588,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.360932252113685,0,0,0,0.332858038560605,0,0,0,0,0,0.023088669934013,0,0,0,0,0,0,0,0,0.0744238505853567,0.0308723725577472,0,0,0,0,0,0,0,0,0,0,0,0.0438675468319376,0,0.0880330767933361,0,0,0,0,0.0418680856432614,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.500839670916024,0,0,0,0,0,0.236309425929974,0,0,0,0,0,0.225043314405981,0.0664187521016993,0,0,0,0.0441419850840086,0,0,0,0,0,0.0871133591981084,0,0,0,0,0,0,0,0,-0.583432792245485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,-0.00156971995505287,0,0,0,0,0,0,0.270770519057051,-0.045736719490661,0,0,0,0.129555928239278,0,0,0,0,0.114289560428617,0,0.00753244699657738,0,0,0,0,0,0,0,0.23172115118197,0,0,0,0,0,0,0,0,0.124012329860768,0,0.12230264256952,0.108213485837956,0,0,0,0,0,0,0.0229142218961396,0
X1299.HK.EQUITY,0,0,0,0,0.0349796588229116,0,0,0,0,0,0,0,0,0.157355972922567,0,0,0.0502685177639945,0.502673133816482,0,0,0,0,0,0.135507972400204,0,0,0,0,0,0,0.0884255254541026,-0.0257275451359317,0,0,0,0,0,0,0,0,0,0,0.0777331401827361,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.117226480442195,0,-0.0963037669046405,0,0,0,0,0,0,0.319859344817795,-0.0311980495060293,0,0,0.615110976488159,0,0,0,0,0,0,0,0,0,0.284398388815421,0,0,0,0,0,0,-0.185170536402675,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.155253018656107,0,0,0,0,0,0,0,0,0.272873306291876,0,0,0,0,0,0,0,0,0,0.0498225802180523,0,0,0,0,0,0,0,0,0.274979608341036,0.11793769131226,0,0,0,0,0,0.224531014014834,0,0,-0.076073328381562,0
X601658.CH.Equity,0,0,0,0.146160222633754,0.145246587121145,0,0,0,0,0,0,0,0,0.109446238057792,0,0,0,0,0,0,0,0,0,0,0,0,0.0632622088608359,0,0.100493064658646,0,0,0,0,0,0,0,0,0.256573964811275,0,0,0,0,0,0,0,0,0,0,0.380145859529268,0,0.0477806906374033,0
