,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X600030.CH.EQUITY,0.0764101189018641,0.111061378655006,0,0,0,0.214132413534278,0,0,0,0,0,0,0,0,0,0,0,0.0799721229747753,0,0,0,0,0,0,0.0423760759562594,0,0,0,0,0,0,0,0,0,0,0,0.293000929795692,0,0,0.0568912127719249,0,0.0441823568296567,0,0,0,0,0,0.131501975359848,0,0
X2388.HK.EQUITY,0,0,0,0,0.0459207823532813,0,0,0,0.187201244996674,0,0,0,0,1.38777878078145e-17,0,0,0.263826524652757,0.284028294274726,0,0,0.0102815271572464,0,0,0,0,1.73472347597681e-18,0.263945912767408,0,0.109288077415526,-0.00971302803446231,0.208372783126824,0,0,0,0,0,0,0,0,0,-0.0257613690498813,-0.0268762463385973,0,-0.0371757086565853,0,0,0,0,0,0.00378326987321963
X267.HK.EQUITY,0,0,0,0,0.131962464611359,0,0.458305081681266,0,0,0,0,0,0,0,0,0,0,0.198034555525859,0,0,0,0,0.0165268964178724,0,-0.159763211535463,0.056090107318282,0.133426249356685,0,0,0,0,0,0,0,0,0.0240354149382906,0,0,0,0,0,0,0,-0.0929163591611542,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0.0378458096674802,0,0.321585175885565,0,0,0,0,0,0,0.041954876011004,0.0841319945284444,0,0,0,0,0,0,0,0,0,0,0,0.111450651136876,0.136350372083341,0.196861571106034,0,0,0,0,0,-0.0930439725323994,0,0,0,0,0,0,0,0.0703143277824422,0,0,0,0.0565829801369387,0,0,0,0.188723135715753
X601998.CH.EQUITY,0,0,0,0,0.112679310405521,0,0,0,0,0,0,0.131343905503497,8.67361737988404e-19,0,0,0,0,0.30561738331139,0,0,0,0,0,0.00787318489728296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.0863380625123277,-0.128450777639018,0,0.228773957432493,0.0675556479585274,0,0,0,-0.0211501405262303
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227170793916256,0,0,0,0,0,0,0,0.176011204402346,0,0.125450941601342,0.146667107103237,0,0,0.0688007474256602,0,0,0,0.0766834157004126,0,0,0,0,0,0,0,0.0234125926675875,0,0,0,0,0,0,0,0,0
X000001.CH.EQUITY,0,0.0932005852660065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12290379259507,0,0,0,0,0,0,-0.225724595578272,-0.0283104391662835,0,0,0,0,0,0.308156578586562,0,0.0755380657036662,0,0,0,0.345720748977791,0.092159017297929,0,0,0.0539729753883618,0,0,0,0,0,0,0.00542085825476105
X1109.HK.EQUITY,0,0,0,0,0.0064637824261975,0,0.01318117983244,0,0,0,0,0,0,0.159513376251644,0,0,0.044663983180432,0,0,0,0,0,0,0.369030850507588,0,0,0,0,0,0,0.0762995200723522,0,0,0.135959216943599,0.228927705916902,0,0,0,0,0,0,0,0,0,0,0,0.128948107694383,0,-0.162133885929078,-0.0804373492464004
X2007.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0413525520419819,0,0,0,0,0.227674304233264,0.0654029218762585,0,0,0,0,0.054646477813426,0,0,0.0650470882604636,-0.139903704401318,0.0752762491190493,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,-0.208761315773666,0,0,0.188663409741685,0,0.212161327210408,0,0
X601818.CH.EQUITY,0,0,0,0,0,0.302135100353431,0.348495780621202,0,0,0,0,0,0,0,0,0,-0.0800521993209382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124977510154895,0,0,0,0,0,0,0,0,-0.070612557061263,0.0127848260119974,0,0,0,0,0,-0.0114537209765336
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0243469523246204,0.158592833319567,0.261190017070931,0,0,0,0.161396024210857,0,0,0.0844098165254473,0,0.13159964181773,0.0271805814880944,0,0,0.0373412822331862,0,0.131313373678498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
