,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.248166369475933,0,0.397474136086019,0,0,0,0,0.0848585217295047,0,0,0.139751775358938,0,0,0,0,0,0,0,0.0198160690154134,0,0,-0.0552684532945032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.011916691883184,0,0.126573996985428
X601939.CH.EQUITY,0.353797571778558,0,0,0.286600527939838,0,0,-0.0959496408353102,0,0,0,0.00278297495706908,0,0.140038855168178,0,-0.0647209188603136,0,0,0,0,0,0,0,0,0,0,0.0316022829642432,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201203685052659,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.154235141139728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1209519447532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175456713707066,0,0,0,0,0,0,0,0.129971622426798,0.0854774469300525,0,0,0.142894709777243,0,0,0,0
X601288.CH.EQUITY,0.471875736442357,0,0,0,0.258428358765056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0872296950031969,0,0,0,0,0,0,0,0,0,0,0.0273840311686217,0,0.034868223554515,0,0,0,0,0,0,0,0.0709042249063101,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.204124159791485,0,0.243984488825592,0,0,0,0,0,0.254125467526349,0,0,0,0,0,0.359174452328313,0,0,0,-0.0267719318652294,0,0,0,0,0,0,0,0,0,0.0317843565520638,0,0,0,0,0,0,-0.0977431051791794,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0498514058650689,0,0,0,0,0,0,0,0,0.358418490806009,0,0.0319784297278122,0,0,0,0,0,0,0,0,0.0288249806876291,0,0.127351876603329,0,0,0,0,1.73472347597681e-18,0,0,0,0.0697248425823521,0,0,0,0,0,0.0523209313252151,0,0.0123949002494009,0,0,0,0,0,0,0.277578074777303,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0848818809927332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0557399257051667,0.24477003270148,0,0,0.130178044923847,0,0,0,0.134188137757444,0,0,0,0,0,0,0,0,0,0,0,0.146695202670991,0.0443614159014808,0,0
X5.HK.EQUITY,0,-0.14467512889249,0,-0.156524464463206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21235108750578,-0.768444682627089,0,0,0.47975264198285,-0.0348113487946541,0,0,0,0,0,0,0,0,0,0,0,0,0.452719721417079,0,0,0,0,0,0,0,0,0,0.107073990124741
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0775117637360641,0,0,0,0,0,0.122869000957738,0,0.233778840106979,0,0.125537440840473,0,0,0,0.173419060894734,0,0,0.0575375306170165,0,0,0,0,0,0,0,0.0265601879148737,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0525717343721465
X601658.CH.Equity,0,0,0,0.0982033782266107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323484910525156,0,0,0,0,0,0,0.36265955599359,0,0,0,0.131779565808617,0.0591290981669452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
