,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X1997.HK.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0.0566970046290662,0,0.138745881192878,0.1763914651013,0,0.351769691804008,0,0,0,0,0.00059668585327792,0.13182429234061,0,0,0,0,0,0,0,0,0,0.0118786757959741,0,0,0,0,0.104040576628265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.209359393412174,0,0,0,0,0,0,0,0.217046705700316,0,0,0,-3.46944695195361e-18,0,0.0746853673426145,0.14422512551405,0,0,0,0.213000398491982,0,0,0,0,0,0,0,0,0,0.0778555590281011,-0.0608366633337582,0,0,0,0,0,0.0682630628084832,0,0,0,0,0,0,0,0,0,0,0.0720878018587572,0,0,0
X601939.CH.EQUITY,0.263707441243619,0,0,0,0,0,0,0,0,0,0,0,0.425691230456205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191835286689606,0,0.106013778923439,0,0.00655602735005997,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0
X601288.CH.EQUITY,0.342756147723712,0,0.0423515759736192,0,0,0.467214362851379,0,0,0,0,0,0,0,0,0.0359601508997261,0,0,0,0,-0.0109496529182346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112859339484824,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.192712551866101,0,0.0548736046675048,0,0,5.55111512312578e-17,0.318151960375454,0,0,0,0,0,0,0,0.0216261515801571,0.663636213616262,0,0,0,0.0460971220411346,0,0,0,0,0,0,0,0.0967440295866177,0,0,0,0,0,0,-0.218803284406085,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.13693457279585,0,0,0.0492298474969229,0,0,0,0,0.200913142535704,0,0,0,0.143655945840428,0,0,0,0,0,0.0210423407755426,0,0.168418196467667,0,0,0,0.0277817188307631,0,0,0,0,0.0495257131147148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186372570708916,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.196679038862066,0,0,0.220237727020861,0,0,0,0,0.1779478669897,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149711685723843,0,0.00384347375884828,0.158236013040136,0,0,0.105481527187914,0,0,0,0,0,-3.46944695195361e-18,0.0489929089659992,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.148252731741376,0,0,0,0,0,0,0,0.359129828043538,0.0249200712695633,0,0,-1.73472347597681e-18,0,0.182319837613174,0.271540413839206,0,0,0,-8.67361737988404e-19,0,0,0.266984455190662,0,0,0,0,0,0,0,0.0124295495737326,0,0,0,0,0,0,0,0,0,0,0,0.0745729523950923,0,0
X601628.CH.EQUITY,0.325237567498526,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0563778102021339,0.0260362554928776,0,0,0,0.118371188164019,0,0,0,0.0876579155747653,0,0.230500611131048,0,0,0,0,0.150182899307482,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.19232602220914,0,0,0,0,0,0,0.19502683917721,0,0,0,0,0,0,0,0,0,0.0786042669042967,0,0,0,0,0,0,0.222618945762843,0,-0.194991956843645,0.153893954331963,0,0,0,-0.00739500192334059,0,0,0.830889364249633,0,0,0,0,0,0.337019845755382,0,-0.317324446890083,-0.245543242244544,0
