,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.374898640407821,0,0,0.17158013749794,0,0,0,0,0,0,0,0,0,0,0,0.0374834441432389,-0.0391410157287188,0,0,0,0,0,0,0.110465420818679,0,0,0,0,0,0,0,0,-0.00689121496076363,0.195191690945362,0,0,0,0,0,0,0,0.188747654878091,0,-0.127429013907657,0,0,-0.222141409207232,0
X601318.CH.EQUITY,-0.0214657281083467,0,0,0,0,0,0,0,0,0,0,0.0849970168347209,0,0.0683926473415934,0,0,0.352842168433846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0682859130758215,0.321281492185301,-0.0512972487454072,0.237757518637855,0.0457030576220578,0,0,0,0,0,-0.10702436616087,0
X601939.CH.EQUITY,0.0803696168937675,0,0,0,0,0,0,0,0,0,0.114063622101388,0,0,0,0,0,0,0,0,0.225809184578419,0.0139633479579734,0,0,0,0,0.323616257978104,0,0,0,0,0,-0.00367943067961602,0,0,0.100252830363949,0,0,0,0.0107808285124306,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.33133427299576,0,0,0,0.039037120378255,0.0585047325145057,0,0,0.21323106489585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0103611820990985,0.146412768491494,0,0,0,0.174599434152887,0,0,0.201939905093234,0,0,0,0,0.025134578811165,0,0,0
X5.HK.EQUITY,8.67361737988404e-19,-0.139945494298366,0,0.389068294496211,0,0,0,-0.0238361131500517,-0.343120012038108,0,0.243070216697231,0.00137721590025014,0,0,0,0.154847982832498,0,0.250408004614057,0,0.236023431268327,0,0,0.383343538245669,-0.185581544367546,0,0,0,0,0,0,0,0,-0.0958669580669193,-0.149682308128294,0,0,0,0,0,0,0,0,0.134237775693334,0,0,0.02521262993379,0,0,0,0.0545220233153176
X601988.CH.EQUITY,0.0596988886902077,0,0,0.0620905368057282,0,0,0,0,0,0.220884165966885,0.0991981568545284,0,0,0,0,-0.0613781868625828,0,0,0,0,0,0.281967315530273,0,0,0,0,0.087338262431978,0,0,-0.012794395389837,0,0,0,0,0,0,0,0,0,0.040310344487035,0,0.0667020559596053,0,0,0,0,0.191309303352639,0,0,0.0261184747347891
X600036.CH.EQUITY,-0.000920723072798396,0.348052443109077,0,0,0,0,0,0,-0.118904384376273,0,0,0,0,0.237476109410946,0,0,0,0,0.134553446589508,0,-1.73472347597681e-18,0,0.136937636375872,0,0,0,-0.0530867147532255,0,0,-0.0990900199406411,0,0,0.168102111373598,0,0,0,0,0,0,0.21429610473751,0.0458642447693946,0,0,0,0,0,0.0666107679602487,0.0319594647141577,0,0.040662641639293
X1299.HK.EQUITY,0,0.119089644029984,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,-0.0524397933003165,0.168109204637396,0,0,0.193511268223439,0.233762014228555,0,0.180437140334707,0,0.0256511068454203,0.0511814840952118,0,0,0,0.0638370370766205,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,-0.211648929786998,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0.0143355629977502,0,0,0,-3.46944695195361e-18,0,0.0172770564521423,0,0,0.0119497253829617,0,0,0,0.151557498809384,0,0,0,0,0,0.0494315782302274,0,0,0,0,0,0,0,0,0,0,0,0.0413691555974528,0,0,0,0,0.299796963591276,0,0,0,0,0,0,0,0,0,0.129960224834802
X601166.CH.EQUITY,-1.73472347597681e-18,0,0.0359469690779734,0,0,0.112244916999666,0,0,0,0,0,0,0,0,0,0,0.271282804064854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.478133337844322,-0.00817912988228053,0.23865413263181,0,0,0,0,0.191755015590759,0,-0.113454069983731,-0.0331273142538461,0,0,0,0,-0.0724962243608335,0,0
