,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0327490034969111,0,0,0,0,0,0,0,0,0,0,-0.0505406982661113,0.565219203816439,0,0.859039493975941,0.0697891129217164,0,0,-0.121676403797686,0,0,-0.195038596531474,0,0,0,0,0,-0.00299327188095916,0,0,-0.314359236846561,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0843054440481124,0,0,-0.0106043504289133,0,0,0,0,0.0451830772508351,0,0,0,0,0.302692150968258,0,0,0,0,0,0,0,0,0,0.0986389078076635,0,0,0,0,0,0.618800641685765,0,0,0,0,0,0,0,0,0,0,0.0122478098551141,0,0,0,-0.0489942327457412
X601939.CH.EQUITY,0,0,0,0.80890412816804,0,0,0.0653517642195878,0,0,0,0,0,0.0305555530726111,0,0,0,0.0248182942562992,0,0,0,0,0,0.0107438325689402,0.00717220477666228,0,0,0,0,0,0,0,0.0416306484652742,0,0,0,0.00978740032039677,0,0,0,0,0,0,-0.0132929974379903,0.025091527149159,0,0,0,0,0,0.0499558578186952,0
X601288.CH.EQUITY,0,0,0.910938695035622,0,-0.0667987797892763,0,0,0,0,0,0,0,0,0,0,0,0,0.114344830859259,0,0,0,0,0,0,-0.014497408952525,0,0.0597357980429417,0,0,0,0,0,0,0,0,0,-0.0929181670630555,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0485931292847624
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.135174699754041,0.849066624145821,0,0,0,-5.55111512312578e-17,0,0,0,0,0,0,0.116914844783956,0,0,0,0,0,0,0,-0.0651801098559708,0,0,0,0,0.188237290450726,0,0.0350783222111442,0,-0.112840314495844,0,0,0,0.037346724850707,0,0,0,0,0,0.0931608588923716,0.00476586756339367
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,1.21235790375715,0,0,0,0,0,0,-0.248909251951026,-0.21183683442902,0,0,0,0,0,0.0198427100199263,0,-0.0910928672630544,0,0,0,-0.0531488120004038,0,0,0,0,0,0,0,0,0,0,0,0.0392353027448699,0,0,0,0.00873010807487111,0,0
X600036.CH.EQUITY,0,0,0.297964082579193,0.0778861609534564,0,0,0,0,0.093723024687039,0,0,0,0,0,2.71050543121376e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0389429615866122,0,0,0,0.448134087433938,0,0,0,0,0,0,0,0,0,0,-0.0199119801089355,0.0548551712734952,0.0738727573622442,0,0,0,0,0.0246265795033272
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.319639241547863,0.0376503330859694,0,0.0721998092322697,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,-0.204403808968569,0,0,0,0,0.0209718240057957,0,0.215786804304885,0,0,0.0601500895712428,0,0,0,0,0.0366270032662464,0,0,0.0682733167817597,0,0,0,0.427368285154164,0,0,0,0.0337757562122446,0.123396062388832
X5.HK.EQUITY,0,0,0,0,-0.190103240878477,0,0,0,0,0.131990002239663,0,0,0,0,0,0,0.369057022114453,0,0,0,0,0.138339810363003,0,0,0.145633551804309,0.168065860620276,0.486718354211221,0,0,0,0,0.060438211020322,0,0,0,0,0,0,-0.219402021434988,0,0,0,0.117823468255073,-6.93889390390723e-18,0,-0.300480661084587,0,0,0,0,0.203087544921586
X388.HK.EQUITY,0,0,0,0,0.172341577883157,0,0,0,0,0,-0.042449954218705,0,0,0,0.0820094581619542,0,0.040017570951857,-0.127482423565509,0,0,0.0561554737210016,0.00498739340298893,0,0,0,0,0,0.517808070830428,0,0,0,0,0,0,0,0,0.274213093441435,0,0,0,0,0,0,0,-0.206825873576835,0.0201895181011775,0,0,0,0,0
