,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.301089855021046,0,0,0,0,0.407591226289651,0,0,0,0.00241548530546513,0,0,0,0,0,0,0,0,0,0,0,0,0.120178349476755,0.0651029467550962,0,0.0535551124047374,0,0,0,0,0,0,0,0,0,0.0834862490451196,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.329710601358213,0,0,0.167850651145077,0,0,0.0159101024741333,0,0,0,0,0,0,0.139182450825774,0,0,0,0.0177236715027453,0,0,0,0,0,0,0,0,0,0.161115660494535,0,2.71050543121376e-20,0,0,0,0.0924434297204134,0,0,0,0,0,0,0,0,0.00682371489881956,0,0.0322077561317451,0,0,0,0
X601939.CH.EQUITY,0.458522483257004,0.117704587901478,0,0,0,0,0,0.178920434748876,0,0,0,0,0,0,0,0,0.00981914810916872,0,0,0,0,-0.137407446650682,0,0,0,0,0,0,0,0.138041627549046,-0.0113164827585273,0,0.138615138229683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197776922980313,0.144388028843458
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.554820543359177,0,-0.0788460635497114,0,0.0413009705847414,0,0,0,0,0,0.0178883368638821,0,0,0,0,0.0594873847367944,0,0.135297024466133,0,0,0,0,0.113291733837114,0,0,0.0562576981799326,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336270293066195,0,0,0,0.0192886924741116
X600036.CH.EQUITY,0,0.137528589863921,0,0,0,0.0513249997877211,0,0.0282749689905293,0,0,0,0,0.136467571543664,0,0.03385228028146,0,0,0,0,0,0,0,0,0,0.0973120030965166,0.0381398146700425,0,0,1.73472347597681e-18,0.0052408374601878,0.0137646475699335,0,0,0,0,0,0,0.0569764874955318,0,0,0,0,0.057441811687793,0,0,0,0,0,0,0.360693007303814,-0.268215031492458
X1299.HK.EQUITY,0,0,-0.0700204331646243,0,0,0,0,0,0,0.134351521053102,0,0,0,0,0,0,0,0,0,0,0.15576471552659,0,0.202580026107733,0,0.0383794390382949,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.142125548487309,0,0.00274269519599317,0.0131724904856833,0,0.16357734389325,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.177698653101653,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.257411568598728,0,0,0,0,-0.0842299302246559,0,0.201910957362155,0,0.00224027897506969,0,-0.149420678230763,0,0,0,0,0,0,0,0,0.615824872293968,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186611894402939,0,0
X601988.CH.EQUITY,0.225004339610101,0,0.0553825154278657,0.498983053195775,0,0,0,0,0,0.116415867615507,0,0,0.154628866770434,0,0,0,0,0,0,0,0,0,0.135714155924672,0,0,0.0114744135020345,0,0,0.0541861103354538,0,0.0385185342821565,0,0,0,0,0,0.0737195347177317,0,0.0309204697238935,0,0,0,0,0,0,0,0,0,0,0,-0.0458678717085054
X5.HK.EQUITY,0,0.170494709560435,0.144743223715127,0,0,0,0,0,0,-0.0130361514723539,0,0,-0.0523407201725994,0,0,0,0,0,0,0,0,-0.391805410220293,0.18612637383157,0,0,0.128358822496877,0.149074387611571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0940987267567649,0.0996025576318846,0,0,0,0,0,0,0,0.135687742831165
X388.HK.EQUITY,0,0,0,0,-0.1694837793353,0.254598814406727,0,0,0,0,0,0,0.0558041926055878,0,0,-0.084819725913198,0,0,0,0,-0.127325435997781,0.436492243568409,0,0,0,0,0,0.113013707655123,0,0,0,0,-0.0296099462909325,0,0,0,0,0,0.136161074291685,0.0740537495315616,-0.0198342048119127,0,0,0.180214449711785,0,-0.216732254603827,0,0,-0.058593621242882,0,0.145105229010207
