,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.0550387502438039,0.206247368941825,0,0.0453986802611571,0,0.0326313779783702,0,0,0,0,0,0,0,0,0,0.201670220894803,0,0,0,0,-0.00276228269767262,0,0.0204545645269679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0635667163234008,0.0303493162971567,0,0,0,0,0,0.0996957281670461,-0.0367891104945339
X601318.CH.EQUITY,0,0,0,0,0.0821105510329683,0,0,0,0.137141487623034,0,0,0,0.0834292514529292,0,0,0.07666015357927,0,0.0536335656048397,0,0.211907457131582,0,0.125299292062149,0,0,0,0,0,0,0,0,0.15812589921739,0,0,0,0,0,0,0.0628279292361535,0,0,0,0,0,0,0,0,0,0,0.0706978977098519,-1.0842021724855e-19,0
X601939.CH.EQUITY,0,0,0,0.154657296531785,0,0,0,0,0,0,0.111802662639691,0,0,0,0,0,0,0,0,0,0,-0.0140649447276235,0,0,0.620353020603153,0,0.153591616400894,0.0251358304371836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.345197702487077,0,0.0487688276614019,0,0,0.0236278572427497,0.149406359577599,0,0,0,0.133867307676448,0,0,0,0,0,0.0285767704326292,0,0,0,0,0,0,0,0,0,0,0,0.128945321059931,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205936589883326,0,0.143129386187915,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.0664974655248111,0,0,0,0,0.00944132311775672,0.247271195138058,0,0,0,0,0.234034295986279,0,0.16492626653876,0,0,0,0,0,0,0,0,0.27030376908075,0.168464710204909,0,0,0.0222892209125112,0,0.0239381706462464,0,0,0,0,0,0,0,0,0.0340027417467836,0.0487232567030108,0,0,0,0,0,0,0,0,0,0,-0.0465444809067119
X601628.CH.EQUITY,0.0208412626278934,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0942842773269943,0,0,0,0.065135343159476,0,1.73472347597681e-18,0.141973814979799,0,-0.117888961549324,0,0,0,0,0,0.0303204197023365,0,0,0,0,0.708137884486046,-0.0995840587162485,0,0,0,0,0,0,0.0408380796415547,0,0.120535302992811,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.0420175921341799,0.279843114145473,0.205468759549448,0,0,0,0,0,0,0,0.100536620531229,0,0,0,0,0.207268802429926,0,0,0.0158311333559976,0,0,0.0515645710024568,0,0.0720463296704854,0,0,0,-0.028559981227277,0.173383338216314,0,0,0,0,0,0,0.0759969878228782,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.154866709817581,0,0.114030030087868,0,0,0,0,0,3.46944695195361e-18,0.207609366351338,0,0,0,0,0,0,0,0,0.00912731671516825,0,0,0,0,0.130455232590362,0,0,0,0,0,0.117331569081448,0,0,0,0,0,0,0.117594849193026,0.0988618490191879,0,0,0.0730028671197036,0.163604457904204,0,0,0.0497487806780734,0,0,0,0
X5.HK.EQUITY,0,0.060978918609135,0,0,0,0.0289526920328791,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161784467685979,0,0,0.0981484260037785,0,0,0.127220062096739,0,0.0110167573411345,0,0,0,0,0,0,0,0,0,0.0607492085122422,0,0.226686391612862,-0.082424057342587,0,0.0443270123944539,0.173277055407026,0,0,0,0,0.0550393568790535,0,0
X601166.CH.EQUITY,0,0,0.0811511923010063,0,0,-1.73472347597681e-18,0,0,0,0,0.0477134562629451,0,0.148746318704449,0,0.0522596531158523,0,0,0,0,0,-0.00295651461676752,0,0,0.161662229293924,0,0,0,0,0.433780008439127,0,0,0,0,3.46944695195361e-18,0.0518444701818179,0,0.0139837566206256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
